Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Каслинская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27042	804	771	749	766	828	834	803	890	958	936	894	935	837	868	924	347	1562	1776	76	560	651	73	70	164	852	969	620	272	146	195	120	56	212	530	494	234	72	62	1371	1073	254	129	236	616	204	249									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21630	600	600	600	600	700	700	600	700	700	700	700	700	700	700	700	300	1100	1400	70	500	500	70	70	150	700	800	500	200	100	170	100	50	200	500	400	220	70	60	1000	800	250	120	230	600	180	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10427	304	305	319	340	301	338	349	343	276	362	326	250	260	227	245	128	764	874	39	178	230	24	45	65	300	428	203	130	85	79	50	41	87	269	189	138	50	30	484	279	81	61	84	208	109	150									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1196	22	18	23	10	13	16	28	13	26	15	12	17	11	11	13	16	59	72	13	64	57	21	10	22	97	36	36	32	7	7	7	5	12	90	69	38	6	0	36	33	22	6	11	38	15	11									
6	Число погашенных избирательных бюллетеней	10007	274	277	258	250	386	346	223	344	398	323	362	433	429	462	442	156	277	454	18	258	213	25	15	63	303	336	261	38	8	84	43	4	101	141	142	44	14	30	480	488	147	53	135	354	56	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1196	22	18	23	10	13	16	28	13	26	15	12	17	11	11	13	16	59	72	13	64	57	21	10	22	97	36	36	32	7	7	7	5	12	90	69	38	6	0	36	33	22	6	11	38	15	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10424	304	304	319	340	301	338	349	343	276	362	325	249	260	227	245	128	764	874	39	178	230	24	45	65	300	428	203	130	85	79	50	41	87	269	189	138	50	30	484	279	81	61	84	208	109	150									
9	Число недействительных избирательных бюллетеней	319	12	9	10	12	15	14	12	6	13	5	12	5	13	8	10	1	19	33	0	6	8	0	0	1	10	12	2	4	12	0	2	0	2	5	1	5	1	0	19	9	0	0	0	5	3	3									
10	Число действительных избирательных бюллетеней	11301	314	313	332	338	299	340	365	350	289	372	325	261	258	230	248	143	804	913	52	236	279	45	55	86	387	452	237	158	80	86	55	46	97	354	257	171	55	30	501	303	103	67	95	241	121	158									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	359	16	8	8	13	12	8	8	8	8	8	8	8	12	8	8	3	15	15	3	10	10	3	3	3	10	10	10	6	3	3	3	2	3	14	15	5	5	5	14	15	3	3	3	15	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	200	7	1	5	10	8	3	2	8	4	5	7	5	7	3	6	0	6	4	3	5	9	0	3	0	4	7	10	3	0	0	0	0	3	11	11	5	5	2	12	6	1	1	0	8	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	191	2	3	0	3	0	9	7	1	8	9	1	2	1	2	7	1	5	7	3	1	5	2	2	0	1	3	3	32	13	2	5	5	3	5	5	0	0	1	3	5	2	3	3	6	8	2									
14	Число погашенных неиспользованных открепительных удостоверений	159	9	7	3	3	4	5	6	0	4	3	1	3	5	5	2	3	9	11	0	5	1	3	0	3	6	3	0	3	3	3	3	2	0	3	4	0	0	3	2	9	2	2	3	7	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	1	0	1	3	1	2	3	4	4	0	4	2	6	3	2	1	2	4	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	174	2	6	6	5	8	4	1	8	1	7	1	5	1	1	2	3	10	17	1	3	4	0	2	3	7	6	4	5	5	0	1	4	4	3	12	1	0	0	13	4	0	0	2	1	1	0									
		1.50%	0.61%	1.86%	1.75%	1.43%	2.55%	1.13%	0.27%	2.25%	0.33%	1.86%	0.30%	1.88%	0.37%	0.42%	0.78%	2.08%	1.22%	1.80%	1.92%	1.24%	1.39%	0.00%	3.64%	3.45%	1.76%	1.29%	1.67%	3.09%	5.43%	0.00%	1.75%	8.70%	4.04%	0.84%	4.65%	0.57%	0.00%	0.00%	2.50%	1.28%	0.00%	0.00%	2.11%	0.41%	0.81%	0.00%									
