Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Куйбышевская 																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №724	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2463	УИК №2534	УИК №2535	УИК №2536	УИК №2628					
1	"Число избирателей, внесенных в список избирателей"	11795	219	2497	2617	400	397	321	1002	925	507	184	1037	685	155	217	154	274	204					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10715	200	2250	2350	400	350	300	900	850	450	165	950	600	150	200	150	250	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5960	101	1349	1385	215	211	145	497	391	309	108	512	309	80	107	74	67	100					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	525	32	54	63	34	22	7	59	75	30	27	43	32	6	10	5	11	15					
6	Число погашенных избирательных бюллетеней	4230	67	847	902	151	117	148	344	384	111	30	395	259	64	83	71	172	85					
7	Число избирательных бюллетеней в переносных ящиках для голосования	525	32	54	63	34	22	7	59	75	30	27	43	32	6	10	5	11	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5960	101	1349	1385	215	211	145	497	391	309	108	512	309	80	107	74	67	100					
9	Число недействительных избирательных бюллетеней	69	0	13	17	4	7	1	5	6	3	1	2	4	0	2	2	1	1					
10	Число действительных избирательных бюллетеней	6416	133	1390	1431	245	226	151	551	460	336	134	553	337	86	115	77	77	114					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	393	15	50	50	15	15	20	20	20	18	15	30	20	20	10	15	50	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	223	6	35	44	11	11	8	10	9	15	12	25	9	13	6	8	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	3	13	19	5	7	2	7	6	8	3	8	4	0	4	2	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	170	9	15	6	4	4	12	10	11	3	3	5	11	7	4	7	50	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	2	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	960	13	241	220	42	41	25	85	35	45	11	78	76	8	16	4	12	8					
		14.80%	9.77%	17.18%	15.19%	16.87%	17.60%	16.45%	15.29%	7.51%	13.27%	8.15%	14.05%	22.29%	9.30%	13.68%	5.06%	15.38%	6.96%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	967	19	224	203	37	17	23	70	68	57	20	81	62	27	19	12	9	19					
		14.91%	14.29%	15.97%	14.02%	14.86%	7.30%	15.13%	12.59%	14.59%	16.81%	14.81%	14.59%	18.18%	31.40%	16.24%	15.19%	11.54%	16.52%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	74	4	16	19	0	3	1	9	2	5	4	6	2	1	0	0	0	2					
		1.14%	3.01%	1.14%	1.31%	0.00%	1.29%	0.66%	1.62%	0.43%	1.47%	2.96%	1.08%	0.59%	1.16%	0.00%	0.00%	0.00%	1.74%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1741	30	397	419	28	46	21	157	153	85	37	159	90	24	23	22	12	38					
		26.85%	22.56%	28.30%	28.94%	11.24%	19.74%	13.82%	28.24%	32.83%	25.07%	27.41%	28.65%	26.39%	27.91%	19.66%	27.85%	15.38%	33.04%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	92	2	25	26	0	3	4	9	6	1	1	6	3	1	3	0	1	1					
		1.42%	1.50%	1.78%	1.80%	0.00%	1.29%	2.63%	1.62%	1.29%	0.29%	0.74%	1.08%	0.88%	1.16%	2.56%	0.00%	1.28%	0.87%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2552	65	480	535	138	116	74	218	193	142	60	223	104	23	53	39	43	46					
		39.35%	48.87%	34.21%	36.95%	55.42%	49.79%	48.68%	39.21%	41.42%	41.89%	44.44%	40.18%	30.50%	26.74%	45.30%	49.37%	55.13%	40.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	30	0	7	9	0	0	3	3	3	1	1	0	0	2	1	0	0	0					
		0.46%	0.00%	0.50%	0.62%	0.00%	0.00%	1.97%	0.54%	0.64%	0.29%	0.74%	0.00%	0.00%	2.33%	0.85%	0.00%	0.00%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
