Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Белоярская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293					
1	"Число избирателей, внесенных в списки"	18465	1184	1622	1431	1492	1010	1289	1294	1552	1527	444	797	1028	856	861	1124	954					
2	"Число бюллетеней, полученных участковыми комиссиями"	18055	1200	1570	1390	1430	890	1250	1250	1480	1480	420	805	1050	920	870	1100	950					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	456	0	0	0	0	0	0	0	0	0	0	0	6	0	0	244	206					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12783	787	1104	948	969	546	791	861	1035	903	298	781	961	849	847	589	514					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	257	0	5	4	3	79	17	6	18	0	0	0	23	0	0	78	24					
6	Число погашенных бюллетеней	4559	413	461	438	458	265	442	383	427	577	122	24	60	71	23	189	206					
7	Число бюллетеней в переносных ящиках для голосования	713	0	5	4	3	79	17	6	18	0	0	0	29	0	0	322	230					
8	Число бюллетеней в стационарных ящиках для голосования	12779	785	1103	948	969	546	791	861	1035	903	298	780	961	849	847	589	514					
9	Число недействительных бюллетеней	98	6	8	1	4	3	7	8	4	5	1	5	7	6	4	11	18					
10	Число действительных бюллетеней	13394	779	1100	951	968	622	801	859	1049	898	297	775	983	843	843	900	726					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	330	15	15	15	15	15	15	15	15	5	15	35	55	25	25	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	188	7	8	4	8	3	8	6	6	3	4	35	54	13	10	13	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	33	1	0	1	2	0	3	0	2	0	0	10	3	10	1	0	0					
14	Число погашенных открепительных удостоверений	142	8	7	11	7	12	7	9	9	2	11	0	1	12	15	12	19					
15	Число открепительных удостоверений выданных ТИК	16	4	1	0	3	1	0	0	2	2	0	0	3	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	250	12	19	13	20	7	9	18	11	6	7	20	20	19	15	22	32					
		1.85%	1.52%	1.71%	1.36%	2.05%	1.12%	1.11%	2.07%	1.04%	0.66%	2.34%	2.56%	2.02%	2.23%	1.77%	2.41%	4.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	430	15	27	28	37	26	28	32	44	39	9	16	41	25	24	20	19					
		3.18%	1.91%	2.43%	2.94%	3.80%	4.16%	3.46%	3.69%	4.17%	4.31%	3.02%	2.05%	4.14%	2.94%	2.83%	2.19%	2.55%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	285	13	36	28	14	10	17	19	21	15	3	6	28	13	7	26	29					
