Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Пильнинская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16719	1674	1437	1787	1634	821	287	653	279	463	205	735	267	248	153	415	123	200	157	59	119	261	233	333	77	645	191	196	241	159	695	782	509	87	255	339									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14800	1400	1300	1500	1500	700	230	600	250	440	190	700	250	200	140	380	100	150	120	50	100	230	200	300	70	600	160	160	200	150	650	700	500	70	210	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7304	597	608	752	600	158	63	325	88	250	74	355	146	108	88	160	58	131	60	36	55	130	91	122	28	357	124	94	148	88	263	390	321	45	177	214									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1730	24	40	88	48	300	140	108	63	93	57	106	30	35	29	30	28	15	48	13	17	60	65	47	24	52	14	11	22	21	19	18	17	8	14	26									
6	Число погашенных избирательных бюллетеней	5766	779	652	660	852	242	27	167	99	97	59	239	74	57	23	190	14	4	12	1	28	40	44	131	18	191	22	55	30	41	368	292	162	17	19	60									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1730	24	40	88	48	300	140	108	63	93	57	106	30	35	29	30	28	15	48	13	17	60	65	47	24	52	14	11	22	21	19	18	17	8	14	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7302	595	608	752	600	158	63	325	88	250	74	355	146	108	88	160	58	131	60	36	55	130	91	122	28	357	124	94	148	88	263	390	321	45	177	214									
9	Число недействительных избирательных бюллетеней	154	20	6	20	10	17	2	17	1	2	0	0	2	2	0	0	1	1	1	0	0	0	0	3	0	3	0	5	2	0	14	13	0	1	6	5									
10	Число действительных избирательных бюллетеней	8878	599	642	820	638	441	201	416	150	341	131	461	174	141	117	190	85	145	107	49	72	190	156	166	52	406	138	100	168	109	268	395	338	52	185	235									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	185	25	20	25	15	8	3	6	2	5	2	7	3	3	2	4	1	2	1	1	1	2	2	3	1	6	2	2	2	2	8	8	5	1	2	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	86	18	15	22	11	3	0	3	0	0	1	2	2	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	2	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	92	3	1	2	2	7	5	2	1	2	1	6	4	0	1	1	2	7	4	4	5	7	1	1	2	2	2	3	1	0	3	2	2	1	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	99	7	5	3	4	5	3	3	2	5	1	5	1	3	2	3	1	1	0	1	1	1	2	3	1	5	2	1	2	2	7	6	5	1	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
