Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Соликамская городская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640	УИК №3641	УИК №3642	УИК №3643	УИК №3644	УИК №3645					
1	"Число избирателей, внесенных в список избирателей"	73409	2652	459	2105	1277	2904	1915	2739	2602	2659	1222	2893	2732	1839	1750	1559	1577	798	2203	2117	2726	1216	1597	2686	2858	2077	784	2123	998	817	2801	2878	1882	1449	156	837	1059	1118	882	910	366	1152	1641	144	150	100					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53118	1900	400	1500	900	2100	1400	1900	1900	1900	900	2100	2000	1200	1300	1100	1100	600	1600	1500	2000	900	1200	1900	2000	1500	600	1500	700	600	2000	2100	1300	1100	120	600	800	800	700	700	300	800	1200	154	144	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30277	756	166	692	519	1126	828	1288	1321	1182	433	1234	1146	790	679	616	485	248	910	1049	1324	460	808	1231	1332	990	402	1067	276	324	1139	1055	711	616	42	213	290	380	361	291	131	436	753	144	3	30					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1573	51	17	37	17	99	19	21	41	52	36	58	41	30	42	31	99	16	42	11	15	30	13	26	36	37	15	27	12	37	56	49	35	24	3	20	25	13	20	30	13	37	29	0	141	70					
6	Число погашенных избирательных бюллетеней	21268	1093	217	771	364	875	553	591	538	666	431	808	813	380	579	453	516	336	648	440	661	410	379	643	632	473	183	406	412	239	805	996	554	460	75	367	485	407	319	379	156	327	418	10	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1573	51	17	37	17	99	19	21	41	52	36	58	41	30	42	31	99	16	42	11	15	30	13	26	36	37	15	27	12	37	56	49	35	24	3	20	25	13	20	30	13	37	29	0	141	70					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30258	756	166	692	519	1126	826	1286	1319	1182	433	1233	1146	790	678	615	484	248	910	1049	1324	460	808	1226	1332	990	402	1067	276	324	1139	1051	711	616	42	213	290	380	361	291	131	436	753	144	3	30					
9	Число недействительных избирательных бюллетеней	626	15	3	17	9	34	23	13	20	23	16	29	19	13	18	22	11	3	19	19	20	7	19	33	24	18	8	11	4	2	26	25	17	11	1	3	7	16	9	7	3	9	14	0	1	5					
10	Число действительных избирательных бюллетеней	31205	792	180	712	527	1191	822	1294	1340	1211	453	1262	1168	807	702	624	572	261	933	1041	1319	483	802	1219	1344	1009	409	1083	284	359	1169	1075	729	629	44	230	308	377	372	314	141	464	768	144	143	95					
