Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Осипенковская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4598	81	250	260	474	492	204	304	199	294	305	318	361	292	257	342	58	107									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4100	81	239	232	432	456	200	215	197	290	219	227	350	290	265	242	56	109									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	532	0	14	38	232	241	2	0	5	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1315	56	96	79	68	66	91	109	56	90	83	95	94	116	67	93	24	32									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	178	0	11	17	25	32	1	3	6	8	7	6	7	15	15	18	2	5									
6	Число погашенных избирательных бюллетеней	2075	25	118	98	107	117	106	103	130	192	129	126	249	159	183	131	30	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	710	0	25	55	257	273	3	3	11	8	7	6	7	15	15	18	2	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1315	56	96	79	68	66	91	109	56	90	83	95	94	116	67	93	24	32									
9	Число недействительных избирательных бюллетеней	52	0	1	2	7	21	1	6	3	5	0	2	1	0	0	3	0	0									
10	Число действительных избирательных бюллетеней	1973	56	120	132	318	318	93	106	64	93	90	99	100	131	82	108	26	37									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	197	8	10	10	10	10	10	15	16	12	12	12	12	22	22	10	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	12	0	1	0	0	0	0	1	1	2	1	4	2	0	0	0	0	0									
