Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Верхнебуреинская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535					
1	"Число избирателей, внесенных в списки"	25367	449	73	430	196	2358	2876	2916	2618	1643	896	232	580	284	176	154	2333	1590	2066	362	481	193	116	109	83	1310	285	82	69	82	325					
2	"Число бюллетеней, полученных участковыми комиссиями"	24876	476	72	415	183	2276	2814	2730	2587	1564	782	218	532	287	160	148	2300	1597	2108	362	441	206	133	103	123	1428	267	80	63	81	340					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	7	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10123	191	43	209	94	815	1074	1246	1142	470	524	155	270	150	88	59	713	548	704	184	195	117	79	81	75	519	101	44	35	37	161					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	397	0	0	13	4	20	26	46	25	13	15	0	19	3	0	0	16	11	18	3	0	0	5	5	8	63	43	0	0	0	41					
6	Число погашенных бюллетеней	14349	285	29	193	85	1440	1714	1436	1420	1081	243	63	243	134	72	89	1571	1035	1386	175	246	88	49	17	40	846	123	36	28	44	138					
7	Число бюллетеней в переносных ящиках для голосования	404	0	0	13	4	21	26	48	25	13	15	0	19	3	0	0	16	14	18	3	0	1	5	5	8	63	43	0	0	0	41					
8	Число бюллетеней в стационарных ящиках для голосования	10102	191	43	209	94	815	1072	1246	1129	470	524	155	270	150	88	59	712	545	702	184	195	117	79	81	75	519	101	44	35	37	161					
9	Число недействительных бюллетеней	117	2	2	4	2	13	17	14	16	5	6	0	4	1	0	0	5	3	5	2	4	0	0	0	0	4	1	0	0	0	7					
10	Число действительных бюллетеней	10389	189	41	218	96	823	1081	1280	1138	478	533	155	285	152	88	59	723	556	715	185	191	118	84	86	83	578	143	44	35	37	195					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	198	5	3	5	3	10	7	14	15	6	7	10	5	10	3	4	15	15	15	5	10	3	2	3	3	5	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	96	0	0	4	0	8	7	12	14	3	4	2	3	1	1	1	13	10	5	0	3	1	0	0	0	1	0	2	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	1	1	3	0	2	1	3	1	0	1	4	5	0	3	7	5	0	5	1	4	1	0	1	5	1	1	1	2	2	2					
14	Число погашенных открепительных удостоверений	102	5	3	1	3	2	0	2	1	3	3	8	2	9	2	3	2	5	10	5	7	2	2	3	3	4	3	1	3	3	2					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	125	10	0	3	6	9	9	10	13	8	8	2	2	0	2	0	6	3	7	2	5	1	2	0	6	5	3	0	0	0	3					
		1.18%	5.23%	0.0%	1.35%	6.12%	1.07%	0.81%	0.77%	1.12%	1.65%	1.48%	1.29%	0.69%	0.0%	2.27%	0.0%	0.82%	0.53%	0.97%	1.06%	2.56%	0.84%	2.38%	0.0%	7.22%	0.85%	2.08%	0.0%	0.0%	0.0%	1.48%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	135	1	3	2	0	14	17	16	14	1	12	2	7	4	3	0	6	5	7	1	4	2	1	0	0	6	2	2	1	1	1					
		1.28%	0.52%	6.97%	0.90%	0.0%	1.67%	1.54%	1.23%	1.21%	0.20%	2.22%	1.29%	2.42%	2.61%	3.40%	0.0%	0.82%	0.89%	0.97%	0.53%	2.05%	1.69%	1.19%	0.0%	0.0%	1.03%	1.38%	4.54%	2.85%	2.70%	0.49%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	391	6	4	4	1	37	39	40	54	15	30	7	10	6	4	1	25	16	18	9	3	4	3	1	4	26	7	3	0	7	7					
		3.72%	3.14%	9.30%	1.80%	1.02%	4.42%	3.55%	3.09%	4.67%	3.10%	5.56%	4.51%	3.46%	3.92%	4.54%	1.69%	3.43%	2.86%	2.5%	4.81%	1.53%	3.38%	3.57%	1.16%	4.81%	4.46%	4.86%	6.81%	0.0%	18.91%	3.46%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	377	18	0	7	5	35	38	63	50	17	22	1	6	5	1	6	15	16	30	4	7	1	3	2	0	16	3	2	1	0	3					
		3.58%	9.42%	0.0%	3.15%	5.10%	4.18%	3.46%	4.86%	4.33%	3.51%	4.08%	0.64%	2.07%	3.26%	1.13%	10.16%	2.06%	2.86%	4.16%	2.13%	3.58%	0.84%	3.57%	2.32%	0.0%	2.74%	2.08%	4.54%	2.85%	0.0%	1.48%					
22	"5. ""За Русь Святую"""	52	0	1	3	1	4	6	5	3	1	4	0	1	0	0	0	4	6	1	1	4	0	1	0	0	3	2	0	0	0	1					
		0.49%	0.0%	2.32%	1.35%	1.02%	0.47%	0.54%	0.38%	0.25%	0.20%	0.74%	0.0%	0.34%	0.0%	0.0%	0.0%	0.54%	1.07%	0.13%	0.53%	2.05%	0.0%	1.19%	0.0%	0.0%	0.51%	1.38%	0.0%	0.0%	0.0%	0.49%					
23	"6. ""Объединенная Российская партия ""Русь"""	41	2	0	2	0	1	1	4	5	0	1	0	2	0	1	0	4	2	5	1	2	1	0	0	0	1	1	1	2	0	2					
		0.39%	1.04%	0.0%	0.90%	0.0%	0.11%	0.09%	0.30%	0.43%	0.0%	0.18%	0.0%	0.69%	0.0%	1.13%	0.0%	0.54%	0.35%	0.69%	0.53%	1.02%	0.84%	0.0%	0.0%	0.0%	0.17%	0.69%	2.27%	5.71%	0.0%	0.99%					
24	"7. ""Новый курс - Автомобильная Россия"""	102	1	0	5	0	8	8	27	19	6	8	2	3	0	0	0	1	4	4	1	2	0	1	0	0	0	0	1	0	0	1					
		0.97%	0.52%	0.0%	2.25%	0.0%	0.95%	0.72%	2.08%	1.64%	1.24%	1.48%	1.29%	1.03%	0.0%	0.0%	0.0%	0.13%	0.71%	0.55%	0.53%	1.02%	0.0%	1.19%	0.0%	0.0%	0.0%	0.0%	2.27%	0.0%	0.0%	0.49%					
25	"8. ""Народно-республиканская партия России"""	12	0	0	0	0	0	2	1	1	0	1	0	0	1	1	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.07%	0.08%	0.0%	0.18%	0.0%	0.0%	0.65%	1.13%	0.0%	0.13%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	2	0	1	0	1	5	4	2	1	1	0	1	0	0	0	0	3	5	0	0	0	0	0	0	0	0	1	0	0	3					
		0.28%	1.04%	0.0%	0.45%	0.0%	0.11%	0.45%	0.30%	0.17%	0.20%	0.18%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.53%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.27%	0.0%	0.0%	1.48%					
27	"10. ""Аграрная партия России"""	199	5	0	2	1	7	29	18	25	11	6	4	11	0	4	1	18	15	7	1	6	2	1	1	1	7	1	0	0	0	15					
		1.89%	2.61%	0.0%	0.90%	1.02%	0.83%	2.64%	1.39%	2.16%	2.27%	1.11%	2.58%	3.80%	0.0%	4.54%	1.69%	2.47%	2.68%	0.97%	0.53%	3.07%	1.69%	1.19%	1.16%	1.20%	1.20%	0.69%	0.0%	0.0%	0.0%	7.42%					
28	"11. ""Истинные патриоты России"""	19	0	0	0	0	0	0	0	10	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	2	0	0	0	1					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.20%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.13%	0.0%	0.13%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.17%	1.38%	0.0%	0.0%	0.0%	0.49%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	87	2	0	1	3	12	7	19	0	4	1	3	2	1	0	0	5	3	8	0	1	0	0	0	1	8	1	1	0	0	4					
		0.82%	1.04%	0.0%	0.45%	3.06%	1.43%	0.63%	1.46%	0.0%	0.82%	0.18%	1.93%	0.69%	0.65%	0.0%	0.0%	0.68%	0.53%	1.11%	0.0%	0.51%	0.0%	0.0%	0.0%	1.20%	1.37%	0.69%	2.27%	0.0%	0.0%	1.98%					
30	"13. ""Демократическая партия России"""	50	1	1	0	0	2	7	7	4	1	3	2	1	1	0	2	4	1	5	1	0	1	0	1	0	3	1	0	0	0	1					
		0.47%	0.52%	2.32%	0.0%	0.0%	0.23%	0.63%	0.54%	0.34%	0.20%	0.55%	1.29%	0.34%	0.65%	0.0%	3.38%	0.54%	0.17%	0.69%	0.53%	0.0%	0.84%	0.0%	1.16%	0.0%	0.51%	0.69%	0.0%	0.0%	0.0%	0.49%					
31	"14. ""Великая Россия - Евразийский Союз"""	17	1	0	0	0	0	1	3	1	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	1					
		0.16%	0.52%	0.0%	0.0%	0.0%	0.0%	0.09%	0.23%	0.08%	0.20%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.69%	2.27%	0.0%	0.0%	0.49%					
32	"15. ""Партия СЛОН"""	9	0	1	0	0	1	0	1	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.0%	2.32%	0.0%	0.0%	0.11%	0.0%	0.07%	0.08%	0.0%	0.18%	0.0%	0.69%	0.0%	0.0%	0.0%	0.13%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	567	9	1	8	4	45	64	80	68	23	28	10	18	8	3	4	42	35	33	9	16	9	3	4	1	23	6	2	0	4	7					
		5.39%	4.71%	2.32%	3.60%	4.08%	5.38%	5.82%	6.18%	5.89%	4.76%	5.19%	6.45%	6.22%	5.22%	3.40%	6.77%	5.76%	6.26%	4.58%	4.81%	8.20%	7.62%	3.57%	4.65%	1.20%	3.95%	4.16%	4.54%	0.0%	10.81%	3.46%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	21	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	5	1	1	1	0	0	0	0	4	3	0	0	0	2					
		0.19%	0.0%	0.0%	0.0%	0.0%	0.11%	0.18%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.13%	0.53%	0.51%	0.0%	0.0%	0.0%	0.0%	0.68%	2.08%	0.0%	0.0%	0.0%	0.99%					
35	"18. ""ЛДПР"""	2000	19	1	47	20	161	215	287	172	111	103	32	62	25	20	18	163	94	155	26	47	27	18	26	7	91	14	7	10	4	18					
		19.03%	9.94%	2.32%	21.17%	20.40%	19.25%	19.58%	22.17%	14.90%	22.98%	19.10%	20.64%	21.45%	16.33%	22.72%	30.50%	22.39%	16.81%	21.52%	13.90%	24.10%	22.88%	21.42%	30.23%	8.43%	15.63%	9.72%	15.90%	28.57%	10.81%	8.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	238	2	0	10	4	20	32	25	25	14	10	1	3	4	5	0	17	17	19	0	0	4	3	0	1	13	3	1	3	0	2					
		2.26%	1.04%	0.0%	4.50%	4.08%	2.39%	2.91%	1.93%	2.16%	2.89%	1.85%	0.64%	1.03%	2.61%	5.68%	0.0%	2.33%	3.04%	2.63%	0.0%	0.0%	3.38%	3.57%	0.0%	1.20%	2.23%	2.08%	2.27%	8.57%	0.0%	0.99%					
37	"20. ""Политическая партия ""Единая Россия"""	4101	80	28	50	39	304	380	460	463	173	193	72	130	75	30	16	280	236	273	103	61	52	29	39	54	285	77	12	13	15	79					
		39.03%	41.88%	65.11%	22.52%	39.79%	36.36%	34.60%	35.54%	40.12%	35.81%	35.80%	46.45%	44.98%	49.01%	34.09%	27.11%	38.46%	42.21%	37.91%	55.08%	31.28%	44.06%	34.52%	45.34%	65.06%	48.96%	53.47%	27.27%	37.14%	40.54%	39.10%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	1	1	0	0	1	7	3	0	1	1	0	0	1	0	0	3	0	0	0	1	0	0	1	0	1	1	0	0	0	1					
