Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Краснозерская 																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574					
1	"Число избирателей, внесенных в список избирателей"	28372	526	64	945	569	344	577	496	259	99	368	110	1999	2066	2244	2235	132	521	352	60	311	969	369	644	47	775	525	730	265	68	87	924	571	770	51	112	272	526	180	78	78	764	205	1002	718	285	556	1040	124	588	134	90	548					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29700	560	70	980	580	370	650	550	260	100	380	110	2050	2120	2280	2300	250	520	360	50	330	1000	390	700	70	800	570	750	260	70	90	970	580	800	60	120	290	550	200	80	80	830	220	1000	770	290	560	1100	140	640	150	100	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16967	306	51	608	436	229	338	315	200	83	265	82	1089	1107	1173	1164	108	309	196	45	185	547	227	475	42	430	330	478	170	44	39	445	266	516	35	104	219	391	147	68	62	489	177	542	439	201	374	556	78	354	70	65	298					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2024	49	0	61	16	34	84	82	13	0	18	0	97	106	206	99	3	33	10	3	19	49	36	27	0	55	63	10	6	14	17	38	113	45	3	0	22	35	4	5	2	71	8	82	64	30	45	120	10	38	8	7	64					
6	Число погашенных избирательных бюллетеней	10709	205	19	311	128	107	228	153	47	17	97	28	864	907	901	1037	139	178	154	2	126	404	127	198	28	315	177	262	84	12	34	487	201	239	22	16	49	124	49	7	16	270	35	376	267	59	141	424	52	248	72	28	238					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2024	49	0	61	16	34	84	82	13	0	18	0	97	106	206	99	3	33	10	3	19	49	36	27	0	55	63	10	6	14	17	38	113	45	3	0	22	35	4	5	2	71	8	82	64	30	45	120	10	38	8	7	64					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16966	306	51	608	436	229	338	315	200	83	265	82	1089	1107	1173	1164	108	309	196	45	185	547	227	474	42	430	330	478	170	44	39	445	266	516	35	104	219	391	147	68	62	489	177	542	439	201	374	556	78	354	70	65	298					
9	Число недействительных избирательных бюллетеней	333	6	0	6	14	3	8	5	6	0	5	1	22	28	29	33	2	12	7	0	7	6	14	2	1	8	6	15	1	2	0	10	3	5	0	2	3	2	8	1	2	1	0	10	9	1	5	6	0	8	0	3	5					
10	Число действительных избирательных бюллетеней	18657	349	51	663	438	260	414	392	207	83	278	81	1164	1185	1350	1230	109	330	199	48	197	590	249	499	41	477	387	473	175	56	56	473	376	556	38	102	238	424	143	72	62	559	185	614	494	230	414	670	88	384	78	69	357					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1345	25	10	35	25	20	60	41	5	3	15	10	61	53	115	71	5	9	5	1	16	40	10	60	20	29	53	10	7	4	11	25	14	28	5	10	10	30	15	6	10	56	15	39	30	15	15	56	7	45	20	15	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1345	25	10	35	25	20	60	41	5	3	15	10	61	53	115	71	5	9	5	1	16	40	10	60	20	29	53	10	7	4	11	25	14	28	5	10	10	30	15	6	10	56	15	39	30	15	15	56	7	45	20	15	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	340	6	1	9	11	4	2	7	3	1	2	2	19	41	25	15	71	7	2	6	5	5	5	5	2	2	6	4	1	2	3	8	5	4	1	1	3	0	1	1	6	3	1	2	3	5	5	3	3	4	1	1	5					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	205	7	0	5	0	0	6	5	0	0	2	0	25	8	34	10	1	0	2	0	1	5	3	9	3	6	0	5	0	0	0	3	0	2	0	1	2	2	2	1	1	5	0	2	4	1	5	30	3	4	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2059	45	3	86	32	19	52	32	32	3	25	6	133	140	184	145	12	46	36	0	19	49	14	39	2	42	32	58	17	2	1	86	49	51	5	4	15	43	13	12	6	71	7	50	68	29	57	85	8	27	5	14	48					
		10.84%	12.68%	5.88%	12.86%	7.08%	7.22%	12.32%	8.06%	15.02%	3.61%	8.83%	7.32%	11.21%	11.54%	13.34%	11.48%	10.81%	13.45%	17.48%	0.00%	9.31%	8.22%	5.32%	7.78%	4.76%	8.66%	8.14%	11.89%	9.66%	3.45%	1.79%	17.81%	12.93%	9.09%	13.16%	3.85%	6.22%	10.09%	8.61%	16.44%	9.38%	12.68%	3.78%	8.01%	13.52%	12.55%	13.60%	12.57%	9.09%	6.89%	6.41%	19.44%	13.26%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3054	57	8	97	60	46	46	81	47	11	54	17	161	175	197	230	11	69	34	3	33	95	47	72	3	68	33	82	21	6	3	67	43	57	8	25	20	87	16	21	13	103	53	100	114	53	102	102	9	116	18	18	42					
		16.08%	16.06%	15.69%	14.50%	13.27%	17.49%	10.90%	20.40%	22.07%	13.25%	19.08%	20.73%	13.58%	14.43%	14.29%	18.21%	9.91%	20.18%	16.50%	6.25%	16.18%	15.94%	17.87%	14.37%	7.14%	14.02%	8.40%	16.80%	11.93%	10.34%	5.36%	13.87%	11.35%	10.16%	21.05%	24.04%	8.30%	20.42%	10.60%	28.77%	20.31%	18.39%	28.65%	16.03%	22.66%	22.94%	24.34%	15.09%	10.23%	29.59%	23.08%	25.00%	11.60%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	180	2	0	7	0	2	1	6	1	0	1	0	17	16	18	17	1	2	0	0	2	10	0	5	0	9	3	7	1	1	0	6	3	2	0	0	1	7	0	0	0	5	0	10	2	2	3	4	0	4	0	1	1					
		0.95%	0.56%	0.00%	1.05%	0.00%	0.76%	0.24%	1.51%	0.47%	0.00%	0.35%	0.00%	1.43%	1.32%	1.31%	1.35%	0.90%	0.58%	0.00%	0.00%	0.98%	1.68%	0.00%	0.99%	0.00%	1.86%	0.76%	1.43%	0.57%	1.72%	0.00%	1.24%	0.79%	0.36%	0.00%	0.00%	0.41%	1.64%	0.00%	0.00%	0.00%	0.89%	0.00%	1.60%	0.40%	0.87%	0.72%	0.59%	0.00%	1.02%	0.00%	1.39%	0.28%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4541	67	4	158	125	61	139	73	25	27	60	20	308	318	351	328	29	73	36	13	34	112	42	170	20	72	124	138	35	13	5	72	71	162	2	12	72	105	33	22	1	141	59	183	130	45	82	134	25	69	12	2	127					
		23.91%	18.87%	7.84%	23.62%	27.65%	23.19%	32.94%	18.39%	11.74%	32.53%	21.20%	24.39%	25.97%	26.22%	25.45%	25.97%	26.13%	21.35%	17.48%	27.08%	16.67%	18.79%	15.97%	33.93%	47.62%	14.85%	31.55%	28.28%	19.89%	22.41%	8.93%	14.91%	18.73%	28.88%	5.26%	11.54%	29.88%	24.65%	21.85%	30.14%	1.56%	25.18%	31.89%	29.33%	25.84%	19.48%	19.57%	19.82%	28.41%	17.60%	15.38%	2.78%	35.08%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	225	0	0	10	4	3	1	4	0	1	0	1	32	25	40	14	3	5	3	0	1	3	0	3	0	3	2	4	2	0	0	4	5	1	1	0	5	7	0	0	0	3	0	9	9	5	5	2	1	1	0	1	2					
		1.18%	0.00%	0.00%	1.49%	0.88%	1.14%	0.24%	1.01%	0.00%	1.20%	0.00%	1.22%	2.70%	2.06%	2.90%	1.11%	2.70%	1.46%	1.46%	0.00%	0.49%	0.50%	0.00%	0.60%	0.00%	0.62%	0.51%	0.82%	1.14%	0.00%	0.00%	0.83%	1.32%	0.18%	2.63%	0.00%	2.07%	1.64%	0.00%	0.00%	0.00%	0.54%	0.00%	1.44%	1.79%	2.16%	1.19%	0.30%	1.14%	0.26%	0.00%	1.39%	0.55%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8501	174	36	301	214	128	171	195	101	40	138	35	503	505	553	486	53	134	90	31	106	320	145	208	16	282	189	178	99	34	47	237	204	281	21	61	125	174	81	17	42	233	66	260	171	96	164	338	45	162	43	31	137					
		44.77%	49.01%	70.59%	44.99%	47.35%	48.67%	40.52%	49.12%	47.42%	48.19%	48.76%	42.68%	42.41%	41.63%	40.10%	38.48%	47.75%	39.18%	43.69%	64.58%	51.96%	53.69%	55.13%	41.52%	38.10%	58.14%	48.09%	36.48%	56.25%	58.62%	83.93%	49.07%	53.83%	50.09%	55.26%	58.65%	51.87%	40.85%	53.64%	23.29%	65.63%	41.61%	35.68%	41.67%	33.99%	41.56%	39.14%	50.00%	51.14%	41.33%	55.13%	43.06%	37.85%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	97	4	0	4	3	1	4	1	1	1	0	2	10	6	7	10	0	1	0	1	2	1	1	2	0	1	4	6	0	0	0	1	1	2	1	0	0	1	0	0	0	3	0	2	0	0	1	5	0	5	0	2	0					
		0.51%	1.13%	0.00%	0.60%	0.66%	0.38%	0.95%	0.25%	0.47%	1.20%	0.00%	2.44%	0.84%	0.49%	0.51%	0.79%	0.00%	0.29%	0.00%	2.08%	0.98%	0.17%	0.38%	0.40%	0.00%	0.21%	1.02%	1.23%	0.00%	0.00%	0.00%	0.21%	0.26%	0.36%	2.63%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.54%	0.00%	0.32%	0.00%	0.00%	0.24%	0.74%	0.00%	1.28%	0.00%	2.78%	0.00%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
