Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Новоалтайская городская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	58152	2044	2574	1984	2470	2082	2650	1297	1645	1176	951	1927	1702	2635	2133	2383	1979	2302	2213	2277	1539	2172	2561	1138	1678	1745	2690	1416	2773	1039	977									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55200	2000	2500	2000	2400	2000	2500	1300	1600	1000	900	1900	1700	2500	2000	2300	2000	2300	2000	2000	1500	2000	2500	1000	1500	1500	2500	1400	2500	1000	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21064	629	744	612	780	562	1127	551	636	386	169	739	788	1150	941	840	779	1023	873	918	641	808	999	426	694	473	801	401	816	338	420									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	608	26	34	7	17	79	29	19	12	14	12	1	6	10	17	14	10	32	15	16	6	11	28	10	7	50	30	55	18	16	7									
6	Число погашенных избирательных бюллетеней	33528	1345	1722	1381	1603	1359	1344	730	952	600	719	1160	906	1340	1042	1446	1211	1245	1112	1066	853	1181	1473	564	799	977	1669	944	1666	646	473									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	607	26	34	7	17	79	29	19	12	14	12	1	6	10	17	14	10	32	15	16	6	11	27	10	7	50	30	55	18	16	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21058	629	744	611	779	562	1127	551	636	385	169	739	788	1149	940	840	779	1023	873	918	641	807	999	426	694	473	801	401	816	338	420									
9	Число недействительных избирательных бюллетеней	583	19	19	19	14	13	32	19	22	26	4	24	16	29	19	16	21	37	13	14	15	15	27	27	31	21	28	7	23	4	9									
10	Число действительных избирательных бюллетеней	21082	636	759	599	782	628	1124	551	626	373	177	716	778	1130	938	838	768	1018	875	920	632	803	999	409	670	502	803	449	811	350	418									
