Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Свободненская поселковая												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595					
1	"Число избирателей, внесенных в список избирателей"	6638	1446	1220	1383	1112	1477					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6000	1100	1100	1200	1100	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	238	0	0	0	0	238					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4670	1021	860	956	674	1159					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	114	11	4	9	10	80					
6	Число погашенных избирательных бюллетеней	978	68	236	235	416	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	352	11	4	9	10	318					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4670	1021	860	956	674	1159					
9	Число недействительных избирательных бюллетеней	98	26	23	28	12	9					
10	Число действительных избирательных бюллетеней	4924	1006	841	937	672	1468					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	331	70	65	50	60	86					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	291	55	55	42	53	86					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	172	18	14	13	9	118					
14	Число погашенных неиспользованных открепительных удостоверений	40	15	10	8	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	8	3	4	3					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	570	171	93	127	108	71					
		11.35%	16.57%	10.76%	13.16%	15.79%	4.81%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1056	235	171	198	136	316					
		21.03%	22.77%	19.79%	20.52%	19.88%	21.39%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	9	16	13	4	16					
		1.15%	0.87%	1.85%	1.35%	0.58%	1.08%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	509	124	109	120	55	101					
		10.14%	12.02%	12.62%	12.44%	8.04%	6.84%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	37	12	4	8	4	9					
		0.74%	1.16%	0.46%	0.83%	0.58%	0.61%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2639	448	436	459	354	942					
		52.55%	43.41%	50.46%	47.56%	51.75%	63.78%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	55	7	12	12	11	13					
		1.10%	0.68%	1.39%	1.24%	1.61%	0.88%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
