Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Юргинская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613					
1	"Число избирателей, внесенных в список"	14655	68	77	63	1259	964	442	742	1076	401	465	113	178	97	68	340	81	386	213	303	265	386	261	240	165	720	305	488	345	569	767	1140	211	305	690	173	289					
2	Число полученных избирательных бюллетеней	14045	80	80	70	1110	950	450	690	1000	390	500	130	185	110	70	350	80	370	200	320	270	350	250	230	160	650	300	450	340	550	690	1030	220	310	650	180	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12031	65	69	57	943	817	356	565	873	352	417	97	178	78	68	305	75	293	176	266	236	326	205	202	141	547	236	416	286	515	634	832	198	280	561	122	244					
5	"Число избирательных бюллетеней, выданных вне помещения"	1091	3	8	6	86	42	82	40	23	31	20	16	0	17	0	18	3	47	21	26	18	10	19	28	19	103	17	26	16	34	20	137	2	19	70	51	13					
6	Число погашенных избирательных бюллетеней	923	12	3	7	81	91	12	85	104	7	63	17	7	15	2	27	2	30	3	28	16	14	26	0	0	0	47	8	38	1	36	61	20	11	19	7	23					
7	Число избирательных бюллетеней в переносных ящиках	1091	3	8	6	86	42	82	40	23	31	20	16	0	17	0	18	3	47	21	26	18	10	19	28	19	103	17	26	16	34	20	137	2	19	70	51	13					
8	Число бюллетеней в стационарных ящиках для голосования	12029	65	69	57	943	817	356	565	873	352	417	97	178	78	68	305	75	293	176	266	236	326	205	202	141	547	236	416	286	515	634	832	198	280	559	122	244					
9	Число недействительных избирательных бюллетеней	241	0	0	0	63	8	8	7	23	1	7	0	0	0	1	4	3	6	3	2	2	4	2	2	2	5	7	0	2	1	8	8	2	1	56	1	2					
10	Число действительных избирательных бюллетеней	12879	68	77	63	966	851	430	598	873	382	430	113	178	95	67	319	75	334	194	290	252	332	222	228	158	645	246	442	300	548	646	961	198	298	573	172	255					
11	Число полученных открепительных  удостоверений	207	11	2	2	11	6	4	16	12	11	4	2	2	4	2	12	2	4	4	4	4	4	4	4	4	6	6	6	4	4	10	11	2	2	8	4	9					
12	Число выданных открепительных удостоверений	124	8	0	0	6	3	4	15	12	11	2	1	1	3	0	10	2	4	0	0	0	0	1	1	0	4	3	0	1	0	10	8	2	0	7	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	279	2	3	2	5	5	10	9	7	5	109	1	3	7	5	9	7	4	5	3	4	9	4	4	7	8	4	4	5	1	6	6	2	1	6	5	2					
14	Число неиспользованных открепительных удостоверений	83	3	2	2	5	3	0	1	0	0	2	1	1	1	2	2	0	0	4	4	4	4	3	3	4	2	3	6	3	4	0	3	0	2	1	2	6					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	206	0	0	0	18	12	7	7	11	5	5	2	1	9	0	6	2	6	3	5	4	11	4	5	3	10	7	4	4	6	14	17	1	4	8	3	2					
		1.57%	0.00%	0.00%	0.00%	1.75%	1.40%	1.60%	1.16%	1.23%	1.31%	1.14%	1.77%	0.56%	9.47%	0.00%	1.86%	2.56%	1.76%	1.52%	1.71%	1.57%	3.27%	1.79%	2.17%	1.88%	1.54%	2.77%	0.90%	1.32%	1.09%	2.14%	1.75%	0.50%	1.34%	1.27%	1.73%	0.78%					
19	. Малышкин Олег Александрович	519	4	3	2	48	50	13	26	20	11	18	3	15	1	2	17	1	4	4	12	15	14	0	14	4	26	14	18	15	16	47	33	16	16	8	3	6					
		3.96%	5.88%	3.90%	3.17%	4.66%	5.82%	2.97%	4.30%	2.23%	2.87%	4.12%	2.65%	8.43%	1.05%	2.94%	5.26%	1.28%	1.18%	2.03%	4.11%	5.91%	4.17%	0.00%	6.09%	2.50%	4.00%	5.53%	4.07%	4.97%	2.91%	7.19%	3.41%	8.00%	5.35%	1.27%	1.73%	2.33%					
20	. Миронов Сергей Михайлович	93	0	0	0	5	5	2	5	5	7	3	0	1	1	2	5	0	4	0	1	5	1	1	2	1	2	6	3	2	1	8	9	1	0	1	0	4					
		0.71%	0.00%	0.00%	0.00%	0.49%	0.58%	0.46%	0.83%	0.56%	1.83%	0.69%	0.00%	0.56%	1.05%	2.94%	1.55%	0.00%	1.18%	0.00%	0.34%	1.97%	0.30%	0.45%	0.87%	0.62%	0.31%	2.37%	0.68%	0.66%	0.18%	1.22%	0.93%	0.50%	0.00%	0.16%	0.00%	1.56%					
21	. Путин Владимир Владимирович	9327	51	60	46	617	662	366	367	687	290	309	83	132	62	52	220	50	218	120	242	182	253	164	172	126	426	181	292	230	463	417	633	119	250	439	131	215					
		71.09%	75.00%	77.92%	73.02%	59.96%	77.07%	83.56%	60.66%	76.67%	75.72%	70.71%	73.45%	74.16%	65.26%	76.47%	68.11%	64.10%	64.12%	60.91%	82.88%	71.65%	75.30%	73.21%	74.78%	78.75%	65.54%	71.54%	66.06%	76.16%	84.34%	63.76%	65.33%	59.50%	83.61%	69.79%	75.72%	83.66%					
22	. Хакамада Ирина Муцуовна	284	2	2	0	30	17	12	14	14	3	5	0	3	2	2	6	2	5	3	2	7	14	5	4	2	13	6	9	9	17	30	29	3	2	8	1	1					
