Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Ягоднинская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК  147	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158					
1	"Число избирателей, внесенных в списки"	11596	402	407	2005	1920	406	664	1377	1957	620	1838					
2	"Число бюллетеней, полученных участковыми комиссиями"	11508	453	413	1966	1865	391	672	1342	1901	655	1850					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	140	0	0	0	0	0	0	61	79	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5347	157	187	811	930	145	336	662	921	341	857					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	186	0	12	24	34	28	24	14	21	5	24					
6	Число погашенных бюллетеней	5835	296	214	1131	901	218	312	605	880	309	969					
7	Число бюллетеней в переносных ящиках для голосования	326	0	12	24	34	28	24	75	100	5	24					
8	Число бюллетеней в стационарных ящиках для голосования	5333	157	187	807	930	145	336	661	912	341	857					
9	Число недействительных бюллетеней	55	15	2	3	8	2	4	7	5	1	8					
10	Число действительных бюллетеней	5604	142	197	828	956	171	356	729	1007	345	873					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	248	8	10	40	40	10	10	40	40	10	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	56	5	3	1	3	0	6	0	10	5	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	1	0	2	18	0	1	0	17	0	0					
14	Число погашенных открепительных удостоверений	192	3	7	39	37	10	4	40	30	5	17					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	62	3	4	12	10	0	6	5	9	6	7					
		1.09%	1.91%	2.01%	1.44%	1.03%	0.0%	1.66%	0.67%	0.88%	1.73%	0.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	172	9	2	20	31	3	9	37	53	1	7					
		3.03%	5.73%	1.00%	2.40%	3.21%	1.73%	2.5%	5.02%	5.23%	0.28%	0.79%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	155	4	3	21	20	5	9	17	31	17	28					
		2.73%	2.54%	1.50%	2.52%	2.07%	2.89%	2.5%	2.30%	3.06%	4.91%	3.17%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	214	2	3	39	49	5	5	31	48	13	19					
		3.78%	1.27%	1.50%	4.69%	5.08%	2.89%	1.38%	4.21%	4.74%	3.75%	2.15%					
22	"5. ""За Русь Святую"""	30	1	0	4	2	1	5	5	6	3	3					
		0.53%	0.63%	0.0%	0.48%	0.20%	0.57%	1.38%	0.67%	0.59%	0.86%	0.34%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	2	2	2	1	0	1	4	3	1	1					
		0.30%	1.27%	1.00%	0.24%	0.10%	0.0%	0.27%	0.54%	0.29%	0.28%	0.11%					
24	"7. ""Новый курс - Автомобильная Россия"""	31	0	3	3	1	2	1	3	9	1	8					
		0.54%	0.0%	1.50%	0.36%	0.10%	1.15%	0.27%	0.40%	0.88%	0.28%	0.90%					
25	"8. ""Народно-республиканская партия России"""	1	0	1	0	0	0	0	0	0	0	0					
		0.01%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	0	0	3	2	0	0	4	2	0	3					
		0.24%	0.0%	0.0%	0.36%	0.20%	0.0%	0.0%	0.54%	0.19%	0.0%	0.34%					
27	"10. ""Аграрная партия России"""	97	4	3	12	13	5	3	16	21	4	16					
		1.71%	2.54%	1.50%	1.44%	1.34%	2.89%	0.83%	2.17%	2.07%	1.15%	1.81%					
28	"11. ""Истинные патриоты России"""	11	0	0	1	1	0	1	1	1	0	6					
		0.19%	0.0%	0.0%	0.12%	0.10%	0.0%	0.27%	0.13%	0.09%	0.0%	0.68%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	38	1	4	3	2	3	1	3	10	6	5					
		0.67%	0.63%	2.01%	0.36%	0.20%	1.73%	0.27%	0.40%	0.98%	1.73%	0.56%					
30	"13. ""Демократическая партия России"""	10	0	0	1	4	1	1	0	1	0	2					
		0.17%	0.0%	0.0%	0.12%	0.41%	0.57%	0.27%	0.0%	0.09%	0.0%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	28	0	2	5	4	0	0	1	2	1	13					
		0.49%	0.0%	1.00%	0.60%	0.41%	0.0%	0.0%	0.13%	0.19%	0.28%	1.47%					
32	"15. ""Партия СЛОН"""	7	0	0	0	3	0	1	0	2	0	1					
		0.12%	0.0%	0.0%	0.0%	0.31%	0.0%	0.27%	0.0%	0.19%	0.0%	0.11%					
33	"16. ""Родина"" (народно-патриотический союз)"""	420	4	7	60	67	8	33	73	96	15	57					
		7.42%	2.54%	3.51%	7.22%	6.95%	4.62%	9.16%	9.91%	9.48%	4.33%	6.46%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	0	0	4	2	0	2	1	4	0	0					
		0.22%	0.0%	0.0%	0.48%	0.20%	0.0%	0.55%	0.13%	0.39%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1241	36	41	192	187	47	59	166	217	60	236					
