Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Лиманская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24274	1503	1761	2155	1525	350	1440	1138	1164	1617	674	69	144	146	1214	534	163	927	2043	1485	847	481	205	1467	468	526	228									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20170	1200	1400	1750	1220	320	1160	950	950	1300	650	70	140	140	1000	500	160	800	1650	1200	680	400	200	1180	450	500	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8870	534	711	888	576	132	544	433	380	538	303	54	72	56	424	183	73	376	635	385	378	207	85	448	214	150	91									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1181	28	47	19	72	12	82	55	117	94	28	6	14	6	48	20	9	50	109	90	59	33	24	94	24	30	11									
6	Число погашенных избирательных бюллетеней	10119	638	642	843	572	176	534	462	453	668	319	10	54	78	528	297	78	374	906	725	243	160	91	638	212	320	98									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1181	28	47	19	72	12	82	55	117	94	28	6	14	6	48	20	9	50	109	90	59	33	24	94	24	30	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8866	534	711	885	576	132	544	433	380	538	303	54	72	56	424	183	73	376	635	385	378	207	85	447	214	150	91									
9	Число недействительных избирательных бюллетеней	358	12	24	13	22	7	56	33	11	0	6	5	2	0	22	18	0	4	35	16	23	13	1	21	6	3	5									
10	Число действительных избирательных бюллетеней	9689	550	734	891	626	137	570	455	486	632	325	55	84	62	450	185	82	422	709	459	414	227	108	520	232	177	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	178	15	21	16	21	3	16	14	3	5	5	1	1	1	12	2	1	3	5	5	3	3	1	5	12	3	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	149	15	15	16	19	0	16	8	1	5	5	0	1	0	12	2	1	3	2	5	1	2	1	5	12	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	100	6	4	4	4	2	3	1	42	3	2	2	2	3	3	3	3	4	2	0	0	0	2	2	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	29	0	6	0	2	3	0	6	2	0	0	1	0	1	0	0	0	0	3	0	2	1	0	0	0	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	6	2	4	0	0	0	0	0	0	0	0	0	4	0	0	2	2	1	0	0	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
