Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Курская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697					
1	"Число избирателей, внесенных в списки"	34271	1776	1848	1764	1288	1229	1044	505	163	211	1319	1515	616	948	2793	1142	1492	568	1565	1254	523	719	844	1376	2464	415	235	1059	586	692	964	198	241	915					
2	"Число бюллетеней, полученных участковыми комиссиями"	33850	1750	1800	1750	1300	1200	1000	500	150	200	1200	1500	600	950	2750	1150	1450	500	1450	1200	500	650	800	1400	2450	400	250	1000	550	700	950	170	230	1400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15839	887	869	775	555	569	525	275	56	134	685	748	356	501	1317	641	668	210	804	579	267	444	391	601	1100	240	119	420	198	165	353	46	64	277					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1189	56	50	101	35	39	15	0	15	0	26	33	25	18	1	4	111	12	54	51	20	15	80	37	21	4	16	41	8	34	53	30	46	138					
6	Число погашенных бюллетеней	16822	807	881	874	710	592	460	225	79	66	489	719	219	431	1432	505	671	278	592	570	213	191	329	762	1329	156	115	539	344	501	544	94	120	985					
7	Число бюллетеней в переносных ящиках для голосования	1059	56	50	101	35	39	15	0	15	0	26	33	25	18	1	4	111	12	54	51	20	15	80	37	21	4	16	41	8	34	53	30	46	8					
8	Число бюллетеней в стационарных ящиках для голосования	15622	887	869	773	555	568	525	275	56	134	685	748	356	501	1317	641	668	209	804	577	267	444	391	598	1100	240	119	420	198	165	353	46	64	69					
9	Число недействительных бюллетеней	414	15	13	11	9	5	10	18	2	1	63	12	14	27	34	18	8	3	21	24	16	5	0	26	21	2	2	11	3	6	10	3	0	1					
10	Число действительных бюллетеней	16267	928	906	863	581	602	530	257	69	133	648	769	367	492	1284	627	771	218	837	604	271	454	471	609	1100	242	133	450	203	193	396	73	110	76					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	270	10	10	10	8	8	8	8	5	5	8	10	8	8	13	8	10	8	10	8	8	8	8	10	10	8	5	8	8	8	8	5	5	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	45	4	4	4	2	4	0	0	1	0	0	0	0	1	1	1	5	0	4	0	0	0	0	1	4	0	0	2	1	0	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	2	6	1	2	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	2	0	3	1					
14	Число погашенных открепительных удостоверений	225	6	6	6	6	4	8	8	4	5	8	10	8	7	12	7	5	8	6	8	8	8	8	9	6	8	5	6	7	8	2	5	5	8					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	376	11	9	23	4	6	10	9	2	7	42	22	18	17	14	9	11	10	19	19	16	20	6	14	21	4	5	6	7	2	8	2	2	1					
		2.25%	1.16%	0.97%	2.63%	0.67%	0.98%	1.85%	3.27%	2.81%	5.22%	5.90%	2.81%	4.72%	3.27%	1.06%	1.39%	1.41%	4.52%	2.21%	3.02%	5.57%	4.35%	1.27%	2.20%	1.87%	1.63%	3.70%	1.30%	3.39%	1.00%	1.97%	2.63%	1.81%	1.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	124	5	9	19	3	3	5	3	1	2	14	4	2	4	9	0	3	1	6	0	1	2	0	1	8	0	1	4	2	3	3	6	0	0					
		0.74%	0.53%	0.97%	2.17%	0.50%	0.49%	0.92%	1.09%	1.40%	1.49%	1.96%	0.51%	0.52%	0.77%	0.68%	0.0%	0.38%	0.45%	0.69%	0.0%	0.34%	0.43%	0.0%	0.15%	0.71%	0.0%	0.74%	0.86%	0.97%	1.50%	0.73%	7.89%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	464	35	44	33	25	21	28	8	1	1	26	19	15	13	11	6	21	3	25	12	10	7	5	15	18	1	4	19	9	6	19	2	0	2					
		2.78%	3.71%	4.78%	3.77%	4.23%	3.45%	5.18%	2.90%	1.40%	0.74%	3.65%	2.43%	3.93%	2.50%	0.83%	0.93%	2.69%	1.35%	2.91%	1.91%	3.48%	1.52%	1.06%	2.36%	1.60%	0.40%	2.96%	4.12%	4.36%	3.01%	4.67%	2.63%	0.0%	2.59%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	254	18	16	19	22	10	3	2	2	1	4	5	2	4	23	10	15	2	12	7	5	5	7	7	11	0	0	4	3	13	8	13	0	1					
		1.52%	1.90%	1.74%	2.17%	3.72%	1.64%	0.55%	0.72%	2.81%	0.74%	0.56%	0.64%	0.52%	0.77%	1.74%	1.55%	1.92%	0.90%	1.39%	1.11%	1.74%	1.08%	1.48%	1.10%	0.98%	0.0%	0.0%	0.86%	1.45%	6.53%	1.97%	17.10%	0.0%	1.29%					
22	"5. ""За Русь Святую"""	66	5	3	5	4	2	6	0	0	1	4	5	6	0	0	0	3	7	1	2	1	2	0	2	2	0	1	0	2	0	2	0	0	0					
		0.39%	0.53%	0.32%	0.57%	0.67%	0.32%	1.11%	0.0%	0.0%	0.74%	0.56%	0.64%	1.57%	0.0%	0.0%	0.0%	0.38%	3.16%	0.11%	0.31%	0.34%	0.43%	0.0%	0.31%	0.17%	0.0%	0.74%	0.0%	0.97%	0.0%	0.49%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	41	1	2	3	3	1	2	3	0	3	4	1	1	1	0	0	4	1	1	0	1	0	0	2	4	0	1	2	0	0	0	0	0	0					
		0.24%	0.10%	0.21%	0.34%	0.50%	0.16%	0.37%	1.09%	0.0%	2.23%	0.56%	0.12%	0.26%	0.19%	0.0%	0.0%	0.51%	0.45%	0.11%	0.0%	0.34%	0.0%	0.0%	0.31%	0.35%	0.0%	0.74%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	90	3	5	4	7	4	3	1	0	1	12	4	2	3	6	3	2	1	5	5	2	0	2	4	0	0	1	1	1	2	0	0	1	5					
		0.53%	0.31%	0.54%	0.45%	1.18%	0.65%	0.55%	0.36%	0.0%	0.74%	1.68%	0.51%	0.52%	0.57%	0.45%	0.46%	0.25%	0.45%	0.58%	0.79%	0.69%	0.0%	0.42%	0.62%	0.0%	0.0%	0.74%	0.21%	0.48%	1.00%	0.0%	0.0%	0.90%	6.49%					
25	"8. ""Народно-республиканская партия России"""	29	2	1	3	0	0	0	0	0	0	1	0	0	2	6	0	0	1	5	0	2	0	0	2	1	0	1	1	0	1	0	0	0	0					
		0.17%	0.21%	0.10%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.38%	0.45%	0.0%	0.0%	0.45%	0.58%	0.0%	0.69%	0.0%	0.0%	0.31%	0.08%	0.0%	0.74%	0.21%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	28	3	1	1	0	1	0	1	1	0	4	1	1	3	0	0	0	0	3	2	2	0	0	0	0	0	0	3	0	0	1	0	0	0					
		0.16%	0.31%	0.10%	0.11%	0.0%	0.16%	0.0%	0.36%	1.40%	0.0%	0.56%	0.12%	0.26%	0.57%	0.0%	0.0%	0.0%	0.0%	0.34%	0.31%	0.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1090	79	37	56	19	63	41	11	0	15	6	34	22	37	102	44	53	20	35	43	17	22	26	93	96	4	17	37	8	15	30	3	5	0					
		6.53%	8.37%	4.02%	6.40%	3.22%	10.37%	7.59%	4.0%	0.0%	11.19%	0.84%	4.35%	5.77%	7.12%	7.73%	6.82%	6.80%	9.04%	4.07%	6.84%	5.92%	4.79%	5.52%	14.64%	8.56%	1.63%	12.59%	8.02%	3.88%	7.53%	7.38%	3.94%	4.54%	0.0%					
28	"11. ""Истинные патриоты России"""	385	8	7	12	5	3	7	15	1	0	51	24	3	7	11	1	1	7	30	7	5	28	14	4	2	33	5	15	3	6	37	3	30	0					
		2.30%	0.84%	0.76%	1.37%	0.84%	0.49%	1.29%	5.45%	1.40%	0.0%	7.17%	3.07%	0.78%	1.34%	0.83%	0.15%	0.12%	3.16%	3.49%	1.11%	1.74%	6.10%	2.97%	0.62%	0.17%	13.52%	3.70%	3.25%	1.45%	3.01%	9.11%	3.94%	27.27%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	183	13	7	10	4	4	4	6	1	3	6	6	4	8	20	8	8	3	9	10	3	9	5	2	19	2	1	1	1	4	0	1	0	1					
		1.09%	1.37%	0.76%	1.14%	0.67%	0.65%	0.74%	2.18%	1.40%	2.23%	0.84%	0.76%	1.04%	1.54%	1.51%	1.24%	1.02%	1.35%	1.04%	1.59%	1.04%	1.96%	1.06%	0.31%	1.69%	0.81%	0.74%	0.21%	0.48%	2.01%	0.0%	1.31%	0.0%	1.29%					
30	"13. ""Демократическая партия России"""	58	2	4	2	2	5	2	4	1	0	8	3	1	0	9	0	2	0	1	2	0	0	1	3	1	0	0	5	0	0	0	0	0	0					
		0.34%	0.21%	0.43%	0.22%	0.33%	0.82%	0.37%	1.45%	1.40%	0.0%	1.12%	0.38%	0.26%	0.0%	0.68%	0.0%	0.25%	0.0%	0.11%	0.31%	0.0%	0.0%	0.21%	0.47%	0.08%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	66	3	2	1	3	2	6	0	0	0	5	1	1	2	1	0	4	2	5	1	1	8	1	2	4	3	1	0	1	5	0	0	0	1					
		0.39%	0.31%	0.21%	0.11%	0.50%	0.32%	1.11%	0.0%	0.0%	0.0%	0.70%	0.12%	0.26%	0.38%	0.07%	0.0%	0.51%	0.90%	0.58%	0.15%	0.34%	1.74%	0.21%	0.31%	0.35%	1.22%	0.74%	0.0%	0.48%	2.51%	0.0%	0.0%	0.0%	1.29%					
32	"15. ""Партия СЛОН"""	30	0	1	0	0	2	1	0	0	0	4	0	0	2	3	0	1	1	6	1	1	2	0	1	1	1	0	1	0	1	0	0	0	0					
		0.17%	0.0%	0.10%	0.0%	0.0%	0.32%	0.18%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.38%	0.22%	0.0%	0.12%	0.45%	0.69%	0.15%	0.34%	0.43%	0.0%	0.15%	0.08%	0.40%	0.0%	0.21%	0.0%	0.50%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	996	62	72	80	52	55	44	17	10	5	6	19	2	19	93	23	83	8	66	52	11	15	4	36	71	9	6	17	14	12	32	0	0	1					
		5.97%	6.57%	7.83%	9.15%	8.81%	9.06%	8.14%	6.18%	14.08%	3.73%	0.84%	2.43%	0.52%	3.66%	7.05%	3.56%	10.65%	3.61%	7.69%	8.28%	3.83%	3.26%	0.84%	5.66%	6.33%	3.68%	4.44%	3.68%	6.79%	6.03%	7.88%	0.0%	0.0%	1.29%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	145	0	4	1	4	2	0	22	1	3	14	3	5	3	7	3	1	16	9	5	4	4	3	5	8	4	3	2	2	1	2	3	1	0					
		0.86%	0.0%	0.43%	0.11%	0.67%	0.32%	0.0%	8.0%	1.40%	2.23%	1.96%	0.38%	1.31%	0.57%	0.53%	0.46%	0.12%	7.23%	1.04%	0.79%	1.39%	0.87%	0.63%	0.78%	0.71%	1.63%	2.22%	0.43%	0.97%	0.50%	0.49%	3.94%	0.90%	0.0%					
35	"18. ""ЛДПР"""	1888	141	117	103	96	78	76	58	5	31	48	92	53	70	55	22	120	17	100	53	38	56	11	110	175	20	11	48	28	13	32	4	1	6					
