Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Миякинская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046					
1	"Число избирателей, внесенных в список"	20415	301	411	208	329	424	574	280	206	376	185	68	475	365	366	125	305	205	246	145	328	300	187	247	335	154	148	152	519	322	579	416	141	116	372	534	249	158	570	130	67	395	497	205	401	151	413	512	488	329	223	327	90	154	483	236	1465	459	1073	896					
2	Число полученных избирательных бюллетеней	22082	320	490	230	345	435	575	290	208	385	195	68	478	392	390	135	320	220	255	145	345	310	190	247	350	160	145	165	530	335	590	425	155	118	390	578	262	168	600	140	70	395	510	205	420	155	475	540	500	353	240	380	103	162	575	265	1650	585	1260	1160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18738	269	381	201	286	354	484	267	205	362	177	68	426	335	346	116	283	189	244	137	310	285	167	238	319	142	130	132	433	284	478	388	138	73	348	510	224	153	525	91	58	308	438	189	377	151	398	490	467	300	209	322	90	142	460	226	1391	416	966	842					
5	"Число избирательных бюллетеней, выданных вне помещения"	1359	7	30	7	29	59	61	13	0	14	8	0	36	24	20	6	18	16	2	8	18	14	19	8	16	12	12	20	86	38	58	6	3	43	24	19	20	2	45	39	9	83	51	16	24	0	15	18	17	29	10	5	0	12	23	8	44	43	65	27					
6	Число погашенных избирательных бюллетеней	1985	44	79	22	30	22	30	10	3	9	10	0	16	33	24	13	19	15	9	0	17	11	4	1	15	6	3	13	11	13	54	31	14	2	18	49	18	13	30	10	3	4	21	0	19	4	62	32	16	24	21	53	13	8	92	31	215	126	229	291					
7	Число избирательных бюллетеней в переносных ящиках	1359	7	30	7	29	59	61	13	0	14	8	0	36	24	20	6	18	16	2	8	18	14	19	8	16	12	12	20	86	38	58	6	3	43	24	19	20	2	45	39	9	83	51	16	24	0	15	18	17	29	10	5	0	12	23	8	44	43	65	27					
8	Число бюллетеней в стационарных ящиках для голосования	18738	269	381	201	286	354	484	267	205	362	177	68	426	335	346	116	283	189	244	137	310	285	167	238	319	142	130	132	433	284	478	388	138	73	348	510	224	153	525	91	58	308	438	189	377	151	398	490	467	300	209	322	90	142	460	226	1391	416	966	842					
9	Число недействительных избирательных бюллетеней	78	0	0	3	1	1	0	24	0	0	0	0	0	0	0	0	0	1	7	11	0	0	0	0	3	0	0	0	0	0	2	0	0	0	3	1	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	2	2	0	0	1	10	0					
10	Число действительных избирательных бюллетеней	20019	276	411	205	314	412	545	256	205	376	185	68	462	359	366	122	301	204	239	134	328	299	186	246	332	154	142	152	519	322	534	394	141	116	369	528	244	153	570	130	67	391	488	205	401	151	412	507	484	329	219	327	89	152	481	234	1435	458	1021	869					
11	Число полученных открепительных  удостоверений	290	3	4	2	3	4	5	2	2	3	2	1	4	3	3	1	3	2	2	1	3	3	2	2	3	1	1	1	5	3	5	6	1	1	3	5	2	1	4	2	1	3	5	2	4	1	4	5	4	6	5	4	1	1	10	14	46	12	28	30					
12	Число выданных открепительных удостоверений	185	3	4	0	3	1	0	2	0	0	0	0	2	3	2	0	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0	6	1	0	2	2	1	0	4	2	0	2	1	0	1	0	2	3	2	6	5	2	0	1	5	5	46	2	28	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	131	0	1	3	5	1	4	1	2	3	2	3	2	2	6	1	1	0	6	0	1	1	0	1	0	2	0	3	1	2	4	5	1	0	4	3	0	2	2	0	2	1	3	1	2	3	3	4	2	4	1	0	1	4	1	4	6	6	4	4					
14	Число неиспользованных открепительных удостоверений	105	0	0	2	0	3	5	0	2	3	2	1	2	0	1	1	3	0	2	1	3	3	2	2	1	0	1	1	5	2	5	0	0	1	1	3	1	1	0	0	1	1	4	2	3	1	2	2	2	0	0	2	1	0	5	9	0	10	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	1	0	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
