Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Черняховская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556					
1	"Число избирателей, внесенных в список избирателей"	44212	2081	1826	1569	1768	1525	1161	1640	1812	2347	2082	1495	1731	1398	1851	1253	2134	1944	1752	1683	1496	935	650	406	332	611	436	300	859	392	528	535	724	703	360	645	342	906					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35800	1700	1300	1300	1400	1200	1000	1300	1500	2000	1700	1200	1400	1100	1600	1100	1800	1500	1400	1200	1200	700	500	300	300	500	400	250	700	300	400	400	700	600	300	400	400	750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20788	853	632	839	1111	820	578	700	963	1228	1077	710	797	544	1000	631	1039	1017	881	942	633	344	196	138	148	262	187	101	308	162	207	196	339	364	160	263	149	269					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1396	31	249	7	7	30	18	9	28	44	46	16	23	111	21	12	38	23	10	29	82	6	60	13	12	48	6	2	71	12	22	14	26	27	55	41	14	133					
6	Число погашенных избирательных бюллетеней	13616	816	419	454	282	350	404	591	509	728	577	474	580	445	579	457	723	460	509	229	485	350	244	149	140	190	207	147	321	126	171	190	335	209	85	96	237	348					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1396	31	249	7	7	30	18	9	28	44	46	16	23	111	21	12	38	23	10	29	82	6	60	13	12	48	6	2	71	12	22	14	26	27	55	41	14	133					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20782	853	632	839	1110	820	578	699	962	1227	1077	710	797	544	1000	631	1039	1017	880	942	633	344	196	138	147	262	187	101	308	162	207	196	339	364	160	263	149	269					
9	Число недействительных избирательных бюллетеней	322	19	6	8	16	19	12	21	14	15	16	14	14	12	11	5	10	5	20	22	10	6	5	3	1	2	6	0	2	1	3	7	1	4	2	2	1	7					
10	Число действительных избирательных бюллетеней	21856	865	875	838	1101	831	584	687	976	1256	1107	712	806	643	1010	638	1067	1035	870	949	705	344	251	148	158	308	187	103	377	173	226	203	364	387	213	302	162	395					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	580	15	15	18	27	15	15	60	25	15	25	15	15	15	25	30	25	25	15	20	15	10	10	10	10	10	10	10	10	10	10	10	10	5	5	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	379	10	10	18	25	8	7	60	18	11	16	10	15	7	21	15	20	20	8	16	13	3	3	1	1	1	2	1	0	2	3	10	7	4	0	3	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	192	2	5	10	8	18	4	11	8	11	11	9	8	6	12	4	13	7	1	12	1	2	3	4	0	2	0	0	2	2	2	6	0	3	2	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	201	5	5	0	2	7	8	0	7	4	9	5	0	8	4	15	5	5	7	4	2	7	7	9	9	9	8	9	10	8	7	0	3	1	5	2	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	1	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3178	125	124	134	146	133	93	108	120	162	205	109	117	76	153	114	183	130	144	142	141	32	27	23	22	33	20	19	50	23	26	24	47	62	31	27	23	30					
		14.33%	14.14%	14.07%	15.84%	13.07%	15.65%	15.60%	15.25%	12.12%	12.75%	18.25%	15.01%	14.27%	11.60%	14.99%	17.73%	16.99%	12.50%	16.18%	14.62%	19.72%	9.14%	10.55%	15.23%	13.84%	10.65%	10.36%	18.45%	13.19%	13.22%	11.35%	11.43%	12.88%	15.86%	14.42%	8.88%	14.11%	7.46%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3359	186	154	111	189	100	83	114	156	177	147	104	106	106	154	77	143	155	126	158	115	54	40	13	27	56	38	30	47	26	54	22	66	77	26	35	19	68					
		15.15%	21.04%	17.48%	13.12%	16.92%	11.76%	13.93%	16.10%	15.76%	13.93%	13.09%	14.33%	12.93%	16.18%	15.08%	11.98%	13.28%	14.90%	14.16%	16.27%	16.08%	15.43%	15.63%	8.61%	16.98%	18.06%	19.69%	29.13%	12.40%	14.94%	23.58%	10.48%	18.08%	19.69%	12.09%	11.51%	11.66%	16.92%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	288	5	7	12	27	9	12	10	15	21	10	9	11	8	15	10	17	23	12	8	8	3	3	1	1	0	3	1	1	2	0	5	2	6	2	1	3	5					
		1.30%	0.57%	0.79%	1.42%	2.42%	1.06%	2.01%	1.41%	1.52%	1.65%	0.89%	1.24%	1.34%	1.22%	1.47%	1.56%	1.58%	2.21%	1.35%	0.82%	1.12%	0.86%	1.17%	0.66%	0.63%	0.00%	1.55%	0.97%	0.26%	1.15%	0.00%	2.38%	0.55%	1.53%	0.93%	0.33%	1.84%	1.24%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6063	251	240	301	268	285	182	156	310	352	367	227	245	164	321	191	324	334	259	316	170	80	68	28	35	28	20	15	64	27	60	40	52	78	36	54	27	88					
		27.34%	28.39%	27.24%	35.58%	23.99%	33.53%	30.54%	22.03%	31.31%	27.69%	32.68%	31.27%	29.88%	25.04%	31.44%	29.70%	30.08%	32.12%	29.10%	32.54%	23.78%	22.86%	26.56%	18.54%	22.01%	9.03%	10.36%	14.56%	16.89%	15.52%	26.20%	19.05%	14.25%	19.95%	16.74%	17.76%	16.56%	21.89%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	670	27	34	29	50	29	18	34	30	43	31	28	31	13	35	22	45	28	30	24	14	10	4	4	0	7	0	0	9	2	3	1	6	11	3	5	2	8					
		3.02%	3.05%	3.86%	3.43%	4.48%	3.41%	3.02%	4.80%	3.03%	3.38%	2.76%	3.86%	3.78%	1.98%	3.43%	3.42%	4.18%	2.69%	3.37%	2.47%	1.96%	2.86%	1.56%	2.65%	0.00%	2.26%	0.00%	0.00%	2.37%	1.15%	1.31%	0.48%	1.64%	2.81%	1.40%	1.64%	1.23%	1.99%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8167	268	310	249	409	273	188	255	343	493	339	229	295	275	328	220	346	357	295	296	252	165	108	78	71	181	106	36	205	90	82	111	191	151	113	179	85	195					
		36.82%	30.32%	35.19%	29.43%	36.62%	32.12%	31.54%	36.02%	34.65%	38.79%	30.19%	31.54%	35.98%	41.98%	32.13%	34.21%	32.13%	34.33%	33.15%	30.48%	35.24%	47.14%	42.19%	51.66%	44.65%	58.39%	54.92%	34.95%	54.09%	51.72%	35.81%	52.86%	52.33%	38.62%	52.56%	58.88%	52.15%	48.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	131	3	6	2	12	2	8	10	2	8	8	6	1	1	4	4	9	8	4	5	5	0	1	1	2	3	0	2	1	3	1	0	0	2	2	1	3	1					
		0.59%	0.34%	0.68%	0.24%	1.07%	0.24%	1.34%	1.41%	0.20%	0.63%	0.71%	0.83%	0.12%	0.15%	0.39%	0.62%	0.84%	0.77%	0.45%	0.51%	0.70%	0.00%	0.39%	0.66%	1.26%	0.97%	0.00%	1.94%	0.26%	1.72%	0.44%	0.00%	0.00%	0.51%	0.93%	0.33%	1.84%	0.25%					
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
