Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Людиновская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447					
1	"Число избирателей, внесенных в список"	36812	2504	1327	1492	1291	1743	2972	1656	1666	2856	2825	1183	724	722	753	1772	1501	1670	2336	1275	1069	296	410	130	239	188	91	80	359	297	312	226	123	70	155	499					
2	Число полученных избирательных бюллетеней	36598	2508	1305	1474	1301	1777	2905	1634	1642	2853	2811	1155	715	711	742	1797	1477	1676	2322	1275	1040	291	410	128	241	189	91	87	359	299	312	218	119	70	161	503					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18127	1310	613	687	671	899	1399	745	778	1454	1324	586	317	286	362	934	770	831	1178	644	447	146	201	86	112	106	70	46	147	160	192	120	79	46	106	275					
5	"Число избирательных бюллетеней, выданных вне помещения"	1144	28	10	49	42	16	69	31	38	13	18	70	68	39	35	26	26	13	33	14	81	27	62	23	40	14	0	14	84	0	5	49	8	4	8	87					
6	Число погашенных избирательных бюллетеней	17327	1170	682	738	588	862	1437	858	826	1386	1469	499	330	386	345	837	681	832	1111	617	512	118	147	19	89	69	21	27	128	139	115	49	32	20	47	141					
7	Число избирательных бюллетеней в переносных ящиках	1144	28	10	49	42	16	69	31	38	13	18	70	68	39	35	26	26	13	33	14	81	27	62	23	40	14	0	14	84	0	5	49	8	4	8	87					
8	Число бюллетеней в стационарных ящиках для голосования	18088	1310	613	687	671	899	1399	745	778	1441	1324	586	317	286	362	934	744	831	1178	644	447	146	201	86	112	106	70	46	147	160	192	120	79	46	106	275					
9	Число недействительных избирательных бюллетеней	199	13	7	14	6	12	14	6	5	16	13	6	4	1	6	8	14	7	15	3	7	1	0	3	0	4	0	1	1	4	0	2	1	2	0	3					
10	Число действительных избирательных бюллетеней	19033	1325	616	722	707	903	1454	770	811	1438	1329	650	381	324	391	952	756	837	1196	655	521	172	263	106	152	116	70	59	230	156	197	167	86	48	114	359					
