Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Светлогорская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12903	2428	1739	2062	1285	1360	1127	842	2060									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12500	2440	1730	2140	1170	1080	1190	750	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6596	1135	814	968	729	713	779	472	986									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	117	26	6	23	14	17	7	17	7									
6	Число погашенных избирательных бюллетеней	5787	1279	910	1149	427	350	404	261	1007									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	117	26	6	23	14	17	7	17	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6594	1134	814	968	729	713	779	472	985									
9	Число недействительных избирательных бюллетеней	181	29	23	16	16	11	32	10	44									
10	Число действительных избирательных бюллетеней	6530	1131	797	975	727	719	754	479	948									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	20	30	15	10	15	10	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	115	20	19	15	10	11	6	10	24									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	310	9	6	30	12	142	39	59	13									
14	Число погашенных неиспользованных открепительных удостоверений	25	0	11	0	0	4	4	0	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	9	8	10	5	1	1	2	14									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	140	24	12	28	16	21	18	9	12									
		2.09%	2.07%	1.46%	2.83%	2.15%	2.88%	2.29%	1.84%	1.21%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	163	37	19	19	7	20	12	13	36									
		2.43%	3.19%	2.32%	1.92%	0.94%	2.74%	1.53%	2.66%	3.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	118	28	21	25	10	11	8	3	12									
		1.76%	2.41%	2.56%	2.52%	1.35%	1.51%	1.02%	0.61%	1.21%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3260	468	338	457	456	285	449	304	503									
		48.58%	40.34%	41.22%	46.12%	61.37%	39.04%	57.12%	62.17%	50.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	48	2	8	9	6	7	6	4	6									
		0.72%	0.17%	0.98%	0.91%	0.81%	0.96%	0.76%	0.82%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	1	3	3	2	0	1	2	3									
		0.22%	0.09%	0.37%	0.30%	0.27%	0.00%	0.13%	0.41%	0.30%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	936	165	132	144	73	92	81	71	178									
		13.95%	14.22%	16.10%	14.53%	9.83%	12.60%	10.31%	14.52%	17.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	82	15	7	16	12	9	9	7	7									
		1.22%	1.29%	0.85%	1.61%	1.62%	1.23%	1.15%	1.43%	0.71%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	148	30	20	27	21	24	10	10	6									
		2.21%	2.59%	2.44%	2.72%	2.83%	3.29%	1.27%	2.04%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	2	0	1	1	0	1									
		0.07%	0.00%	0.00%	0.20%	0.00%	0.14%	0.13%	0.00%	0.10%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	207	26	25	33	39	39	22	9	14									
		3.08%	2.24%	3.05%	3.33%	5.25%	5.34%	2.80%	1.84%	1.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	930	221	129	149	51	130	101	33	116									
		13.86%	19.05%	15.73%	15.04%	6.86%	17.81%	12.85%	6.75%	11.69%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	206	39	32	31	16	31	18	5	34									
		3.07%	3.36%	3.90%	3.13%	2.15%	4.25%	2.29%	1.02%	3.43%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	272	75	51	32	18	49	18	9	20									
		4.05%	6.47%	6.22%	3.23%	2.42%	6.71%	2.29%	1.84%	2.02%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
