Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																														
Дата голосования: 18.09.2016																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Туймазинская																																																																																														
																																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																														
																																																																																														
		Сумма	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97538	2638	1094	1405	1655	2868	1173	2339	2513	2256	1485	1198	2514	2442	2574	2259	2426	1556	845	1018	1170	2347	2582	2664	1287	1393	2677	502	630	262	662	322	703	620	189	1337	1346	337	862	580	857	425	1995	2662	2139	1788	484	747	253	506	795	277	365	423	232	258	365	400	584	330	456	1329	1390	634	397	2149	2313	2890	1315	2049	1500	1830	473	186	144	271	126	249	816	580	1037	246	276	267									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93841	2515	1040	1343	1582	2600	1112	2214	2358	2174	1411	1141	2393	2242	2510	2163	2308	1478	790	950	1114	2367	2443	2468	1223	1329	2569	498	625	260	645	320	703	626	192	1310	1330	332	862	571	918	417	1932	2561	2024	1760	569	741	246	500	867	271	358	416	227	255	355	393	558	480	447	1263	1315	619	387	1993	2105	2745	1290	1915	1422	1750	472	182	141	265	154	249	805	568	1016	246	272	261									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	65783	2142	918	1059	543	2002	343	1412	2032	1839	1255	831	2050	1701	786	771	2003	1273	302	827	402	1885	576	2242	1070	1126	2182	382	573	208	599	288	590	458	132	1161	1185	287	780	491	670	375	688	1248	673	601	361	587	146	304	641	239	287	336	207	223	278	339	448	281	334	1225	1281	379	261	852	964	1870	1050	1631	1214	1145	426	153	124	238	113	213	737	510	754	219	240	212									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2545	22	3	50	16	89	7	15	15	9	11	8	12	8	2	9	9	18	27	0	21	36	7	8	6	12	13	76	26	43	19	21	53	63	54	83	40	23	38	60	44	28	10	38	24	66	47	55	11	29	23	20	49	53	16	23	66	41	77	49	49	38	34	48	26	8	8	8	68	15	16	189	5	18	13	9	13	27	14	30	32	18	22	36									
6	Число погашенных избирательных бюллетеней	25513	351	119	234	1023	509	762	787	311	326	145	302	331	533	1722	1383	296	187	461	123	691	446	1860	218	147	191	374	40	26	9	27	11	60	105	6	66	105	22	44	20	204	14	1234	1275	1327	1093	161	99	89	167	203	12	22	27	4	9	11	13	33	150	64	0	0	192	100	1133	1133	867	172	269	192	416	41	11	4	18	28	9	54	28	230	9	10	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2545	22	3	50	16	89	7	15	15	9	11	8	12	8	2	9	9	18	27	0	21	36	7	8	6	12	13	76	26	43	19	21	53	63	54	83	40	23	38	60	44	28	10	38	24	66	47	55	11	29	23	20	49	53	16	23	66	41	77	49	49	38	34	48	26	8	8	8	68	15	16	189	5	18	13	9	13	27	14	30	32	18	22	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	65670	2142	918	1059	543	1913	343	1412	2032	1839	1255	831	2050	1701	786	771	2003	1273	302	827	402	1885	576	2242	1070	1126	2182	382	573	208	599	288	590	458	132	1161	1185	287	780	491	670	375	688	1248	649	601	361	587	146	304	641	239	287	336	207	223	278	339	448	281	334	1225	1281	379	261	852	964	1870	1050	1631	1214	1145	426	153	124	238	113	213	737	510	754	219	240	212									
9	Число недействительных избирательных бюллетеней	475	2	0	0	41	10	16	15	11	0	0	0	15	16	18	17	0	0	5	8	20	0	11	6	0	11	16	0	0	0	0	0	0	0	0	0	14	0	8	0	7	6	21	4	27	16	11	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	7	0	34	15	15	9	16	1	0	0	0	0	3	0	0	0	0	7	0	1	0									
10	Число действительных избирательных бюллетеней	67740	2162	921	1109	518	1992	334	1412	2036	1848	1266	839	2047	1693	770	763	2012	1291	324	819	403	1921	572	2244	1076	1127	2179	458	599	251	618	309	643	521	186	1244	1211	310	810	551	707	397	677	1282	646	651	397	638	157	333	653	259	336	389	223	246	344	380	525	330	383	1263	1315	420	287	826	957	1863	1109	1630	1229	1334	431	171	137	244	126	240	751	540	779	237	261	248									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	854	29	11	14	15	30	12	25	26	23	12	10	30	30	30	27	27	14	10	12	12	30	30	30	11	14	30	3	3	2	3	2	5	8	2	5	6	2	8	4	5	4	15	20	11	8	5	10	2	4	5	2	3	3	2	2	2	3	5	4	3	7	5	6	4	15	17	17	4	13	12	9	3	1	1	2	1	2	7	3	4	2	3	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	399	7	1	3	6	6	5	12	15	23	8	3	5	7	17	9	10	4	5	3	12	3	0	4	6	4	19	3	3	1	2	1	3	8	1	3	6	2	7	2	3	1	15	20	9	8	0	4	0	4	5	0	0	2	0	1	1	0	0	4	2	0	0	0	1	12	17	17	4	8	2	7	2	0	0	2	0	1	2	0	1	2	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	129	0	1	2	2	0	2	4	4	3	2	2	6	5	1	0	2	4	0	0	6	4	1	3	3	1	3	3	4	0	1	0	2	1	0	1	0	0	1	0	0	0	4	0	3	0	0	4	1	0	1	0	0	1	0	0	1	1	2	3	0	0	5	2	2	8	2	1	3	3	2	4	0	0	0	1	0	1	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	455	22	10	11	9	24	7	13	11	0	4	7	25	23	13	18	17	10	5	9	0	27	30	26	5	10	11	0	0	1	1	1	2	0	1	2	0	0	1	2	2	3	0	0	2	0	5	6	2	0	0	2	3	1	2	1	1	3	5	0	1	7	5	6	3	3	0	0	0	5	10	2	1	1	1	0	1	1	5	3	3	0	0	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	119	2	3	4	0	4	2	1	5	4	0	2	5	5	3	4	4	1	1	0	2	4	1	1	3	1	8	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	8	11	10	2	2	0	2	0	0	0	0	0	0	2	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	391	4	0	0	10	11	5	25	4	9	0	4	2	8	13	12	2	1	3	7	5	12	7	10	8	0	15	2	0	0	5	8	5	0	0	8	2	0	12	1	2	2	10	20	8	3	1	5	2	4	6	0	0	0	0	0	4	2	2	7	2	6	0	5	5	15	9	11	7	8	7	5	0	1	0	1	1	0	1	0	5	0	4	0									
		0.57%	0.18%	0.00%	0.00%	1.79%	0.55%	1.43%	1.75%	0.20%	0.49%	0.00%	0.48%	0.10%	0.47%	1.65%	1.54%	0.10%	0.08%	0.91%	0.85%	1.18%	0.62%	1.20%	0.44%	0.74%	0.00%	0.68%	0.44%	0.00%	0.00%	0.81%	2.59%	0.78%	0.00%	0.00%	0.64%	0.16%	0.00%	1.47%	0.18%	0.28%	0.50%	1.43%	1.56%	1.19%	0.45%	0.25%	0.78%	1.27%	1.20%	0.90%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.53%	0.38%	2.12%	0.52%	0.48%	0.00%	1.17%	1.74%	1.74%	0.93%	0.59%	0.63%	0.49%	0.57%	0.37%	0.00%	0.58%	0.00%	0.40%	0.79%	0.00%	0.13%	0.00%	0.64%	0.00%	1.53%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1736	27	5	0	27	12	22	34	22	3	0	21	7	38	29	49	3	2	19	15	29	57	43	40	15	2	70	0	39	0	34	11	22	3	2	19	10	0	74	2	26	17	84	104	65	40	9	28	18	14	40	10	0	1	0	18	5	2	21	10	19	0	0	12	13	74	76	19	66	37	12	5	0	2	6	13	5	0	4	5	29	4	11	5									
		2.54%	1.25%	0.54%	0.00%	4.83%	0.60%	6.29%	2.38%	1.07%	0.16%	0.00%	2.50%	0.34%	2.22%	3.68%	6.28%	0.15%	0.15%	5.78%	1.81%	6.86%	2.97%	7.38%	1.78%	1.39%	0.18%	3.19%	0.00%	6.51%	0.00%	5.50%	3.56%	3.42%	0.58%	1.08%	1.53%	0.82%	0.00%	9.05%	0.36%	3.64%	4.22%	12.03%	8.09%	9.66%	5.99%	2.21%	4.36%	11.46%	4.20%	6.02%	3.86%	0.00%	0.26%	0.00%	7.32%	1.45%	0.53%	4.00%	3.03%	4.96%	0.00%	0.00%	2.81%	4.53%	8.60%	7.82%	1.01%	5.90%	2.25%	0.98%	0.37%	0.00%	1.17%	4.38%	5.26%	3.97%	0.00%	0.53%	0.93%	3.69%	1.69%	4.20%	2.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1113	36	2	10	27	10	9	36	7	78	0	17	1	25	39	40	4	0	14	22	14	25	24	8	14	3	47	3	5	0	14	10	0	4	0	16	17	3	10	16	7	21	23	36	26	23	1	15	1	4	10	22	17	3	5	0	5	4	18	13	5	31	0	3	4	33	48	12	23	24	11	4	4	2	3	6	1	0	0	6	7	11	6	5									
