Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Стерлибашевская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16417	612	723	165	258	455	571	237	281	408	580	527	528	347	257	196	306	247	600	1211	1202	1141	1266	1035	470	295	190	612	125	331	369	340	366	166									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17001	633	754	174	274	478	592	243	300	433	581	533	529	370	272	210	330	264	627	1215	1220	1220	1280	1050	483	302	195	690	129	332	380	355	377	176									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13272	461	353	134	215	397	525	191	246	349	481	483	484	326	239	175	288	217	512	1064	499	803	1205	998	349	245	156	527	106	287	306	303	236	112									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1115	55	109	24	24	39	35	32	29	43	53	30	28	15	11	17	12	20	58	28	34	49	34	16	31	35	25	70	12	27	30	25	39	26									
6	Число погашенных избирательных бюллетеней	2614	117	292	16	35	42	32	20	25	41	47	20	17	29	22	18	30	27	57	123	687	368	41	36	103	22	14	93	11	18	44	27	102	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1115	55	109	24	24	39	35	32	29	43	53	30	28	15	11	17	12	20	58	28	34	49	34	16	31	35	25	70	12	27	30	25	39	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13248	461	353	134	215	397	525	191	246	349	481	483	484	326	239	175	288	217	512	1064	499	779	1205	998	349	245	156	527	106	287	306	303	236	112									
9	Число недействительных избирательных бюллетеней	86	0	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	18	17	5	0	0	0	0	9	0	1	0	4	0	0									
10	Число действительных избирательных бюллетеней	14277	516	441	158	239	436	559	223	275	392	534	513	512	341	250	192	300	237	570	1082	515	811	1234	1014	380	280	181	588	118	313	336	324	275	138									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	534	20	25	10	10	20	20	6	20	20	20	20	20	20	15	15	20	15	20	20	20	20	20	20	10	10	10	20	5	15	8	15	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	445	20	25	10	10	20	20	6	20	20	20	1	1	20	15	15	20	15	20	7	20	13	15	18	10	5	8	20	5	1	8	15	12	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	70	4	1	2	0	0	0	2	2	0	0	1	4	2	2	2	1	1	2	2	7	4	8	4	0	1	0	4	2	2	1	3	6	0									
