Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Оленегорская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359					
1	"Число избирателей, внесенных в списки"	25998	1729	1857	65	2147	2018	1778	1772	1989	2158	1930	1549	1644	1720	1608	55	117	155	1707					
2	"Число бюллетеней, полученных участковыми комиссиями"	25315	1700	1800	200	2100	2000	1700	1700	2000	2100	1900	1500	1600	1500	1500	48	127	170	1670					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13829	760	946	2	1013	994	1034	934	1000	1088	880	765	764	1020	986	37	98	122	1386					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	346	14	15	63	7	22	21	23	7	17	5	15	13	24	4	0	0	30	66					
6	Число погашенных бюллетеней	11092	926	839	135	1080	984	645	743	993	995	1015	720	823	456	510	11	29	18	170					
7	Число бюллетеней в переносных ящиках для голосования	394	14	15	63	7	22	21	23	7	17	5	15	13	24	4	0	0	30	114					
8	Число бюллетеней в стационарных ящиках для голосования	13826	760	946	2	1013	994	1034	933	1000	1088	880	765	764	1019	987	37	98	122	1384					
9	Число недействительных бюллетеней	92	8	8	0	4	10	5	8	8	5	5	8	4	6	6	0	1	0	6					
10	Число действительных бюллетеней	14128	766	953	65	1016	1006	1050	948	999	1100	880	772	773	1037	985	37	97	152	1492					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	620	30	30	0	30	30	30	30	30	30	30	30	30	60	60	10	20	40	100					
