Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Пижанская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8508	1283	1954	206	448	285	164	365	584	380	1185	199	484	971									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6104	915	1400	150	322	207	120	258	422	272	850	138	344	706									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3541	531	1026	103	164	157	104	169	162	111	372	72	193	377									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	837	23	55	17	72	9	5	33	80	57	236	49	82	119									
6	Число погашенных избирательных бюллетеней	1726	361	319	30	86	41	11	56	180	104	242	17	69	210									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	837	23	55	17	72	9	5	33	80	57	236	49	82	119									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3539	529	1026	103	164	157	104	169	162	111	372	72	193	377									
9	Число недействительных избирательных бюллетеней	97	11	26	4	2	8	0	9	6	5	7	1	3	15									
10	Число действительных избирательных бюллетеней	4279	541	1055	116	234	158	109	193	236	163	601	120	272	481									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	153	22	34	8	7	5	3	6	10	7	21	3	8	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	133	14	28	4	7	5	3	6	9	6	21	3	8	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	50	1	24	1	1	0	1	5	2	3	3	4	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	20	8	6	4	0	0	0	0	1	1	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	9	21	2	1	1	3	0	1	1	3	0	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	40	6	8	2	2	0	2	0	6	2	3	2	2	5									
		0.91%	1.09%	0.74%	1.67%	0.85%	0.00%	1.83%	0.00%	2.48%	1.19%	0.49%	1.65%	0.73%	1.01%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	120	10	20	4	8	7	2	7	8	5	24	3	6	16									
		2.74%	1.81%	1.85%	3.33%	3.39%	4.22%	1.83%	3.47%	3.31%	2.98%	3.95%	2.48%	2.18%	3.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	79	4	19	2	4	4	1	4	5	3	14	4	3	12									
		1.81%	0.72%	1.76%	1.67%	1.69%	2.41%	0.92%	1.98%	2.07%	1.79%	2.30%	3.31%	1.09%	2.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1718	223	379	42	89	64	60	78	115	85	240	70	116	157									
		39.26%	40.40%	35.06%	35.00%	37.71%	38.55%	55.05%	38.61%	47.52%	50.60%	39.47%	57.85%	42.18%	31.65%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	23	5	9	0	2	0	0	0	1	0	4	0	1	1									
		0.53%	0.91%	0.83%	0.00%	0.85%	0.00%	0.00%	0.00%	0.41%	0.00%	0.66%	0.00%	0.36%	0.20%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	2	2	0	0	1	0	0	1	0	0	0	2	0									
		0.18%	0.36%	0.19%	0.00%	0.00%	0.60%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.73%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	851	126	206	35	46	30	25	17	41	19	105	8	59	134									
		19.45%	22.83%	19.06%	29.17%	19.49%	18.07%	22.94%	8.42%	16.94%	11.31%	17.27%	6.61%	21.45%	27.02%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	1	4	0	0	6	0	0	0	0	1	0	2	0									
		0.32%	0.18%	0.37%	0.00%	0.00%	3.61%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.73%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	1	10	0	1	0	2	0	0	3	4	0	3	0									
		0.55%	0.18%	0.93%	0.00%	0.42%	0.00%	1.83%	0.00%	0.00%	1.79%	0.66%	0.00%	1.09%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	1	1	0	0	0	0	0	1	0	0	0	1	1									
		0.11%	0.18%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.36%	0.20%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	3	6	0	2	1	0	3	1	1	3	1	2	3									
		0.59%	0.54%	0.56%	0.00%	0.85%	0.60%	0.00%	1.49%	0.41%	0.60%	0.49%	0.83%	0.73%	0.60%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	862	87	209	21	65	37	10	65	35	23	156	24	43	87									
		19.70%	15.76%	19.33%	17.50%	27.54%	22.29%	9.17%	32.18%	14.46%	13.69%	25.66%	19.83%	15.64%	17.54%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	2	1	0	0	0	0	0	0	0	1	1	0	1									
		0.14%	0.36%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.83%	0.00%	0.20%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	503	70	181	10	15	8	7	19	22	22	46	7	32	64									
		11.49%	12.68%	16.74%	8.33%	6.36%	4.82%	6.42%	9.41%	9.09%	13.10%	7.57%	5.79%	11.64%	12.90%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
