Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Неклиновская районная																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586					
1	"Число избирателей, внесенных в списки избирателей"	65820	2790	2768	2729	2786	1055	377	72	761	201	397	779	765	1726	1838	1138	1598	1150	480	1825	2428	1546	1601	1494	718	536	650	1190	1551	161	112	666	156	143	102	142	404	1765	2937	1921	441	398	1276	642	1059	580	736	633	285	275	1074	220	699	389	1786	89	63	126	878	84	722	243	271	1367	152	181	301	1561	251	707	519	633	138	365	80	125	417	227	369					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	57857	2500	2500	2500	2500	1000	330	70	700	180	350	700	700	1500	1600	1000	1400	1000	420	1600	2000	1300	1400	1300	650	520	590	1000	1350	140	105	600	154	120	90	135	350	1500	2500	1600	360	350	1000	550	960	530	660	570	250	240	970	190	600	388	1600	75	55	110	780	75	630	210	240	1200	130	160	260	1400	210	640	450	560	120	330	70	100	360	200	320					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	39618	1760	1878	1358	1625	579	242	58	472	150	311	512	506	1018	1063	553	1008	724	250	1068	1282	952	800	747	535	423	335	440	719	114	74	472	132	100	83	111	254	945	1605	964	273	224	800	442	702	335	548	483	211	177	680	158	435	371	1130	48	17	73	642	64	511	182	223	764	111	150	204	842	165	474	344	399	118	213	63	85	326	169	240					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4526	143	90	108	86	88	63	11	135	13	25	161	183	60	175	114	89	90	44	245	107	125	53	63	23	24	49	48	44	26	19	66	13	20	3	24	48	77	215	98	49	56	43	29	27	52	54	7	28	47	109	22	120	10	74	15	28	28	47	7	35	24	13	157	15	0	27	104	26	21	39	45	0	27	2	12	0	14	45					
6	Число погашенных избирательных бюллетеней	13713	597	532	1034	789	333	25	1	93	17	14	27	11	422	362	333	303	186	126	287	611	223	547	490	92	73	206	512	587	0	12	62	9	0	4	0	48	478	680	538	38	70	157	79	231	143	58	80	11	16	181	10	45	7	396	12	10	9	91	4	84	4	4	279	4	10	29	454	19	145	67	116	2	90	5	3	34	17	35					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4526	143	90	108	86	88	63	11	135	13	25	161	183	60	175	114	89	90	44	245	107	125	53	63	23	24	49	48	44	26	19	66	13	20	3	24	48	77	215	98	49	56	43	29	27	52	54	7	28	47	109	22	120	10	74	15	28	28	47	7	35	24	13	157	15	0	27	104	26	21	39	45	0	27	2	12	0	14	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39616	1760	1878	1358	1625	579	241	58	472	150	311	512	506	1018	1063	553	1008	724	250	1068	1282	952	800	747	535	423	335	440	719	114	74	472	132	100	83	111	254	944	1605	964	273	224	800	442	702	335	548	483	211	177	680	158	435	371	1130	48	17	73	642	64	511	182	223	764	111	150	204	842	165	474	344	399	118	213	63	85	326	169	240					
9	Число недействительных избирательных бюллетеней	372	8	13	10	13	8	0	0	7	13	3	0	3	4	10	3	7	9	0	16	27	7	6	2	5	2	3	8	7	0	0	6	0	2	0	0	2	11	9	8	0	5	2	0	6	6	11	0	0	1	12	1	5	0	3	0	0	1	6	0	17	1	0	15	1	1	0	9	2	5	4	5	0	4	0	3	12	1	1					
10	Число действительных избирательных бюллетеней	43770	1895	1955	1456	1698	659	304	69	600	150	333	673	686	1074	1228	664	1090	805	294	1297	1362	1070	847	808	553	445	381	480	756	140	93	532	145	118	86	135	300	1010	1811	1054	322	275	841	471	723	381	591	490	239	223	777	179	550	381	1201	63	45	100	683	71	529	205	236	906	125	149	231	937	189	490	379	439	118	236	65	94	314	182	284					
