Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Березовская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №522									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16511	1306	1008	302	865	1214	1042	1071	757	889	981	888	202	888	331	1025	757	799	933	620	633									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17500	1350	1050	300	1000	1200	1100	1170	800	840	1030	920	230	930	370	1030	840	880	1000	760	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	415	0	16	28	0	0	0	0	0	46	0	0	0	0	33	0	0	20	61	150	61									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8497	611	486	116	459	620	500	517	310	303	312	315	174	809	227	709	610	418	435	289	277									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	373	44	18	5	29	17	10	14	5	7	6	7	20	6	32	88	2	18	25	17	3									
6	Число погашенных избирательных бюллетеней	8215	695	530	151	512	563	590	639	485	484	712	598	36	115	78	233	228	424	479	304	359									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	788	44	34	33	29	17	10	14	5	53	6	7	20	6	65	88	2	38	86	167	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8471	611	486	116	459	620	474	517	310	303	312	315	174	809	227	709	610	418	435	289	277									
9	Число недействительных избирательных бюллетеней	453	47	26	6	18	34	40	27	16	9	32	15	11	15	9	21	26	17	27	35	22									
10	Число действительных избирательных бюллетеней	8806	608	494	143	470	603	444	504	299	347	286	307	183	800	283	776	586	439	494	421	319									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	665	30	30	15	30	30	30	30	30	30	30	30	30	30	20	30	120	30	30	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	180	5	2	9	4	2	7	7	2	0	0	3	8	27	11	28	51	2	5	4	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	4	3	1	5	4	2	1	7	0	2	1	0	5	1	15	6	0	3	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	485	25	28	6	26	28	23	23	28	30	30	27	22	3	9	2	69	28	25	26	27									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	1	3	0	4	5	0	0	2	1	0	0	0	1	0	0	0	0	0	0	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	10	8	4	6	8	4	8	5	5	7	7	0	4	5	3	8	9	7	1	5									
		1.23%	1.53%	1.54%	2.68%	1.23%	1.26%	0.83%	1.51%	1.59%	1.40%	2.20%	2.17%	0.00%	0.49%	1.71%	0.38%	1.31%	1.97%	1.34%	0.22%	1.47%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	185	12	4	2	11	10	10	11	6	13	7	10	2	13	9	6	16	9	14	13	7									
		1.99%	1.83%	0.77%	1.34%	2.25%	1.57%	2.07%	2.07%	1.90%	3.65%	2.20%	3.11%	1.03%	1.60%	3.08%	0.75%	2.61%	1.97%	2.69%	2.85%	2.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	224	13	15	2	14	18	13	19	9	18	10	8	2	9	5	14	12	10	11	15	7									
		2.42%	1.98%	2.88%	1.34%	2.87%	2.83%	2.69%	3.58%	2.86%	5.06%	3.14%	2.48%	1.03%	1.10%	1.71%	1.76%	1.96%	2.19%	2.11%	3.29%	2.05%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4096	221	173	82	214	240	151	194	121	141	123	131	142	356	201	371	302	254	268	249	162									
		44.24%	33.74%	33.27%	55.03%	43.85%	37.68%	31.20%	36.53%	38.41%	39.61%	38.68%	40.68%	73.20%	43.68%	68.84%	46.55%	49.35%	55.70%	51.44%	54.61%	47.51%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	95	5	4	1	3	4	3	4	4	1	3	2	0	4	2	36	7	1	5	3	3									
		1.03%	0.76%	0.77%	0.67%	0.61%	0.63%	0.62%	0.75%	1.27%	0.28%	0.94%	0.62%	0.00%	0.49%	0.68%	4.52%	1.14%	0.22%	0.96%	0.66%	0.88%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	1	1	0	0	1	1	1	0	2	0	0	0	0	1	4	2	1	1	0	0									
		0.17%	0.15%	0.19%	0.00%	0.00%	0.16%	0.21%	0.19%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.34%	0.50%	0.33%	0.22%	0.19%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2673	251	201	40	141	225	148	168	99	109	89	107	25	269	42	222	150	86	120	99	82									
		28.87%	38.32%	38.65%	26.85%	28.89%	35.32%	30.58%	31.64%	31.43%	30.62%	27.99%	33.23%	12.89%	33.01%	14.38%	27.85%	24.51%	18.86%	23.03%	21.71%	24.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	37	3	5	0	1	3	3	1	0	2	0	1	0	0	0	4	3	4	4	1	2									
		0.40%	0.46%	0.96%	0.00%	0.20%	0.47%	0.62%	0.19%	0.00%	0.56%	0.00%	0.31%	0.00%	0.00%	0.00%	0.50%	0.49%	0.88%	0.77%	0.22%	0.59%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	105	9	5	1	5	9	13	4	4	4	1	3	1	12	2	12	8	2	4	2	4									
		1.13%	1.37%	0.96%	0.67%	1.02%	1.41%	2.69%	0.75%	1.27%	1.12%	0.31%	0.93%	0.52%	1.47%	0.68%	1.51%	1.31%	0.44%	0.77%	0.44%	1.17%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	2	0	1	0	1	0	0	1	0	0	1	2	2	2	0	1	0	1	1									
		0.16%	0.00%	0.38%	0.00%	0.20%	0.00%	0.21%	0.00%	0.00%	0.28%	0.00%	0.00%	0.52%	0.25%	0.68%	0.25%	0.00%	0.22%	0.00%	0.22%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	91	10	5	1	5	6	7	4	1	1	2	2	1	21	2	2	11	5	2	1	2									
		0.98%	1.53%	0.96%	0.67%	1.02%	0.94%	1.45%	0.75%	0.32%	0.28%	0.63%	0.62%	0.52%	2.58%	0.68%	0.25%	1.80%	1.10%	0.38%	0.22%	0.59%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	808	55	47	8	52	58	65	65	39	40	35	24	4	70	3	68	40	37	40	25	33									
		8.73%	8.40%	9.04%	5.37%	10.66%	9.11%	13.43%	12.24%	12.38%	11.24%	11.01%	7.45%	2.06%	8.59%	1.03%	8.53%	6.54%	8.11%	7.68%	5.48%	9.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	56	4	3	0	4	2	1	6	2	0	2	2	1	6	5	4	4	3	3	3	1									
		0.60%	0.61%	0.58%	0.00%	0.82%	0.31%	0.21%	1.13%	0.63%	0.00%	0.63%	0.62%	0.52%	0.74%	1.71%	0.50%	0.65%	0.66%	0.58%	0.66%	0.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	291	14	21	2	13	19	24	19	9	10	7	10	4	34	4	28	23	17	15	8	10									
		3.14%	2.14%	4.04%	1.34%	2.66%	2.98%	4.96%	3.58%	2.86%	2.81%	2.20%	3.11%	2.06%	4.17%	1.37%	3.51%	3.76%	3.73%	2.88%	1.75%	2.93%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
