Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Бутурлиновская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38655	1697	1629	1165	1765	1640	1457	1754	1637	1312	1278	1002	1541	1866	1251	207	160	629	574	350	482	1300	1694	1706	657	899	897	1150	1070	382	538	507	910	710	674	305	100	610	195	286	303	366									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38650	1650	1600	1150	1750	1600	1400	1750	1650	1300	1300	1000	1500	1850	1200	200	160	640	590	360	500	1350	1700	1650	680	930	920	1150	1050	410	580	520	900	730	690	300	100	620	200	300	330	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23267	882	1444	703	699	605	644	739	772	828	455	629	1213	880	714	101	112	281	431	227	128	600	1537	1150	542	343	647	925	762	264	377	406	701	514	456	159	90	475	151	217	166	298									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4648	72	120	134	124	181	144	178	155	133	124	235	112	28	53	34	20	100	112	110	109	235	72	272	58	153	119	195	265	94	83	83	132	167	122	31	6	114	38	52	25	54									
6	Число погашенных избирательных бюллетеней	10735	696	36	313	927	814	612	833	723	339	721	136	175	942	433	65	28	259	47	23	263	515	91	228	80	434	154	30	23	52	120	31	67	49	112	110	4	31	11	31	139	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4648	72	120	134	124	181	144	178	155	133	124	235	112	28	53	34	20	100	112	110	109	235	72	272	58	153	119	195	265	94	83	83	132	167	122	31	6	114	38	52	25	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23267	882	1444	703	699	605	644	739	772	828	455	629	1213	880	714	101	112	281	431	227	128	600	1537	1150	542	343	647	925	762	264	377	406	701	514	456	159	90	475	151	217	166	298									
9	Число недействительных избирательных бюллетеней	282	23	11	0	17	7	15	9	19	0	12	7	16	24	4	0	0	4	2	1	4	7	11	8	4	7	3	0	0	4	17	0	13	2	6	7	0	5	0	5	6	2									
10	Число действительных избирательных бюллетеней	27633	931	1553	837	806	779	773	908	908	961	567	857	1309	884	763	135	132	377	541	336	233	828	1598	1414	596	489	763	1120	1027	354	443	489	820	679	572	183	96	584	189	264	185	350									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	812	20	26	15	20	18	20	27	20	22	17	18	20	30	14	3	5	12	14	14	24	34	25	45	19	20	20	23	23	24	39	11	31	19	17	4	5	17	10	19	27	21									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	811	20	26	15	20	18	20	27	20	22	17	18	20	30	14	3	5	12	14	14	24	34	25	45	18	20	20	23	23	24	39	11	31	19	17	4	5	17	10	19	27	21									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	127	6	11	8	9	1	11	2	10	9	0	2	6	8	6	2	1	0	1	1	2	0	3	5	3	0	1	3	3	0	2	1	0	1	0	1	2	3	0	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	2	5	4	3	4	4	4	2	1	1	2	6	5	0	0	2	1	0	0	1	2	0	5	8	3	1	0	1	1	7	3	1	3	1	0	0	1	1	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	155	3	7	0	16	7	7	6	7	3	9	2	10	5	19	1	0	2	1	3	3	10	2	2	1	1	4	0	2	0	1	0	5	2	2	5	0	0	0	2	0	5									
		0.56%	0.31%	0.45%	0.00%	1.94%	0.89%	0.89%	0.65%	0.76%	0.31%	1.55%	0.23%	0.75%	0.55%	2.48%	0.74%	0.00%	0.52%	0.18%	0.89%	1.27%	1.20%	0.12%	0.14%	0.17%	0.20%	0.52%	0.00%	0.19%	0.00%	0.22%	0.00%	0.60%	0.29%	0.35%	2.63%	0.00%	0.00%	0.00%	0.74%	0.00%	1.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	485	20	14	0	38	18	22	24	40	5	26	13	23	6	16	0	1	13	10	10	4	27	11	20	1	12	1	15	5	9	14	0	14	11	15	9	0	2	2	2	8	4									
		1.74%	2.10%	0.90%	0.00%	4.62%	2.29%	2.79%	2.62%	4.31%	0.52%	4.49%	1.50%	1.74%	0.66%	2.09%	0.00%	0.76%	3.41%	1.84%	2.97%	1.69%	3.23%	0.68%	1.41%	0.17%	2.42%	0.13%	1.34%	0.49%	2.51%	3.04%	0.00%	1.68%	1.62%	2.60%	4.74%	0.00%	0.34%	1.06%	0.74%	4.19%	1.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	287	9	11	0	26	6	16	5	13	2	10	11	13	8	5	0	1	4	6	1	5	10	4	37	2	6	0	20	13	0	2	0	20	0	4	4	1	0	0	3	5	4									
		1.03%	0.94%	0.70%	0.00%	3.16%	0.76%	2.03%	0.55%	1.40%	0.21%	1.73%	1.27%	0.98%	0.88%	0.65%	0.00%	0.76%	1.05%	1.10%	0.30%	2.11%	1.20%	0.25%	2.60%	0.33%	1.21%	0.00%	1.79%	1.27%	0.00%	0.43%	0.00%	2.40%	0.00%	0.69%	2.11%	1.04%	0.00%	0.00%	1.12%	2.62%	1.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20094	627	1334	687	426	404	392	569	468	797	307	763	1109	603	444	125	96	247	393	229	122	524	1419	996	438	335	639	872	840	259	332	393	572	515	438	114	75	487	152	159	103	290									
		71.98%	65.72%	85.29%	82.08%	51.76%	51.40%	49.75%	62.05%	50.49%	82.93%	53.02%	88.31%	83.70%	66.41%	57.89%	92.59%	72.73%	64.83%	72.38%	67.95%	51.48%	62.75%	88.19%	70.04%	73.00%	67.54%	83.42%	77.86%	81.79%	72.35%	72.17%	80.37%	68.67%	75.62%	75.78%	60.00%	78.13%	82.68%	80.42%	59.11%	53.93%	82.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	67	1	14	0	2	1	4	1	3	2	2	2	4	0	3	0	1	2	1	0	1	2	1	7	1	2	0	0	2	2	0	0	1	0	2	1	0	0	0	2	0	0									
