Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Котельниковская поселковая															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022					
1	"Число избирателей, внесенных в списки избирателей"	15765	449	2056	2045	2017	1712	2252	2198	3036					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13760	350	1820	1790	1810	1520	1900	1920	2650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9493	318	1309	1294	1179	996	1316	1333	1748					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	232	9	38	26	72	26	14	32	15					
6	Число погашенных избирательных бюллетеней	4035	23	473	470	559	498	570	555	887					
7	Число избирательных бюллетеней в переносных ящиках для голосования	232	9	38	26	72	26	14	32	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9493	318	1309	1294	1179	996	1316	1333	1748					
9	Число недействительных избирательных бюллетеней	108	3	4	24	9	13	17	24	14					
10	Число действительных избирательных бюллетеней	9617	324	1343	1296	1242	1009	1313	1341	1749					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	330	20	50	40	40	40	40	40	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	216	3	42	31	28	15	21	30	46					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	532	46	57	60	49	39	104	107	70					
14	Число погашенных неиспользованных открепительных удостоверений	114	17	8	9	12	25	19	10	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	1	8	2	1	3	9	15	15					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	275	9	35	30	38	24	33	51	55					
		2.83%	2.75%	2.60%	2.27%	3.04%	2.35%	2.48%	3.74%	3.12%					
19	2.Всероссийская политическая партия «Гражданская Сила»	163	5	27	24	23	13	19	13	39					
		1.68%	1.53%	2.00%	1.82%	1.84%	1.27%	1.43%	0.95%	2.21%					
20	3.Политическая партия «Демократическая партия России»	11	0	0	1	3	0	5	2	0					
		0.11%	0.00%	0.00%	0.08%	0.24%	0.00%	0.38%	0.15%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1151	38	135	158	164	162	144	167	183					
		11.84%	11.62%	10.02%	11.97%	13.11%	15.85%	10.83%	12.23%	10.38%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	121	11	9	19	14	22	17	9	20					
		1.24%	3.36%	0.67%	1.44%	1.12%	2.15%	1.28%	0.66%	1.13%					
23	6.Политическая партия «Партия социальной справедливости»	28	0	2	3	6	3	6	2	6					
		0.29%	0.00%	0.15%	0.23%	0.48%	0.29%	0.45%	0.15%	0.34%					
24	7.Политическая партия «Либерально-демократическая партия России»	1032	25	126	134	121	94	167	139	226					
		10.61%	7.65%	9.35%	10.15%	9.67%	9.20%	12.56%	10.18%	12.82%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	477	19	102	91	39	38	94	30	64					
		4.90%	5.81%	7.57%	6.89%	3.12%	3.72%	7.07%	2.20%	3.63%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	127	4	22	18	20	12	12	17	22					
		1.31%	1.22%	1.63%	1.36%	1.60%	1.17%	0.90%	1.25%	1.25%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6015	202	858	789	792	609	782	886	1097					
		61.85%	61.77%	63.70%	59.77%	63.31%	59.59%	58.80%	64.91%	62.22%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	217	11	27	29	22	32	34	25	37					
		2.23%	3.36%	2.00%	2.20%	1.76%	3.13%	2.56%	1.83%	2.10%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
