Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Зеленодольская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №2822									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50152	633	418	2339	2617	2789	891	1435	1347	650	873	625	1542	536	449	201	159	535	372	2434	2883	1068	1610	878	818	984	866	1606	918	969	990	202	1101	1039	1041	1038	540	357	323	222	117	618	1315	1023	257	711	183	163	165	169	361	413	453	496	223	262	131	2794									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50230	633	415	2343	2621	2809	883	1438	1353	637	880	619	1544	543	451	206	156	539	370	2411	2917	1072	1623	881	819	937	869	1617	915	960	992	203	1110	1035	1040	1036	542	362	324	228	116	618	1315	1034	258	712	185	159	165	169	359	418	452	497	223	262	129	2826									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44172	586	373	2176	2399	2536	772	1323	1260	572	817	540	1327	455	427	197	155	528	355	2208	2457	909	1399	799	425	873	705	1446	750	874	865	202	990	922	952	875	463	312	257	202	105	555	700	886	244	608	183	158	160	164	344	403	440	458	217	252	125	2487									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1543	4	5	4	9	32	92	40	20	45	12	54	138	55	11	4	0	0	10	32	61	23	1	12	50	32	53	31	50	14	23	0	21	34	20	73	54	42	50	20	10	50	52	59	9	74	0	0	0	0	7	0	0	23	0	0	0	28									
6	Число погашенных избирательных бюллетеней	4515	43	37	163	213	241	19	75	73	20	51	25	79	33	13	5	1	11	5	171	399	140	223	70	344	32	111	140	115	72	104	1	99	79	68	88	25	8	17	6	1	13	563	89	5	30	2	1	5	5	8	15	12	16	6	10	4	311									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1543	4	5	4	9	32	92	40	20	45	12	54	138	55	11	4	0	0	10	32	61	23	1	12	50	32	53	31	50	14	23	0	21	34	20	73	54	42	50	20	10	50	52	59	9	74	0	0	0	0	7	0	0	23	0	0	0	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44172	586	373	2176	2399	2536	772	1323	1260	572	817	540	1327	455	427	197	155	528	355	2208	2457	909	1399	799	425	873	705	1446	750	874	865	202	990	922	952	875	463	312	257	202	105	555	700	886	244	608	183	158	160	164	344	403	440	458	217	252	125	2487									
9	Число недействительных избирательных бюллетеней	199	0	0	0	10	4	6	0	11	2	0	5	14	4	0	0	0	0	0	36	12	6	0	3	5	0	0	0	0	11	6	0	5	9	4	6	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24									
10	Число действительных избирательных бюллетеней	45516	590	378	2180	2398	2564	858	1363	1269	615	829	589	1451	506	438	201	155	528	365	2204	2506	926	1400	808	470	905	758	1477	800	877	882	202	1006	947	968	942	517	354	307	222	115	605	736	945	253	682	183	158	160	164	351	403	440	481	217	252	125	2491									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	618	10	10	18	20	23	10	15	15	8	8	8	10	6	6	5	5	8	5	20	23	15	15	15	15	15	15	15	15	15	15	5	15	15	15	15	8	5	8	5	5	8	15	10	3	8	5	5	5	5	5	5	5	5	5	5	5	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	363	10	2	18	20	23	2	8	9	2	6	4	8	5	2	5	0	3	0	17	23	7	15	4	3	8	4	15	3	6	15	1	6	7	5	7	2	5	0	0	0	2	13	10	0	1	0	0	0	0	0	4	2	1	2	5	3	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	311	1	4	11	8	4	6	5	5	15	3	10	7	2	2	0	3	0	2	19	1	6	7	3	3	54	4	9	3	10	16	10	1	5	7	6	0	0	3	0	2	6	7	4	0	3	5	4	0	0	2	3	3	0	1	4	0	12									
14	Число погашенных неиспользованных открепительных удостоверений	255	0	8	0	0	0	8	7	6	6	2	4	2	1	4	0	5	5	5	3	0	8	0	11	12	7	11	0	12	9	0	4	9	8	10	8	6	0	8	5	5	6	2	0	3	7	5	5	5	5	5	1	3	4	3	0	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	1	1	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	2	3	1	1	0	0	0	1	2	0	1	1	0	2	1	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
