Выборы Президента Российской Федерации																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Северодвинская																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891					
1	"Число избирателей, внесенных в список"	170586	2669	2114	1465	2177	2376	2400	2544	2124	2267	1968	2497	2490	2150	2628	2588	2620	2820	1834	2876	2049	2466	2094	2157	2093	84	1670	2338	2387	1952	2498	2530	2180	1237	2494	2080	2760	2365	1968	149	2414	2191	2557	2238	2206	2166	2416	2593	2244	2648	1860	2347	1688	2578	2091	1679	1695	2287	3030	3023	1721	2189	2525	1910	2083	2998	3104	2950	2724	2536	2488	2181	2654	3066	2959	340	1121	34	436	75	383					
2	Число полученных избирательных бюллетеней	171140	2600	2100	1500	2200	2400	2400	2500	2100	2200	2000	2500	2500	2200	2600	2600	2600	2800	1800	2900	2000	2500	2000	2200	2100	90	1700	2300	2400	1900	2500	2500	2100	1500	2500	2100	2800	2300	1900	200	2400	2200	2600	2200	2200	2200	2400	2600	2200	2600	1800	2300	2600	2600	2100	1700	1700	2300	3000	3000	1700	2200	2400	2000	2100	3000	3100	2900	2700	2500	2500	2200	2700	3000	3000	300	1100	50	350	100	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	105691	1770	1205	978	1426	1558	1566	1589	1399	1485	1317	1364	1404	1260	1692	1419	1187	1735	1041	1769	1077	1498	1128	1220	1297	81	911	1404	1419	977	1541	1668	1497	943	1462	1237	1679	1492	1173	149	1675	1367	1724	1449	1373	1356	1558	1633	1403	1664	1160	1548	1679	1604	1281	1013	1075	1454	1787	1819	1020	1363	1451	1205	1299	1874	1998	1833	1713	1579	1439	1349	1495	1881	1908	124	735	25	334	71	356					
5	"Число избирательных бюллетеней, выданных вне помещения"	1337	26	16	10	5	20	10	9	8	6	10	26	17	10	24	22	13	25	18	7	14	34	14	21	33	0	12	24	22	16	23	30	22	83	27	23	32	33	11	0	44	30	17	5	26	5	18	23	16	15	17	14	9	14	8	2	9	6	7	26	17	17	24	10	9	14	6	13	19	23	10	12	5	23	12	22	33	1	0	0	0					
6	Число погашенных избирательных бюллетеней	64112	804	879	512	769	822	824	902	693	709	673	1110	1079	930	884	1159	1400	1040	741	1124	909	968	858	959	770	9	777	872	959	907	936	802	581	474	1011	840	1089	775	716	51	681	803	859	746	801	839	824	944	781	921	623	738	912	982	811	685	616	840	1206	1155	663	820	925	785	792	1112	1096	1054	968	898	1051	839	1200	1096	1080	154	332	24	16	29	94					
7	Число избирательных бюллетеней в переносных ящиках	1337	26	16	10	5	20	10	9	8	6	10	26	17	10	24	22	13	25	18	7	14	34	14	21	33	0	12	24	22	16	23	30	22	83	27	23	32	33	11	0	44	30	17	5	26	5	18	23	16	15	17	14	9	14	8	2	9	6	7	26	17	17	24	10	9	14	6	13	19	23	10	12	5	23	12	22	33	1	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	105547	1770	1201	975	1426	1558	1566	1589	1399	1485	1270	1364	1402	1258	1692	1418	1187	1735	1040	1768	1077	1498	1128	1220	1297	81	911	1376	1419	975	1541	1668	1497	943	1461	1237	1679	1492	1172	149	1673	1367	1720	1436	1373	1354	1558	1633	1401	1664	1159	1548	1679	1604	1281	1013	1065	1453	1787	1819	1019	1362	1447	1204	1299	1871	1998	1833	1713	1579	1439	1349	1492	1879	1908	124	735	25	334	71	355					
9	Число недействительных избирательных бюллетеней	412	4	7	0	5	6	16	5	2	3	3	6	7	3	11	8	8	6	4	9	7	6	6	2	1	3	0	16	9	6	6	6	4	0	2	9	6	6	3	2	10	9	7	2	8	4	3	3	1	7	6	3	10	4	5	3	5	5	3	2	4	5	8	3	3	7	7	7	11	5	5	6	2	8	4	5	5	0	1	0	3					
10	Число действительных избирательных бюллетеней	106472	1792	1210	985	1426	1572	1560	1593	1405	1488	1277	1384	1412	1265	1705	1432	1192	1754	1054	1766	1084	1526	1136	1239	1329	78	923	1384	1432	985	1558	1692	1515	1026	1486	1251	1705	1519	1180	147	1707	1388	1730	1439	1391	1355	1573	1653	1416	1672	1170	1559	1678	1614	1284	1012	1069	1454	1791	1843	1032	1374	1463	1211	1305	1878	1997	1839	1721	1597	1444	1355	1495	1894	1916	141	763	26	333	71	352					
11	Число полученных открепительных  удостоверений	2693	70	30	23	30	30	30	50	30	30	30	50	30	30	50	50	50	50	20	50	30	30	30	30	30	0	20	30	30	20	50	50	30	20	50	30	50	30	30	0	30	30	50	30	30	30	30	50	30	50	20	30	50	50	30	20	20	30	50	50	20	30	30	20	30	50	50	50	50	50	30	30	50	50	50	20	30	20	0	0	0					
12	Число выданных открепительных удостоверений	1257	47	15	19	15	19	11	15	13	11	16	12	20	15	13	10	16	13	13	22	18	14	16	24	25	0	9	10	11	13	18	17	23	4	24	12	14	16	18	0	24	11	20	19	12	13	14	21	26	25	14	12	11	26	17	14	12	16	15	11	15	11	17	12	15	28	29	22	20	23	17	14	17	30	25	2	24	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1003	23	15	9	8	4	7	6	15	22	14	1	17	10	13	11	13	12	6	6	22	10	13	11	9	6	5	14	8	8	10	35	15	13	15	3	11	16	15	4	39	3	9	18	12	6	20	8	8	20	8	8	14	6	8	7	6	22	16	14	10	17	21	21	15	12	17	9	17	16	14	10	8	14	12	7	36	13	14	3	10					
14	Число неиспользованных открепительных удостоверений	1436	23	15	4	15	11	19	35	17	19	14	38	10	15	37	40	34	37	7	28	12	16	14	6	5	0	11	20	19	7	32	33	7	16	26	18	36	14	12	0	6	19	30	11	18	17	16	29	4	25	6	18	39	24	13	6	8	14	35	39	5	19	13	8	15	22	21	28	30	27	13	16	33	20	25	18	6	18	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	57	8	1	0	0	0	1	0	0	0	1	0	2	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	1	2	2	4	0	0	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	2	2	0	0	0	0	1	0	0	2	2	0	5	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																							
18	. Глазьев Сергей Юрьевич	4038	40	44	34	58	50	66	52	46	65	42	43	46	61	68	56	43	52	35	67	37	54	32	37	49	4	43	39	37	29	70	90	42	22	50	38	54	66	34	5	68	56	65	58	67	47	65	61	74	93	47	63	53	69	50	43	42	60	74	81	34	68	49	61	44	74	74	77	66	52	45	58	70	85	92	6	15	0	9	1	22					
		3.78%	2.23%	3.62%	3.45%	4.05%	3.17%	4.19%	3.25%	3.27%	4.36%	3.28%	3.09%	3.24%	4.81%	3.96%	3.89%	3.58%	2.95%	3.31%	3.77%	3.39%	3.52%	2.80%	2.98%	3.68%	4.94%	4.66%	2.79%	2.57%	2.93%	4.48%	5.30%	2.76%	2.14%	3.36%	3.02%	3.16%	4.33%	2.87%	3.36%	3.96%	4.01%	3.74%	4.02%	4.79%	3.46%	4.12%	3.68%	5.22%	5.54%	4.00%	4.03%	3.14%	4.26%	3.88%	4.24%	3.91%	4.11%	4.12%	4.39%	3.28%	4.93%	3.33%	5.02%	3.36%	3.93%	3.69%	4.17%	3.81%	3.25%	3.11%	4.26%	4.68%	4.47%	4.79%	4.11%	1.95%	0.00%	2.69%	1.41%	6.20%					
19	. Малышкин Олег Александрович	1580	27	20	15	19	22	24	24	15	22	18	23	23	20	23	25	20	27	20	17	21	17	21	28	17	3	19	29	26	19	34	18	19	23	19	18	16	21	12	0	28	27	26	14	19	10	28	22	23	18	11	19	26	26	21	18	16	24	28	19	10	10	20	17	16	13	32	30	31	31	29	17	15	32	25	6	27	1	4	0	7					
		1.48%	1.50%	1.64%	1.52%	1.33%	1.39%	1.52%	1.50%	1.07%	1.48%	1.41%	1.65%	1.62%	1.58%	1.34%	1.74%	1.67%	1.53%	1.89%	0.96%	1.92%	1.11%	1.84%	2.26%	1.28%	3.70%	2.06%	2.07%	1.80%	1.92%	2.17%	1.06%	1.25%	2.24%	1.28%	1.43%	0.94%	1.38%	1.01%	0.00%	1.63%	1.93%	1.50%	0.97%	1.36%	0.74%	1.78%	1.33%	1.62%	1.07%	0.94%	1.22%	1.54%	1.61%	1.63%	1.77%	1.49%	1.64%	1.56%	1.03%	0.97%	0.73%	1.36%	1.40%	1.22%	0.69%	1.60%	1.63%	1.79%	1.94%	2.00%	1.25%	1.00%	1.68%	1.30%	4.11%	3.52%	3.85%	1.20%	0.00%	1.97%					
