Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Параньгинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12816	1952	1388	1953	697	379	907	430	439	649	987	198	634	368	679	686	470									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12560	1900	1350	1900	650	400	900	400	420	620	950	190	650	400	700	680	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6531	984	707	965	335	189	474	206	204	312	463	100	424	260	258	411	239									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	914	99	72	88	113	71	37	46	53	58	59	10	33	31	74	30	40									
6	Число погашенных избирательных бюллетеней	5115	817	571	847	202	140	389	148	163	250	428	80	193	109	368	239	171									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	914	99	72	88	113	71	37	46	53	58	59	10	33	31	74	30	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6531	984	707	965	335	189	474	206	204	312	463	100	424	260	258	411	239									
9	Число недействительных избирательных бюллетеней	59	1	10	17	0	1	3	0	0	5	3	2	5	0	3	5	4									
10	Число действительных избирательных бюллетеней	7386	1082	769	1036	448	259	508	252	257	365	519	108	452	291	329	436	275									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	640	70	60	70	40	30	40	30	30	30	50	10	30	30	50	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	490	65	47	65	19	30	25	8	24	15	24	7	30	30	50	31	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	179	40	17	12	14	8	13	8	7	5	15	3	8	5	6	11	7									
14	Число погашенных неиспользованных открепительных удостоверений	150	5	13	5	21	0	15	22	6	15	26	3	0	0	0	9	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	6	12	13	1	0	1	3	0	0	0	0	0	4	0	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	17	0	2	2	1	1	1	0	0	0	1	0	1	1	3	4	0									
		0.23%	0.00%	0.26%	0.19%	0.22%	0.38%	0.20%	0.00%	0.00%	0.00%	0.19%	0.00%	0.22%	0.34%	0.90%	0.91%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	152	8	24	3	36	3	4	10	2	8	15	2	10	3	8	10	6									
		2.04%	0.74%	3.08%	0.28%	8.04%	1.15%	0.78%	3.97%	0.78%	2.16%	2.87%	1.82%	2.19%	1.03%	2.41%	2.27%	2.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	33	2	7	1	2	1	2	3	0	2	3	0	3	0	4	2	1									
		0.44%	0.18%	0.90%	0.09%	0.45%	0.38%	0.39%	1.19%	0.00%	0.54%	0.57%	0.00%	0.66%	0.00%	1.20%	0.45%	0.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4653	925	526	645	225	146	304	128	159	214	269	87	264	233	125	279	124									
		62.50%	85.41%	67.52%	61.25%	50.22%	56.15%	59.49%	50.79%	61.87%	57.84%	51.53%	79.09%	57.77%	80.07%	37.65%	63.27%	44.44%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	1	6	2	2	1	2	0	0	0	1	0	1	0	1	3	0									
		0.27%	0.09%	0.77%	0.19%	0.45%	0.38%	0.39%	0.00%	0.00%	0.00%	0.19%	0.00%	0.22%	0.00%	0.30%	0.68%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	3	1	4	2	0	0	1	0	0	1	1	1	4	0	1									
		0.26%	0.00%	0.39%	0.09%	0.89%	0.77%	0.00%	0.00%	0.39%	0.00%	0.00%	0.91%	0.22%	0.34%	1.20%	0.00%	0.36%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	255	9	19	61	6	15	6	6	4	18	27	5	16	2	31	12	18									
		3.43%	0.83%	2.44%	5.79%	1.34%	5.77%	1.17%	2.38%	1.56%	4.86%	5.17%	4.55%	3.50%	0.69%	9.34%	2.72%	6.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	3	1	1	1	0	0	2	0	0	0	1	0	1	1	2									
		0.17%	0.00%	0.39%	0.09%	0.22%	0.38%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.22%	0.00%	0.30%	0.23%	0.72%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	0	3	2	4	1	0	0	1	0	0	0	2	0	0	1	1									
		0.20%	0.00%	0.39%	0.19%	0.89%	0.38%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.23%	0.36%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	1	3	0	0	1	1	0	0	1	0	2	0	2	0	1									
		0.16%	0.00%	0.13%	0.28%	0.00%	0.00%	0.20%	0.40%	0.00%	0.00%	0.19%	0.00%	0.44%	0.00%	0.60%	0.00%	0.36%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	1	6	13	1	1	0	0	0	0	2	0	3	2	2	1	0									
		0.43%	0.09%	0.77%	1.23%	0.22%	0.38%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.66%	0.69%	0.60%	0.23%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2085	136	163	289	156	82	186	101	88	121	193	12	141	46	138	120	113									
		28.01%	12.56%	20.92%	27.45%	34.82%	31.54%	36.40%	40.08%	34.24%	32.70%	36.97%	10.91%	30.85%	15.81%	41.57%	27.21%	40.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	0	1	1	2	1	0	0	1	1	0	1	0	2	0	1									
