Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Мошковская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №939	УИК №1097									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32759	1343	2955	2805	1492	229	686	220	137	142	2063	610	688	138	801	562	164	1503	2041	513	356	221	782	278	400	202	149	308	700	173	600	1488	200	398	426	2361	2338	436	628	156	193	763	111									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32200	1300	2900	2800	1500	200	700	200	100	100	2050	600	700	150	800	550	150	1500	2050	500	350	200	800	250	400	200	150	300	700	150	550	1500	150	400	400	2350	2350	400	600	150	150	750	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10639	402	949	886	474	78	257	106	56	43	653	154	256	71	345	205	42	445	670	240	89	71	249	89	144	53	44	114	223	61	175	536	69	145	129	862	566	154	215	69	56	148	46									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	756	28	34	31	4	21	27	4	4	10	24	11	40	13	41	26	12	29	16	10	12	17	57	9	22	9	8	11	22	17	21	25	0	19	10	32	35	6	11	4	16	1	7									
6	Число погашенных избирательных бюллетеней	20805	870	1917	1883	1022	101	416	90	40	47	1373	435	404	66	414	319	96	1026	1364	250	249	112	494	152	234	138	98	175	455	72	354	939	81	236	261	1456	1749	240	374	77	78	601	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	756	28	34	31	4	21	27	4	4	10	24	11	40	13	41	26	12	29	16	10	12	17	57	9	22	9	8	11	22	17	21	25	0	19	10	32	35	6	11	4	16	1	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10638	402	948	886	474	78	257	106	56	43	653	154	256	71	345	205	42	445	670	240	89	71	249	89	144	53	44	114	223	61	175	536	69	145	129	862	566	154	215	69	56	148	46									
9	Число недействительных избирательных бюллетеней	355	12	28	38	13	4	11	6	0	6	26	3	7	5	9	4	0	25	21	9	2	21	3	2	2	4	0	4	9	1	4	11	1	1	1	27	16	3	2	1	4	7	2									
10	Число действительных избирательных бюллетеней	11039	418	954	879	465	95	273	104	60	47	651	162	289	79	377	227	54	449	665	241	99	67	303	96	164	58	52	121	236	77	192	550	68	163	138	867	585	157	224	72	68	142	51									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	757	20	50	48	15	5	15	15	5	5	50	15	15	5	15	15	2	20	50	10	5	5	32	20	30	5	5	5	22	5	15	40	10	8	15	50	50	10	15	5	5	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	465	18	36	21	6	1	15	8	0	0	13	1	15	5	15	14	2	9	24	10	1	0	32	3	30	1	4	5	22	0	1	12	0	7	8	50	50	8	12	3	1	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	236	9	16	5	5	6	2	2	8	1	7	3	8	19	8	5	2	3	12	5	2	4	4	4	1	1	2	0	2	2	5	11	0	4	5	17	12	1	8	6	9	6	4									
14	Число погашенных неиспользованных открепительных удостоверений	292	2	14	27	9	4	0	7	5	5	37	14	0	0	0	1	0	11	26	0	4	5	0	17	0	4	1	0	0	5	14	28	10	1	7	0	0	2	3	2	4	18	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	4	11	13	1	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	3	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	281	11	28	27	15	0	5	0	0	0	23	3	10	3	12	8	0	14	35	3	6	0	4	0	1	1	1	2	4	2	0	11	0	1	0	16	9	1	5	6	5	7	2									
		2.47%	2.56%	2.85%	2.94%	3.14%	0.00%	1.76%	0.00%	0.00%	0.00%	3.40%	1.82%	3.38%	3.57%	3.11%	3.46%	0.00%	2.95%	5.10%	1.20%	5.94%	0.00%	1.31%	0.00%	0.60%	1.61%	1.92%	1.60%	1.63%	2.56%	0.00%	1.96%	0.00%	0.61%	0.00%	1.79%	1.50%	0.63%	2.21%	8.22%	6.94%	4.70%	3.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	372	14	24	16	13	5	8	3	3	4	25	7	10	2	11	12	3	12	19	6	1	0	10	1	9	1	0	2	8	1	38	16	5	0	4	32	16	7	12	4	1	7	0									
		3.26%	3.26%	2.44%	1.74%	2.72%	5.05%	2.82%	2.73%	5.00%	7.55%	3.69%	4.24%	3.38%	2.38%	2.85%	5.19%	5.56%	2.53%	2.77%	2.40%	0.99%	0.00%	3.27%	1.02%	5.42%	1.61%	0.00%	1.60%	3.27%	1.28%	19.39%	2.85%	7.25%	0.00%	2.88%	3.58%	2.66%	4.38%	5.31%	5.48%	1.39%	4.70%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	190	2	12	17	7	0	1	5	1	0	14	6	8	2	6	7	1	8	4	12	2	2	9	0	2	3	2	0	1	1	4	9	0	1	3	14	15	4	0	2	0	2	1									
		1.67%	0.47%	1.22%	1.85%	1.46%	0.00%	0.35%	4.55%	1.67%	0.00%	2.07%	3.64%	2.70%	2.38%	1.55%	3.03%	1.85%	1.69%	0.58%	4.80%	1.98%	2.27%	2.94%	0.00%	1.20%	4.84%	3.85%	0.00%	0.41%	1.28%	2.04%	1.60%	0.00%	0.61%	2.16%	1.57%	2.50%	2.50%	0.00%	2.74%	0.00%	1.34%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4765	188	402	388	185	43	129	45	18	17	250	63	121	31	181	96	32	169	262	66	48	49	190	41	77	18	29	36	85	31	86	253	31	93	62	340	267	86	120	30	20	62	25									
		41.82%	43.72%	40.94%	42.31%	38.70%	43.43%	45.42%	40.91%	30.00%	32.08%	36.93%	38.18%	40.88%	36.90%	46.89%	41.56%	59.26%	35.65%	38.19%	26.40%	47.52%	55.68%	62.09%	41.84%	46.39%	29.03%	55.77%	28.80%	34.69%	39.74%	43.88%	45.10%	44.93%	56.71%	44.60%	38.03%	44.43%	53.75%	53.10%	41.10%	27.78%	41.61%	47.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	57	1	10	1	3	0	1	2	0	0	2	0	2	0	4	1	0	1	2	1	0	0	1	1	1	0	0	0	1	0	0	6	1	0	1	7	3	0	0	1	0	3	0									
