Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Советская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23371	1231	1858	2179	2216	1428	938	1424	956	638	1833	604	655	832	737	566	1033	1838	479	382	1138	406									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23300	1200	1900	2200	2250	1450	950	1450	950	650	1850	600	650	850	700	550	1000	1800	450	400	1100	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11428	704	979	1144	1164	849	492	669	405	263	843	247	313	343	327	292	488	657	261	165	601	222									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1419	23	48	21	27	38	18	73	82	82	171	66	61	81	119	20	53	224	9	61	67	75									
6	Число погашенных избирательных бюллетеней	10453	473	873	1035	1059	563	440	708	463	305	836	287	276	426	254	238	459	919	180	174	432	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1419	23	48	21	27	38	18	73	82	82	171	66	61	81	119	20	53	224	9	61	67	75									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11428	704	979	1144	1164	849	492	669	405	263	843	247	313	343	327	292	488	657	261	165	601	222									
9	Число недействительных избирательных бюллетеней	212	12	5	24	33	15	21	6	7	1	29	0	6	1	11	7	3	10	1	8	10	2									
10	Число действительных избирательных бюллетеней	12635	715	1022	1141	1158	872	489	736	480	344	985	313	368	423	435	305	538	871	269	218	658	295									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	830	40	50	50	50	40	40	50	50	30	50	35	50	35	40	30	30	50	20	20	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	610	37	50	45	46	36	33	32	14	17	25	35	44	35	29	30	11	16	10	20	32	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	377	15	16	27	22	30	10	14	12	11	7	8	15	7	58	6	7	14	8	5	70	15									
14	Число погашенных неиспользованных открепительных удостоверений	220	3	0	5	4	4	7	18	36	13	25	0	6	0	11	0	19	34	10	0	8	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	2	3	8	5	0	4	3	2	3	5	1	0	1	0	0	0	1	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	89	5	7	9	12	7	4	6	5	1	5	1	2	1	4	0	0	6	2	4	7	1									
		0.69%	0.69%	0.68%	0.77%	1.01%	0.79%	0.78%	0.81%	1.03%	0.29%	0.49%	0.32%	0.53%	0.24%	0.90%	0.00%	0.00%	0.68%	0.74%	1.77%	1.05%	0.34%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	444	31	53	48	52	15	23	25	15	15	34	11	16	13	9	14	12	10	6	3	31	8									
		3.46%	4.26%	5.16%	4.12%	4.37%	1.69%	4.51%	3.37%	3.08%	4.35%	3.35%	3.51%	4.28%	3.07%	2.02%	4.49%	2.22%	1.14%	2.22%	1.33%	4.64%	2.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	122	7	11	14	13	8	3	11	6	3	17	5	3	2	2	3	2	5	1	0	6	0									
		0.95%	0.96%	1.07%	1.20%	1.09%	0.90%	0.59%	1.48%	1.23%	0.87%	1.68%	1.60%	0.80%	0.47%	0.45%	0.96%	0.37%	0.57%	0.37%	0.00%	0.90%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6440	354	406	444	447	476	201	359	261	198	509	215	204	267	239	122	415	493	124	132	371	203									
		50.13%	48.69%	39.53%	38.11%	37.53%	53.66%	39.41%	48.38%	53.59%	57.39%	50.20%	68.69%	54.55%	62.97%	53.59%	39.10%	76.71%	55.96%	45.93%	58.41%	55.54%	68.35%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	53	7	9	3	3	3	1	3	1	2	4	2	3	0	1	1	0	4	1	1	1	3									
		0.41%	0.96%	0.88%	0.26%	0.25%	0.34%	0.20%	0.40%	0.21%	0.58%	0.39%	0.64%	0.80%	0.00%	0.22%	0.32%	0.00%	0.45%	0.37%	0.44%	0.15%	1.01%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	1	1	0	1	0	0	2	0	0	0	0	3	2	1	0	0	2	2	1	1	2									
		0.15%	0.14%	0.10%	0.00%	0.08%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.80%	0.47%	0.22%	0.00%	0.00%	0.23%	0.74%	0.44%	0.15%	0.67%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1355	97	132	181	142	104	75	70	56	23	100	31	23	33	41	29	26	33	40	16	81	22									
