Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Володарская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №2497					
1	"Число избирателей, внесенных в списки"	48796	1888	2006	1964	172	1041	1725	915	2139	2622	1385	1273	899	2175	2158	2053	1415	189	318	2979	1515	235	2491	3142	3346	3534	2288	1438	734	757					
2	"Число бюллетеней, полученных участковыми комиссиями"	42570	1680	1780	1720	175	940	1480	800	1890	2250	1190	1130	740	1900	1900	1960	1250	185	300	2600	1380	230	2200	2600	2900	2650	1900	1140	750	950					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23815	848	841	867	149	336	655	198	894	1124	773	599	250	931	937	914	462	66	131	1447	638	81	1365	1381	2580	2054	1410	634	718	532					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1248	53	33	22	0	59	47	50	41	19	36	30	109	6	11	21	109	29	20	13	8	64	37	18	187	48	87	34	16	41					
6	Число погашенных бюллетеней	17506	779	905	831	26	545	778	552	955	1107	381	501	381	963	952	1025	679	90	149	1140	734	85	798	1201	133	548	403	472	16	377					
7	Число бюллетеней в переносных ящиках для голосования	1248	53	33	22	0	59	47	50	41	19	36	30	109	6	11	21	109	29	20	13	8	64	37	18	187	48	87	34	16	41					
8	Число бюллетеней в стационарных ящиках для голосования	23804	848	840	867	149	336	653	198	894	1122	773	599	250	928	937	913	462	66	131	1447	638	81	1365	1379	2580	2054	1410	634	718	532					
9	Число недействительных бюллетеней	465	15	15	17	19	15	19	5	18	25	42	16	19	12	20	16	10	5	8	13	14	2	30	21	28	15	29	14	1	2					
10	Число действительных бюллетеней	24587	886	858	872	130	380	681	243	917	1116	767	613	340	922	928	918	561	90	143	1447	632	143	1372	1376	2739	2087	1468	654	733	571					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	565	20	20	20	10	20	20	20	20	20	20	20	20	20	20	20	20	10	10	20	20	10	20	20	20	20	50	20	15	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	122	2	4	3	0	2	2	0	6	3	4	5	1	5	2	5	3	0	2	8	4	1	14	3	4	11	14	0	11	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	1	2	2	1	3	7	2	4	2	0	6	9	1	7	1	3	2	0	2	1	4	3	4	0	16	4	0	0	1					
14	Число погашенных открепительных удостоверений	443	18	16	17	10	18	18	20	14	17	16	15	19	15	18	15	17	10	8	12	16	9	6	17	16	9	36	20	4	17					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	425	8	20	18	0	12	8	4	9	23	18	6	5	13	15	9	12	3	6	27	9	3	18	24	66	25	22	18	14	10					
		1.69%	0.88%	2.29%	2.02%	0.0%	3.03%	1.14%	1.61%	0.96%	2.01%	2.22%	0.95%	1.39%	1.39%	1.58%	0.96%	2.10%	3.15%	3.97%	1.84%	1.39%	2.06%	1.28%	1.71%	2.38%	1.18%	1.46%	2.69%	1.90%	1.74%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	738	32	39	29	8	9	28	11	29	40	22	16	11	33	38	30	11	1	4	37	23	6	43	48	70	56	46	9	5	4					
		2.94%	3.55%	4.46%	3.26%	5.36%	2.27%	4.0%	4.43%	3.10%	3.50%	2.71%	2.54%	3.06%	3.53%	4.00%	3.21%	1.92%	1.05%	2.64%	2.53%	3.56%	4.13%	3.06%	3.43%	2.52%	2.66%	3.07%	1.34%	0.68%	0.69%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	605	26	34	23	12	16	27	15	30	28	27	15	14	19	38	30	17	4	5	24	21	6	29	28	33	27	33	21	0	3					
		2.41%	2.88%	3.89%	2.58%	8.05%	4.05%	3.85%	6.04%	3.20%	2.45%	3.33%	2.38%	3.89%	2.03%	4.00%	3.21%	2.97%	4.21%	3.31%	1.64%	3.25%	4.13%	2.06%	2.00%	1.19%	1.28%	2.20%	3.14%	0.0%	0.52%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	480	21	14	17	0	12	15	8	13	24	22	16	8	20	10	22	10	0	5	39	9	0	39	24	45	48	30	3	2	4					
		1.91%	2.33%	1.60%	1.91%	0.0%	3.03%	2.14%	3.22%	1.39%	2.10%	2.71%	2.54%	2.22%	2.14%	1.05%	2.35%	1.75%	0.0%	3.31%	2.67%	1.39%	0.0%	2.78%	1.71%	1.62%	2.28%	2.00%	0.44%	0.27%	0.69%					
22	"5. ""За Русь Святую"""	164	7	2	4	1	2	4	2	6	8	6	4	0	9	12	7	13	1	2	9	3	1	8	7	16	6	17	1	2	4					
