Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Ковылкинская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32136	190	185	374	110	206	419	309	1117	180	554	125	191	407	569	721	1115	149	479	342	393	185	140	269	358	170	1141	327	130	102	165	361	386	529	163	231	397	142	284	958	225	352	592	1236	667	861	817	1687	1962	1815	1914	1968	1722	792	704	249									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32992	197	190	381	116	214	423	316	1153	190	560	131	204	412	582	748	1171	158	503	351	408	195	139	278	377	173	1207	335	138	109	167	368	395	562	171	250	409	166	303	981	230	357	609	1263	683	842	854	1739	2005	1810	1934	1959	1788	817	719	252									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26940	180	169	340	90	158	381	263	908	152	476	88	159	352	540	652	987	129	420	301	337	150	110	249	283	130	712	258	104	75	141	301	321	497	155	190	194	138	214	870	168	297	541	952	572	702	667	1415	1685	1527	1645	1649	1481	670	572	223									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2038	6	6	12	15	35	17	28	75	21	52	28	23	31	0	38	60	15	35	33	39	27	22	7	47	30	145	55	20	21	15	39	45	5	0	23	163	0	53	31	50	37	39	113	37	51	54	87	24	66	37	47	15	23	35	6									
6	Число погашенных избирательных бюллетеней	4004	11	15	29	11	21	25	25	170	17	32	15	22	29	42	58	124	14	48	17	32	18	7	22	47	13	350	22	14	13	11	28	29	60	16	37	52	28	36	80	12	23	29	195	74	89	133	237	293	213	252	263	292	124	112	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2038	6	6	12	15	35	17	28	75	21	52	28	23	31	0	38	60	15	35	33	39	27	22	7	47	30	145	55	20	21	15	39	45	5	0	23	163	0	53	31	50	37	39	113	37	51	54	87	24	66	37	47	15	23	35	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26936	180	169	340	90	158	381	263	908	152	476	88	159	352	540	652	987	129	420	301	337	150	110	249	283	130	712	258	104	75	141	301	321	497	155	190	194	138	214	870	168	297	541	949	572	702	667	1415	1685	1527	1645	1648	1481	670	572	223									
9	Число недействительных избирательных бюллетеней	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	42	0	0	3	3	2	12	0	0	2	0									
10	Число действительных избирательных бюллетеней	28886	186	175	352	105	193	398	291	983	173	528	116	182	383	540	681	1047	144	455	334	376	177	132	256	330	160	847	313	124	96	156	340	366	501	155	213	357	138	267	901	218	334	580	1058	609	711	721	1502	1706	1590	1680	1683	1496	693	605	229									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	388	3	3	5	3	6	6	3	10	3	5	3	3	4	5	9	10	3	7	3	4	5	3	3	3	3	21	5	3	3	3	3	3	5	3	3	4	2	3	9	3	3	6	10	6	8	9	25	20	20	20	28	20	12	10	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	364	3	3	5	3	6	6	3	10	3	5	0	0	2	5	9	10	3	7	3	4	5	3	3	2	0	21	5	3	3	3	3	3	5	3	3	0	2	3	9	3	3	6	10	6	6	9	25	20	20	20	28	20	12	4	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	64	0	0	1	0	0	1	0	6	0	4	3	2	0	0	1	1	0	0	0	0	1	2	0	0	2	0	4	0	0	0	1	1	0	0	0	0	0	0	1	3	2	0	1	0	0	0	6	5	4	2	3	2	1	0	4									
14	Число погашенных неиспользованных открепительных удостоверений	24	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	204	1	0	0	0	0	2	0	6	2	0	0	0	1	0	4	32	0	6	2	2	1	0	3	6	2	12	1	1	0	1	0	2	12	0	3	1	1	0	2	1	1	4	4	4	8	4	11	11	9	6	9	14	6	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
