Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Ромненская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536					
1	"Число избирателей, внесенных в списки"	8813	235	385	110	310	98	95	282	215	1432	1391	223	318	543	272	149	941	678	396	133	374	80	46	107					
2	"Число бюллетеней, полученных участковыми комиссиями"	8804	236	390	113	309	102	95	285	212	1436	1381	224	318	550	274	153	886	680	401	133	383	83	50	110					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5215	128	250	79	253	76	73	176	162	743	649	137	220	284	207	117	607	333	240	92	229	59	37	64					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	265	30	18	5	0	0	0	24	14	21	52	10	12	15	16	0	9	19	10	8	2	0	0	0					
6	Число погашенных бюллетеней	3324	78	122	29	56	26	22	85	36	672	680	77	86	251	51	36	270	328	151	33	152	24	13	46					
7	Число бюллетеней в переносных ящиках для голосования	265	30	18	5	0	0	0	24	14	21	52	10	12	15	16	0	9	19	10	8	2	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	5215	128	250	79	253	76	73	176	162	743	649	137	220	284	207	117	607	333	240	92	229	59	37	64					
9	Число недействительных бюллетеней	72	1	2	0	6	3	0	0	2	9	12	7	3	7	3	0	6	1	8	0	1	0	0	1					
10	Число действительных бюллетеней	5408	157	266	84	247	73	73	200	174	755	689	140	229	292	220	117	610	351	242	100	230	59	37	63					
