Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Чебоксарская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777					
1	"Число избирателей, внесенных в список"	41433	722	388	518	664	494	360	412	716	557	848	425	494	438	193	514	212	2536	326	483	441	214	2333	2189	1789	1949	744	409	976	656	1319	464	617	259	488	519	853	683	519	253	232	577	1151	298	1701	608	911	475	1127	375	261	1351	237	991	896	874	394					
2	Число полученных избирательных бюллетеней	39900	730	400	530	700	470	320	400	700	500	800	400	480	420	190	500	190	2500	350	450	400	190	2200	2100	1700	1800	750	400	900	600	1300	430	580	220	450	500	900	700	500	250	210	540	1100	250	1700	600	900	450	1050	350	240	1300	240	1000	820	850	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24409	460	185	287	420	346	279	302	506	237	497	249	331	243	100	338	109	1471	150	209	237	145	1335	1211	1093	1029	425	217	606	350	697	319	382	171	294	343	597	415	321	162	154	343	689	177	1051	348	516	317	600	211	165	791	145	641	464	501	228					
5	"Число избирательных бюллетеней, выданных вне помещения"	3229	56	123	95	35	7	5	27	94	148	104	63	56	75	42	70	41	58	83	75	99	20	33	49	17	137	60	65	95	83	147	49	18	28	59	43	54	69	59	36	17	31	54	52	16	15	19	12	190	28	25	44	16	4	76	98	55					
6	Число погашенных избирательных бюллетеней	12262	214	92	148	245	117	36	71	100	115	199	88	93	102	48	92	40	971	117	166	64	25	832	840	590	634	265	118	199	167	456	62	180	21	97	114	249	216	120	52	39	166	357	21	633	237	365	121	260	111	50	465	79	355	280	251	117					
7	Число избирательных бюллетеней в переносных ящиках	3229	56	123	95	35	7	5	27	94	148	104	63	56	75	42	70	41	58	83	75	99	20	33	49	17	137	60	65	95	83	147	49	18	28	59	43	54	69	59	36	17	31	54	52	16	15	19	12	190	28	25	44	16	4	76	98	55					
8	Число бюллетеней в стационарных ящиках для голосования	24409	460	185	287	420	346	279	302	506	237	497	249	331	243	100	338	109	1471	150	209	237	145	1335	1211	1093	1029	425	217	606	350	697	319	382	171	294	343	597	415	321	162	154	343	689	177	1051	348	516	317	600	211	165	791	145	641	464	501	228					
9	Число недействительных избирательных бюллетеней	544	6	4	6	12	6	11	6	13	7	17	1	19	9	1	13	3	15	6	6	6	3	18	17	9	27	23	4	15	4	22	9	8	6	6	12	17	5	5	9	2	11	22	6	23	0	5	8	10	5	0	17	7	9	12	17	4					
10	Число действительных избирательных бюллетеней	27094	510	304	376	443	347	273	323	587	378	584	311	368	309	141	395	147	1514	227	278	330	162	1350	1243	1101	1139	462	278	686	429	822	359	392	193	347	374	634	479	375	189	169	363	721	223	1044	363	530	321	780	234	190	818	154	636	528	582	279					
