Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Серпуховская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32812	642	339	321	724	1359	373	161	339	860	639	709	622	784	542	825	253	833	235	467	171	487	648	2635	2392	1099	258	106	818	1230	172	1068	148	1936	2417	1728	1596	1489	1387									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30700	600	300	300	650	1300	330	150	300	850	600	650	580	750	500	750	220	750	200	400	170	450	650	2650	2000	1000	250	100	750	1100	160	1000	140	1800	2200	1700	1600	1400	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11517	187	97	152	226	472	82	13	134	269	294	252	167	172	380	266	68	275	109	160	64	101	208	951	815	407	87	46	273	436	36	333	77	659	835	558	520	723	613									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	590	27	13	6	18	36	57	2	11	48	15	9	20	16	0	15	9	14	7	13	3	22	1	8	6	23	9	18	16	18	27	26	14	10	11	8	15	13	6									
6	Число погашенных избирательных бюллетеней	18593	386	190	142	406	792	191	135	155	533	291	389	393	562	120	469	143	461	84	227	103	327	441	1691	1179	570	154	36	461	646	97	641	49	1131	1354	1134	1065	664	781									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	590	27	13	6	18	36	57	2	11	48	15	9	20	16	0	15	9	14	7	13	3	22	1	8	6	23	9	18	16	18	27	26	14	10	11	8	15	13	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11514	187	97	152	226	472	82	13	134	269	294	252	167	172	380	266	68	274	109	160	64	101	208	951	815	407	87	46	273	436	36	333	77	659	834	558	520	722	613									
9	Число недействительных избирательных бюллетеней	377	8	5	3	9	17	2	0	6	14	12	11	4	5	16	12	1	8	3	3	2	2	5	32	30	11	2	0	8	14	1	7	9	12	27	17	18	27	14									
10	Число действительных избирательных бюллетеней	11727	206	105	155	235	491	137	15	139	303	297	250	183	183	364	269	76	280	113	170	65	121	204	927	791	419	94	64	281	440	62	352	82	657	818	549	517	708	605									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	561	10	4	4	14	24	4	4	5	15	9	12	6	12	13	13	3	10	3	6	2	6	12	43	42	19	4	2	14	21	7	15	6	38	37	30	28	34	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	271	0	1	4	13	5	3	1	0	1	2	4	3	1	9	3	0	7	1	2	1	4	4	21	16	19	2	2	11	14	5	6	6	12	12	10	12	34	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	197	14	2	10	15	1	0	0	0	8	9	3	4	3	8	5	1	4	1	5	4	2	1	2	2	1	4	0	23	2	3	8	5	3	0	15	9	14	6									
14	Число погашенных неиспользованных открепительных удостоверений	290	10	3	0	1	19	1	3	5	14	7	8	3	11	4	10	3	3	2	4	1	2	8	22	26	0	2	0	3	7	2	9	0	26	25	20	16	0	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	95	4	0	2	4	1	0	1	1	2	0	2	2	8	2	4	0	1	1	1	1	2	1	11	5	0	0	0	0	1	0	1	0	2	5	0	3	15	12									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	267	1	0	1	5	13	5	0	1	2	6	6	6	1	5	5	2	17	1	3	2	5	6	26	18	8	1	0	5	7	1	6	1	20	29	8	16	13	15									
		2.21%	0.47%	0.00%	0.63%	2.05%	2.56%	3.60%	0.00%	0.69%	0.63%	1.94%	2.30%	3.21%	0.53%	1.32%	1.78%	2.60%	5.90%	0.86%	1.73%	2.99%	4.07%	2.87%	2.71%	2.19%	1.86%	1.04%	0.00%	1.73%	1.54%	1.59%	1.67%	1.10%	2.99%	3.43%	1.41%	2.99%	1.77%	2.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	368	9	7	5	16	14	6	2	4	5	13	7	9	6	12	8	3	8	6	4	1	5	5	24	25	18	4	3	7	12	1	9	2	5	20	23	19	19	22									
		3.04%	4.21%	6.36%	3.16%	6.56%	2.76%	4.32%	13.33%	2.76%	1.58%	4.21%	2.68%	4.81%	3.19%	3.16%	2.85%	3.90%	2.78%	5.17%	2.31%	1.49%	4.07%	2.39%	2.50%	3.05%	4.19%	4.17%	4.69%	2.42%	2.64%	1.59%	2.51%	2.20%	0.75%	2.37%	4.06%	3.55%	2.59%	3.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	391	8	2	4	2	21	3	0	3	7	5	7	8	6	5	8	6	6	3	3	0	4	4	32	25	10	4	3	11	23	4	8	8	37	33	23	19	14	22									
		3.23%	3.74%	1.82%	2.53%	0.82%	4.13%	2.16%	0.00%	2.07%	2.21%	1.62%	2.68%	4.28%	3.19%	1.32%	2.85%	7.79%	2.08%	2.59%	1.73%	0.00%	3.25%	1.91%	3.34%	3.05%	2.33%	4.17%	4.69%	3.81%	5.07%	6.35%	2.23%	8.79%	5.53%	3.91%	4.06%	3.55%	1.90%	3.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4818	74	52	63	104	222	63	3	64	138	118	92	71	71	167	132	33	114	54	64	32	42	91	348	318	161	48	27	112	190	39	155	39	244	375	241	240	249	168									
		39.81%	34.58%	47.27%	39.87%	42.62%	43.70%	45.32%	20.00%	44.14%	43.53%	38.19%	35.25%	37.97%	37.77%	43.95%	46.98%	42.86%	39.58%	46.55%	36.99%	47.76%	34.15%	43.54%	36.29%	38.73%	37.44%	50.00%	42.19%	38.75%	41.85%	61.90%	43.18%	42.86%	36.47%	44.38%	42.58%	44.86%	33.88%	27.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	163	1	3	2	2	9	1	0	5	3	7	3	4	2	6	2	1	3	0	2	1	2	1	15	15	2	0	1	4	2	0	3	1	8	12	6	4	14	16									
		1.35%	0.47%	2.73%	1.27%	0.82%	1.77%	0.72%	0.00%	3.45%	0.95%	2.27%	1.15%	2.14%	1.06%	1.58%	0.71%	1.30%	1.04%	0.00%	1.16%	1.49%	1.63%	0.48%	1.56%	1.83%	0.47%	0.00%	1.56%	1.38%	0.44%	0.00%	0.84%	1.10%	1.20%	1.42%	1.06%	0.75%	1.90%	2.58%									
24	"6. Политическая партия ""Гражданская Платформа"""	32	1	1	0	0	2	2	1	0	0	3	0	1	0	2	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	4	3	2	0	4	1									
		0.26%	0.47%	0.91%	0.00%	0.00%	0.39%	1.44%	6.67%	0.00%	0.00%	0.97%	0.00%	0.53%	0.00%	0.53%	0.36%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.36%	0.35%	0.00%	0.54%	0.16%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2254	42	17	29	32	97	25	4	28	60	60	37	25	42	88	46	16	43	22	41	12	26	47	194	158	69	13	12	53	83	7	72	14	115	149	84	86	165	141									
		18.62%	19.63%	15.45%	18.35%	13.11%	19.09%	17.99%	26.67%	19.31%	18.93%	19.42%	14.18%	13.37%	22.34%	23.16%	16.37%	20.78%	14.93%	18.97%	23.70%	17.91%	21.14%	22.49%	20.23%	19.24%	16.05%	13.54%	18.75%	18.34%	18.28%	11.11%	20.06%	15.38%	17.19%	17.63%	14.84%	16.07%	22.45%	22.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	100	1	0	2	0	2	1	0	1	0	2	9	0	1	4	1	1	2	1	0	0	3	1	11	13	2	0	0	1	2	0	1	0	21	5	3	4	2	3									
		0.83%	0.47%	0.00%	1.27%	0.00%	0.39%	0.72%	0.00%	0.69%	0.00%	0.65%	3.45%	0.00%	0.53%	1.05%	0.36%	1.30%	0.69%	0.86%	0.00%	0.00%	2.44%	0.48%	1.15%	1.58%	0.47%	0.00%	0.00%	0.35%	0.44%	0.00%	0.28%	0.00%	3.14%	0.59%	0.53%	0.75%	0.27%	0.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	199	4	1	4	2	1	0	1	2	3	2	9	3	0	2	6	1	10	2	6	0	1	2	17	26	10	1	1	3	8	0	5	0	18	15	4	2	16	11									
		1.64%	1.87%	0.91%	2.53%	0.82%	0.20%	0.00%	6.67%	1.38%	0.95%	0.65%	3.45%	1.60%	0.00%	0.53%	2.14%	1.30%	3.47%	1.72%	3.47%	0.00%	0.81%	0.96%	1.77%	3.17%	2.33%	1.04%	1.56%	1.04%	1.76%	0.00%	1.39%	0.00%	2.69%	1.78%	0.71%	0.37%	2.18%	1.78%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	35	0	0	1	0	0	0	0	0	1	1	0	0	0	2	1	0	2	0	0	0	2	1	1	0	2	0	0	2	0	0	0	0	1	2	5	0	6	5									
		0.29%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.32%	0.00%	0.00%	0.00%	0.53%	0.36%	0.00%	0.69%	0.00%	0.00%	0.00%	1.63%	0.48%	0.10%	0.00%	0.47%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.15%	0.24%	0.88%	0.00%	0.82%	0.81%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	222	7	2	3	10	3	3	1	0	3	4	3	6	9	5	5	4	8	1	2	3	3	2	17	14	2	2	0	9	3	0	5	0	20	21	6	7	12	17									
		1.83%	3.27%	1.82%	1.90%	4.10%	0.59%	2.16%	6.67%	0.00%	0.95%	1.29%	1.15%	3.21%	4.79%	1.32%	1.78%	5.19%	2.78%	0.86%	1.16%	4.48%	2.44%	0.96%	1.77%	1.71%	0.47%	2.08%	0.00%	3.11%	0.66%	0.00%	1.39%	0.00%	2.99%	2.49%	1.06%	1.31%	1.63%	2.75%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2248	41	16	30	50	87	22	2	25	70	64	65	33	34	50	42	5	49	20	39	13	19	37	164	122	123	19	17	64	86	4	76	14	105	101	126	100	160	154									
		18.57%	19.16%	14.55%	18.99%	20.49%	17.13%	15.83%	13.33%	17.24%	22.08%	20.71%	24.90%	17.65%	18.09%	13.16%	14.95%	6.49%	17.01%	17.24%	22.54%	19.40%	15.45%	17.70%	17.10%	14.86%	28.60%	19.79%	26.56%	22.15%	18.94%	6.35%	21.17%	15.38%	15.70%	11.95%	22.26%	18.69%	21.77%	24.88%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	3	0	0	1	1	0	0	3	2	1	2	0	1	2	0	0	4	2	0	0	4	1	4	4	2	1	0	1	7	1	0	0	4	4	2	3	5	7									
		0.59%	1.40%	0.00%	0.00%	0.41%	0.20%	0.00%	0.00%	2.07%	0.63%	0.32%	0.77%	0.00%	0.53%	0.53%	0.00%	0.00%	1.39%	1.72%	0.00%	0.00%	3.25%	0.48%	0.42%	0.49%	0.47%	1.04%	0.00%	0.35%	1.54%	1.59%	0.00%	0.00%	0.60%	0.47%	0.35%	0.56%	0.68%	1.13%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	558	14	4	11	11	19	6	1	3	9	11	10	17	10	14	12	4	13	1	6	1	5	5	74	53	8	1	0	9	17	5	12	3	55	49	16	17	29	23									
		4.61%	6.54%	3.64%	6.96%	4.51%	3.74%	4.32%	6.67%	2.07%	2.84%	3.56%	3.83%	9.09%	5.32%	3.68%	4.27%	5.19%	4.51%	0.86%	3.47%	1.49%	4.07%	2.39%	7.72%	6.46%	1.86%	1.04%	0.00%	3.11%	3.74%	7.94%	3.34%	3.30%	8.22%	5.80%	2.83%	3.18%	3.95%	3.72%									
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
