Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Семикаракорская районная																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №1232	УИК №2567					
1	"Число избирателей, внесенных в списки избирателей"	41747	358	2028	2380	1873	2236	2610	2313	2138	628	1374	130	167	1536	1270	1359	1756	515	619	525	1728	603	1071	817	697	1118	401	427	403	812	844	806	742	352	1413	313	248	721	1815	601					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39695	350	1800	2300	1750	2250	2500	2150	2050	650	1350	130	165	1450	1150	1250	1750	450	600	500	1650	600	1050	800	650	1100	350	400	350	800	800	750	750	350	1350	300	300	700	1500	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	26898	241	1142	1240	1180	1369	1543	1272	1098	423	992	111	143	1069	889	964	1429	409	409	354	1133	423	712	604	485	879	283	314	341	573	576	738	486	232	689	205	134	441	943	430					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2837	8	130	123	128	113	186	108	85	84	244	19	19	74	32	75	65	8	32	14	120	35	89	46	26	86	15	23	1	60	76	12	96	34	139	32	27	75	241	57					
6	Число погашенных избирательных бюллетеней	9960	101	528	937	442	768	771	770	867	143	114	0	3	307	229	211	256	33	159	132	397	142	249	150	139	135	52	63	8	167	148	0	168	84	522	63	139	184	316	63					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2837	8	130	123	128	113	186	108	85	84	244	19	19	74	32	75	65	8	32	14	120	35	89	46	26	86	15	23	1	60	76	12	96	34	139	32	27	75	241	57					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26898	241	1142	1240	1180	1369	1543	1272	1098	423	992	111	143	1069	889	964	1429	409	409	354	1133	423	712	604	485	879	283	314	341	573	576	738	486	232	689	205	134	441	943	430					
9	Число недействительных избирательных бюллетеней	140	2	1	0	0	0	5	8	2	1	0	10	0	1	0	52	0	0	2	2	1	4	5	6	0	0	2	0	0	5	6	3	7	0	3	2	1	1	5	3					
10	Число действительных избирательных бюллетеней	29595	247	1271	1363	1308	1482	1724	1372	1181	506	1236	120	162	1142	921	987	1494	417	439	366	1252	454	796	644	511	965	296	337	342	628	646	747	575	266	825	235	160	515	1179	484					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	990	30	30	30	30	30	40	30	30	30	20	20	20	25	20	25	25	25	25	25	25	25	25	25	25	25	25	20	25	25	25	20	20	25	25	25	25	25	25	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	442	1	19	13	13	24	29	23	24	24	9	3	0	22	9	9	15	6	5	9	20	13	7	8	6	7	2	0	3	12	10	4	16	6	21	6	4	11	24	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	189	2	13	9	5	8	13	3	8	3	16	1	2	4	3	2	8	3	6	3	2	2	7	3	3	3	3	1	3	3	5	6	5	1	3	0	1	8	11	7					
14	Число погашенных неиспользованных открепительных удостоверений	548	29	11	17	17	6	11	7	6	6	11	17	20	3	11	16	10	19	20	16	5	12	18	17	19	18	23	20	22	13	15	16	4	19	4	19	21	14	1	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	1.Политическая партия «Аграрная партия России»	383	7	11	0	11	10	12	20	5	5	4	0	0	25	9	19	34	0	6	4	33	10	8	11	5	0	20	0	2	12	6	15	16	9	18	6	5	8	9	8					
		1.29%	2.81%	0.86%	0.00%	0.84%	0.67%	0.69%	1.45%	0.42%	0.99%	0.32%	0.00%	0.00%	2.19%	0.98%	1.83%	2.28%	0.00%	1.36%	1.09%	2.63%	2.18%	0.99%	1.69%	0.98%	0.00%	6.71%	0.00%	0.58%	1.90%	0.92%	2.00%	2.75%	3.38%	2.17%	2.53%	3.11%	1.55%	0.76%	1.64%					
19	2.Всероссийская политическая партия «Гражданская Сила»	66	0	3	0	2	9	10	9	0	2	0	1	0	0	1	0	7	1	0	0	0	0	4	6	1	0	0	0	0	0	2	0	0	0	1	0	0	2	4	1					
		0.22%	0.00%	0.24%	0.00%	0.15%	0.61%	0.58%	0.65%	0.00%	0.39%	0.00%	0.77%	0.00%	0.00%	0.11%	0.00%	0.47%	0.24%	0.00%	0.00%	0.00%	0.00%	0.50%	0.92%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.39%	0.34%	0.21%					
20	3.Политическая партия «Демократическая партия России»	7	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.13%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1930	29	100	174	69	133	108	175	54	46	11	1	1	71	40	47	34	24	45	23	60	37	66	35	35	46	15	13	15	67	47	18	39	12	60	24	10	20	76	50					
		6.49%	11.65%	7.86%	12.77%	5.28%	8.97%	6.25%	12.68%	4.56%	9.07%	0.89%	0.77%	0.62%	6.21%	4.34%	4.52%	2.28%	5.76%	10.20%	6.25%	4.79%	8.08%	8.24%	5.38%	6.85%	4.77%	5.03%	3.86%	4.39%	10.58%	7.21%	2.40%	6.70%	4.51%	7.25%	10.13%	6.21%	3.88%	6.42%	10.27%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	34	2	1	0	0	4	0	1	4	1	0	0	0	0	3	3	0	0	1	0	2	1	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	3					
		0.11%	0.80%	0.08%	0.00%	0.00%	0.27%	0.00%	0.07%	0.34%	0.20%	0.00%	0.00%	0.00%	0.00%	0.33%	0.29%	0.00%	0.00%	0.23%	0.00%	0.16%	0.22%	0.37%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.17%	0.00%	0.00%	0.00%	0.00%	0.19%	0.08%	0.62%					
23	6.Политическая партия «Партия социальной справедливости»	48	1	2	0	0	2	6	3	0	0	18	0	0	0	0	0	1	2	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	3	0	0	1	3	0					
		0.16%	0.40%	0.16%	0.00%	0.00%	0.13%	0.35%	0.22%	0.00%	0.00%	1.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.48%	0.00%	0.27%	0.08%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.13%	0.17%	0.00%	0.36%	0.00%	0.00%	0.19%	0.25%	0.00%					
