Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Сердобская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073					
1	"Число избирателей, внесенных в списки избирателей"	44227	387	438	493	111	981	68	118	556	91	527	249	1212	499	284	401	1132	1287	1302	102	771	1174	171	787	584	101	331	320	762	1218	1227	1143	1131	1392	1142	1251	1035	1099	1075	1104	1531	1321	1240	1310	1423	1322	1429	1405	1444	1286	1346	1114					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	43390	370	440	470	100	930	65	95	540	85	520	240	1200	480	280	400	1130	1290	1290	100	770	1110	145	750	580	100	330	300	720	1210	1180	1130	1140	1390	1130	1230	1020	1070	1050	1130	1350	1330	1210	1320	1350	1340	1420	1400	1430	1290	1330	1110					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31026	301	364	361	85	449	39	75	457	75	422	172	1063	346	235	335	537	886	927	85	617	743	135	632	546	92	301	227	493	1045	888	878	603	1054	875	867	628	772	930	740	740	883	705	1012	1202	760	1022	742	1126	969	1137	448					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3258	44	38	83	15	176	15	20	45	4	45	28	48	107	16	51	153	36	79	10	99	50	6	81	16	0	0	19	13	50	82	74	17	25	30	53	34	43	26	182	181	75	24	28	73	233	31	57	32	66	41	504					
6	Число погашенных избирательных бюллетеней	9106	25	38	26	0	305	11	0	38	6	53	40	89	27	29	14	440	368	284	5	54	317	4	37	18	8	29	54	214	115	210	178	520	311	225	310	358	255	94	208	429	372	481	280	75	347	367	601	272	255	152	158					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3258	44	38	83	15	176	15	20	45	4	45	28	48	107	16	51	153	36	79	10	99	50	6	81	16	0	0	19	13	50	82	74	17	25	30	53	34	43	26	182	181	75	24	28	73	233	31	57	32	66	41	504					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31019	301	364	361	85	449	39	75	457	75	422	172	1062	346	235	335	537	886	927	85	617	743	135	632	546	92	301	227	493	1045	888	878	603	1054	875	867	624	772	930	740	740	883	705	1012	1202	760	1020	742	1126	969	1137	448					
9	Число недействительных избирательных бюллетеней	252	0	2	0	0	7	2	1	3	0	3	2	0	0	2	0	1	5	3	0	5	2	1	1	0	0	1	4	5	5	9	4	5	0	0	3	2	1	4	5	13	11	4	0	23	10	6	9	8	10	6	64					
10	Число действительных избирательных бюллетеней	34025	345	400	444	100	618	52	94	499	79	464	198	1110	453	249	386	689	917	1003	95	711	791	140	712	562	92	300	242	501	1090	961	948	615	1079	905	917	656	814	952	917	908	947	725	1040	1252	983	1045	790	1150	1025	1172	888					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	613	10	10	10	10	10	10	10	13	10	10	10	10	10	10	10	10	12	10	10	10	10	10	10	10	10	10	10	10	10	15	25	23	10	10	10	10	20	10	10	10	10	15	20	15	10	10	20	20	25	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	319	3	7	1	0	3	0	0	10	1	1	3	5	3	2	0	6	11	6	0	8	6	1	4	3	0	6	3	7	7	13	19	14	7	6	8	7	12	3	4	7	6	11	11	15	6	8	13	10	20	9	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	160	3	0	3	2	3	2	0	2	0	2	2	5	4	2	0	2	2	5	0	4	3	3	1	2	0	1	1	7	1	1	2	4	0	0	5	0	6	6	3	4	3	3	1	40	2	3	8	1	0	5	1					
14	Число погашенных неиспользованных открепительных удостоверений	294	7	3	9	10	7	10	10	3	9	9	7	5	7	8	10	4	1	4	10	2	4	9	6	7	10	4	7	3	3	2	6	9	3	4	2	3	8	7	6	3	4	4	9	0	4	2	7	10	5	1	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
