Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Сердобская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029					
1	"Число избирателей, внесенных в список избирателей"	44297	407	418	555	1044	59	104	615	514	223	1162	463	282	386	1226	1457	1442	128	721	1219	177	745	657	385	299	765	1224	1685	1118	1199	1827	261	1493	1367	1348	1257	1284	1445	1264	1345	1512	1452	1335	1360	1234	1223	1401	1210					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35520	400	400	500	1050	50	100	600	500	220	1130	470	280	380	1220	1450	1420	120	700	1240	170	750	650	370	320	780	800	1100	800	850	1300	200	1000	1000	1000	900	900	950	900	900	1050	1000	950	1000	900	900	1000	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20202	208	242	236	368	34	56	312	237	93	705	141	159	171	544	648	718	53	348	571	83	336	312	205	172	456	525	675	524	497	825	123	633	532	626	556	589	751	570	733	655	565	633	615	615	563	567	422					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2432	66	11	65	204	10	22	76	43	42	68	107	20	35	96	62	49	31	30	37	8	51	122	0	15	18	35	76	32	36	74	9	41	57	51	66	75	56	54	38	102	39	34	68	59	56	45	41					
6	Число погашенных избирательных бюллетеней	12886	126	147	199	478	6	22	212	220	85	357	222	101	174	580	740	653	36	322	632	79	363	216	165	133	306	240	349	244	317	401	68	326	411	323	278	236	143	276	129	293	396	283	317	226	281	388	387					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2432	66	11	65	204	10	22	76	43	42	68	107	20	35	96	62	49	31	30	37	8	51	122	0	15	18	35	76	32	36	74	9	41	57	51	66	75	56	54	38	102	39	34	68	59	56	45	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20201	208	242	236	368	34	56	312	237	93	705	141	159	171	544	648	718	53	348	571	83	336	312	205	172	456	525	675	524	497	825	123	633	531	626	556	589	751	570	733	655	565	633	615	615	563	567	422					
9	Число недействительных избирательных бюллетеней	355	0	4	8	6	0	0	2	10	7	13	0	2	1	7	6	5	1	9	11	1	5	36	3	3	6	9	12	6	7	11	3	12	10	10	29	9	12	7	3	24	6	8	4	7	6	7	7					
10	Число действительных избирательных бюллетеней	22278	274	249	293	566	44	78	386	270	128	760	248	177	205	633	704	762	83	369	597	90	382	398	202	184	468	551	739	550	526	888	129	662	578	667	593	655	795	617	768	733	598	659	679	667	613	605	456					
