Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																											
																																																																											
Наименование Избирательной комиссии:    Илишевская																																																																											
																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																											
																																																																											
		Сумма	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437					
1	"Число избирателей, внесенных в списки"	24723	407	119	224	546	234	165	517	177	384	298	83	328	189	252	402	583	91	100	236	215	662	179	118	454	286	91	379	207	154	444	279	154	54	561	304	445	237	395	369	247	94	228	389	144	111	178	593	327	147	460	102	78	366	374	518	385	286	524	619	82	272	289	181	1308	1218	1373	1238	1270					
2	"Число бюллетеней, полученных участковыми комиссиями"	25569	424	123	237	553	242	171	544	215	407	319	95	356	209	266	416	606	104	108	239	232	697	194	128	460	288	98	401	224	168	482	288	166	66	586	324	446	237	395	382	262	103	231	397	156	110	182	619	333	151	472	107	89	374	389	521	405	293	568	630	92	286	287	197	1291	1289	1317	1274	1248					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22306	371	114	181	529	213	120	465	163	320	257	76	285	158	218	345	520	82	90	219	200	561	160	106	420	258	89	350	192	143	400	265	123	46	505	275	407	205	351	361	232	88	205	333	140	110	161	574	289	141	432	97	74	339	337	452	350	257	509	523	68	255	273	167	1113	1124	1164	1170	1186					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1404	36	5	43	17	17	27	30	14	18	22	3	26	26	34	47	63	9	7	17	15	31	11	12	34	22	2	29	15	11	44	13	19	4	50	24	26	21	27	8	15	6	8	27	3	0	9	19	19	6	24	5	4	24	24	40	26	19	15	51	13	12	10	14	37	34	38	11	12					
6	Число погашенных бюллетеней	1858	17	4	13	7	12	24	49	38	69	40	16	45	25	14	24	23	13	11	3	17	105	23	10	6	8	7	22	17	14	38	10	24	16	31	25	13	11	17	13	15	9	18	37	13	0	12	26	25	4	16	5	11	11	28	29	29	17	44	56	11	19	4	16	141	130	115	93	50					
7	Число бюллетеней в переносных ящиках для голосования	1404	36	5	43	17	17	27	30	14	18	22	3	26	26	34	47	63	9	7	17	15	31	11	12	34	22	2	29	15	11	44	13	19	4	50	24	26	21	27	8	15	6	8	27	3	0	9	19	19	6	24	5	4	24	24	40	26	19	15	51	13	12	10	14	37	34	38	11	12					
8	Число бюллетеней в стационарных ящиках для голосования	22306	371	114	181	529	213	120	465	163	320	257	76	285	158	218	345	520	82	90	219	200	561	160	106	420	258	89	350	192	143	400	265	123	46	505	275	407	205	351	361	232	88	205	333	140	110	161	574	289	141	432	97	74	339	337	452	350	257	509	523	68	255	273	167	1113	1124	1164	1170	1186					
9	Число недействительных бюллетеней	910	3	5	9	32	6	9	27	18	21	14	8	22	9	16	1	30	7	5	2	12	21	23	10	26	14	2	0	17	7	19	1	1	2	15	21	21	19	13	14	21	8	10	7	1	2	0	15	11	6	10	0	1	20	12	12	18	19	9	34	4	14	16	11	18	33	39	18	39					
10	Число действительных бюллетеней	22800	404	114	215	514	224	138	468	159	317	265	71	289	175	236	391	553	84	92	234	203	571	148	108	428	266	89	379	190	147	425	277	141	48	540	278	412	207	365	355	226	86	203	353	142	108	170	578	297	141	446	102	77	343	349	480	358	257	515	540	77	253	267	170	1132	1125	1163	1163	1159					
