Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Первомайская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347					
1	"Число избирателей, внесенных в список"	23264	2411	2840	2504	2892	143	1231	699	241	98	354	394	570	401	285	286	94	214	531	1177	1358	146	159	507	570	578	164	309	442	431	276	959					
2	Число полученных избирательных бюллетеней	24192	2579	2949	2582	2843	150	1323	747	253	92	375	414	584	413	309	303	98	223	562	1232	1408	146	163	537	592	606	170	320	463	456	294	1006					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14072	1347	1557	1531	1541	143	820	352	108	73	197	227	352	203	211	169	51	147	324	944	795	114	116	240	449	403	145	186	221	246	203	657					
5	"Число избирательных бюллетеней, выданных вне помещения"	2999	182	118	83	86	0	105	312	108	17	68	85	157	124	63	103	42	48	141	156	167	25	33	156	57	64	13	74	152	112	29	119					
6	Число погашенных избирательных бюллетеней	7121	1050	1274	968	1216	7	398	83	37	2	110	102	75	86	35	31	5	28	97	132	446	7	14	141	86	139	12	60	90	98	62	230					
7	Число избирательных бюллетеней в переносных ящиках	2999	182	118	83	86	0	105	312	108	17	68	85	157	124	63	103	42	48	141	156	167	25	33	156	57	64	13	74	152	112	29	119					
8	Число бюллетеней в стационарных ящиках для голосования	14072	1347	1557	1531	1541	143	820	352	108	73	197	227	352	203	211	169	51	147	324	944	795	114	116	240	449	403	145	186	221	246	203	657					
9	Число недействительных избирательных бюллетеней	144	7	22	15	9	1	12	1	1	1	1	3	5	5	2	7	1	4	3	5	9	0	0	5	6	4	1	0	2	5	1	6					
10	Число действительных избирательных бюллетеней	16927	1522	1653	1599	1618	142	913	663	215	89	264	309	504	322	272	265	92	191	462	1095	953	139	149	391	500	463	157	260	371	353	231	770					
11	Число полученных открепительных  удостоверений	218	50	0	2	50	0	20	20	5	0	2	2	6	3	3	5	4	0	5	20	10	5	0	0	0	0	0	0	0	2	0	4					
12	Число выданных открепительных удостоверений	92	12	0	1	7	0	15	0	0	0	1	0	6	2	3	5	0	0	5	20	10	2	0	0	0	0	0	0	0	2	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	7	13	8	6	5	2	1	1	2	2	1	1	1	4	0	0	2	0	7	4	0	0	0	0	0	2	0	0	3	0	3					
14	Число неиспользованных открепительных удостоверений	126	38	0	1	43	0	5	20	5	0	1	2	0	1	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3					
15	"Число открепительных удостоверений, выданных в ТИК"	32	0	0	10	0	0	0	20	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	362	54	37	60	32	1	14	11	1	0	5	6	6	6	13	2	2	2	5	24	13	0	6	3	14	6	3	7	7	11	1	10					
		2.12%	3.53%	2.21%	3.72%	1.97%	0.70%	1.51%	1.66%	0.46%	0.00%	1.89%	1.92%	1.18%	1.83%	4.74%	0.74%	2.15%	1.03%	1.08%	2.18%	1.35%	0.00%	4.03%	0.76%	2.77%	1.28%	1.90%	2.69%	1.88%	3.07%	0.43%	1.29%					
19	. Малышкин Олег Александрович	293	25	27	24	23	4	9	15	0	3	9	6	9	2	3	4	4	2	11	31	15	18	5	1	5	3	1	7	3	14	3	7					
		1.72%	1.64%	1.61%	1.49%	1.41%	2.80%	0.97%	2.26%	0.00%	3.33%	3.40%	1.92%	1.77%	0.61%	1.09%	1.47%	4.30%	1.03%	2.37%	2.82%	1.56%	12.95%	3.36%	0.25%	0.99%	0.64%	0.63%	2.69%	0.80%	3.91%	1.29%	0.90%					
20	. Миронов Сергей Михайлович	87	8	13	7	6	0	6	3	1	0	5	0	4	0	1	3	2	0	3	5	1	1	1	2	2	1	0	1	0	5	2	4					
		0.51%	0.52%	0.78%	0.43%	0.37%	0.00%	0.65%	0.45%	0.46%	0.00%	1.89%	0.00%	0.79%	0.00%	0.36%	1.10%	2.15%	0.00%	0.65%	0.45%	0.10%	0.72%	0.67%	0.51%	0.40%	0.21%	0.00%	0.38%	0.00%	1.40%	0.86%	0.52%					
21	. Путин Владимир Владимирович	11221	829	1032	895	1049	84	575	472	159	76	166	208	290	183	213	197	59	148	354	829	702	86	114	292	372	374	117	168	261	231	163	523					
		65.73%	54.22%	61.61%	55.45%	64.47%	58.74%	62.16%	71.08%	73.61%	84.44%	62.64%	66.67%	56.97%	55.96%	77.74%	72.43%	63.44%	75.90%	76.13%	75.36%	72.97%	61.87%	76.51%	73.74%	73.52%	80.09%	74.05%	64.62%	69.97%	64.53%	70.26%	67.40%					
22	. Хакамада Ирина Муцуовна	203	24	22	24	46	1	12	4	5	0	3	2	5	4	0	2	1	0	5	7	6	1	1	2	6	2	1	4	6	1	1	5					
		1.19%	1.57%	1.31%	1.49%	2.83%	0.70%	1.30%	0.60%	2.31%	0.00%	1.13%	0.64%	0.98%	1.22%	0.00%	0.74%	1.08%	0.00%	1.08%	0.64%	0.62%	0.72%	0.67%	0.51%	1.19%	0.43%	0.63%	1.54%	1.61%	0.28%	0.43%	0.64%					
23	. Харитонов Николай Михайлович	4306	515	468	500	387	48	282	145	45	9	67	86	186	119	39	47	24	39	75	183	199	31	18	77	98	71	34	71	90	83	59	211					
		25.22%	33.68%	27.94%	30.98%	23.79%	33.57%	30.49%	21.84%	20.83%	10.00%	25.28%	27.56%	36.54%	36.39%	14.23%	17.28%	25.81%	20.00%	16.13%	16.64%	20.69%	22.30%	12.08%	19.44%	19.37%	15.20%	21.52%	27.31%	24.13%	23.18%	25.43%	27.19%					
																																						
24	Против всех	455	67	54	89	75	4	15	13	4	1	9	1	4	8	3	10	0	0	9	16	17	2	4	14	3	6	1	2	4	8	2	10					
		2.67%	4.38%	3.22%	5.51%	4.61%	2.80%	1.62%	1.96%	1.85%	1.11%	3.40%	0.32%	0.79%	2.45%	1.09%	3.68%	0.00%	0.00%	1.94%	1.45%	1.77%	1.44%	2.68%	3.54%	0.59%	1.28%	0.63%	0.77%	1.07%	2.23%	0.86%	1.29%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
