Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Красносельский район																					
																					
Итоги голосования 																					
																					
		Сумма	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68					
1	"Число избирателей, внесенных в список"	25283	2358	2019	2533	2012	1385	1376	1959	1717	1804	1423	2168	1959	1560	1010					
2	Число полученных избирательных бюллетеней	23700	2300	1800	2300	2100	1700	1200	1700	1300	1900	1100	2000	2000	1500	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15162	1348	1114	1357	1285	947	846	1037	962	1083	811	1359	1380	990	643					
5	"Число избирательных бюллетеней, выданных вне помещения"	516	43	43	87	30	26	21	61	33	31	32	31	28	38	12					
6	Число погашенных избирательных бюллетеней	8022	909	643	856	785	727	333	602	305	786	257	610	592	472	145					
7	Число избирательных бюллетеней в переносных ящиках	504	42	43	87	30	26	10	61	33	31	32	31	28	38	12					
8	Число бюллетеней в стационарных ящиках для голосования	14940	1343	1112	1352	1285	946	798	1033	962	1080	811	1357	1349	869	643					
9	Число недействительных избирательных бюллетеней	142	26	8	6	12	6	21	5	11	7	6	11	10	9	4					
10	Число действительных избирательных бюллетеней	15302	1359	1147	1433	1303	966	787	1089	984	1104	837	1377	1367	898	651					
11	Число полученных открепительных  удостоверений	700	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	361	41	29	35	26	24	21	29	20	20	12	31	33	19	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1649	87	242	56	39	58	116	135	321	68	230	91	116	50	40					
14	Число неиспользованных открепительных удостоверений	339	9	21	15	24	26	29	21	30	30	38	19	17	31	29					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	1196	97	78	149	86	71	40	75	67	67	53	115	190	60	48					
		7.74%	7.00%	6.75%	10.35%	6.54%	7.30%	4.95%	6.86%	6.73%	6.03%	6.29%	8.29%	13.80%	6.62%	7.33%					
19	. Малышкин Олег Александрович	187	20	20	12	17	12	12	11	14	23	7	18	8	8	5					
		1.21%	1.44%	1.73%	0.83%	1.29%	1.23%	1.49%	1.01%	1.41%	2.07%	0.83%	1.30%	0.58%	0.88%	0.76%					
20	. Миронов Сергей Михайлович	108	6	10	6	11	4	8	6	2	9	7	12	8	8	11					
		0.70%	0.43%	0.87%	0.42%	0.84%	0.41%	0.99%	0.55%	0.20%	0.81%	0.83%	0.86%	0.58%	0.88%	1.68%					
21	. Путин Владимир Владимирович	9687	846	739	799	831	596	517	716	671	713	554	845	812	616	432					
		62.72%	61.08%	63.98%	55.52%	63.19%	61.32%	63.99%	65.45%	67.44%	64.18%	65.72%	60.88%	58.97%	67.92%	65.95%					
22	. Хакамада Ирина Муцуовна	1752	196	140	217	145	121	78	131	103	121	100	131	128	81	60					
		11.34%	14.15%	12.12%	15.08%	11.03%	12.45%	9.65%	11.97%	10.35%	10.89%	11.86%	9.44%	9.30%	8.93%	9.16%					
23	. Харитонов Николай Михайлович	1229	68	71	147	110	100	66	77	75	83	56	146	110	70	50					
		7.96%	4.91%	6.15%	10.22%	8.37%	10.29%	8.17%	7.04%	7.54%	7.47%	6.64%	10.52%	7.99%	7.72%	7.63%					
																					
24	Против всех	1143	126	89	103	103	62	66	73	52	88	60	110	111	55	45					
		7.40%	9.10%	7.71%	7.16%	7.83%	6.38%	8.17%	6.67%	5.23%	7.92%	7.12%	7.93%	8.06%	6.06%	6.87%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
