Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Еманжелинская городская      																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823					
1	"Число избирателей, внесенных в список"	38667	1496	1314	1377	1421	1245	1269	1389	1217	1248	1390	1330	1496	1461	1333	1437	1252	271	1210	1446	1456	1346	1355	1316	1341	1420	1018	569	1350	1484	1410					
2	Число полученных избирательных бюллетеней	35560	1400	1200	1300	1300	1150	1200	1300	1150	1150	1250	1200	1400	1350	1200	1300	1100	240	1100	1300	1300	1250	1250	1200	1250	1300	950	520	1250	1400	1300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22719	837	666	731	977	848	730	730	789	812	924	905	888	961	878	998	754	173	515	765	730	810	765	755	736	699	460	230	835	895	923					
5	"Число избирательных бюллетеней, выданных вне помещения"	2009	90	160	93	62	66	77	112	44	70	52	42	52	60	26	55	137	21	122	34	52	63	39	80	51	83	75	61	54	36	40					
6	Число погашенных избирательных бюллетеней	10832	473	374	476	261	236	393	458	317	268	274	253	460	329	296	247	209	46	463	501	518	377	446	365	463	518	415	229	361	469	337					
7	Число избирательных бюллетеней в переносных ящиках	2009	90	160	93	62	66	77	112	44	70	52	42	52	60	26	55	137	21	122	34	52	63	39	80	51	83	75	61	54	36	40					
8	Число бюллетеней в стационарных ящиках для голосования	22719	837	666	731	977	848	730	730	789	812	924	905	888	961	878	998	754	173	515	765	730	810	765	755	736	699	460	230	835	895	923					
9	Число недействительных избирательных бюллетеней	319	8	0	24	9	11	9	10	17	17	14	17	15	6	13	12	9	2	11	9	8	9	10	8	10	10	15	2	14	11	9					
10	Число действительных избирательных бюллетеней	24409	919	826	800	1030	903	798	832	816	865	962	930	925	1015	891	1041	882	192	626	790	774	864	794	827	777	772	520	289	875	920	954					
11	Число полученных открепительных  удостоверений	460	15	15	15	15	15	15	15	15	20	15	15	15	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	281	12	7	8	12	11	13	3	7	17	13	8	9	15	13	11	13	1	7	13	8	14	5	3	13	4	4	4	13	12	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	260	7	8	8	6	13	2	5	6	4	11	2	5	3	7	16	44	9	2	7	12	8	9	4	6	14	6	6	12	7	11					
14	Число неиспользованных открепительных удостоверений	179	3	8	7	3	4	2	12	8	3	2	7	6	5	2	4	2	14	8	2	7	1	10	12	2	11	11	11	2	3	7					
15	"Число открепительных удостоверений, выданных в ТИК"	28	2	1	4	3	0	4	0	0	2	1	1	0	0	2	0	1	0	0	0	1	1	3	0	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	807	38	20	19	33	33	23	20	21	29	29	16	28	29	29	35	33	4	15	32	26	50	33	28	37	33	11	12	36	25	30					
