Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Усть-Удинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1921	УИК №1922	УИК №1923									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11422	745	232	649	220	529	814	849	803	801	171	446	411	608	293	336	795	187	242	87	416	193	249	849	428	69									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11590	760	225	650	220	535	825	825	830	830	175	455	419	625	304	345	815	190	245	92	430	195	255	835	440	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3304	184	76	163	52	268	186	216	255	175	54	122	107	222	78	135	226	45	76	18	86	66	99	240	140	15									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	320	68	0	14	8	20	16	12	12	26	7	6	7	13	14	7	17	8	17	7	11	0	5	15	5	5									
6	Число погашенных избирательных бюллетеней	7966	508	149	473	160	247	623	597	563	629	114	327	305	390	212	203	572	137	152	67	333	129	151	580	295	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	320	68	0	14	8	20	16	12	12	26	7	6	7	13	14	7	17	8	17	7	11	0	5	15	5	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3303	184	76	163	52	268	185	216	255	175	54	122	107	222	78	135	226	45	76	18	86	66	99	240	140	15									
9	Число недействительных избирательных бюллетеней	66	2	2	2	0	8	1	2	4	5	1	6	5	2	2	5	5	2	2	1	1	0	1	5	2	0									
10	Число действительных избирательных бюллетеней	3557	250	74	175	60	280	200	226	263	196	60	122	109	233	90	137	238	51	91	24	96	66	103	250	143	20									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	453	40	10	40	10	20	25	25	25	25	10	10	20	40	10	10	30	5	6	5	15	10	10	25	20	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	57	3	1	5	0	0	2	4	2	0	3	1	3	3	2	0	9	0	6	0	0	0	0	10	3	0									
