Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																						
Дата голосования: 02.12.2007																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081					
1	"Число избирателей, внесенных в списки избирателей"	96946	2243	2380	2296	2417	2278	2316	1019	2199	2312	1122	1229	1164	940	2109	2377	2508	2447	2532	2523	2593	1254	1289	2532	2661	2760	1370	242	187	998	1043	1901	380	173	224	844	828	343	244	373	420	1093	1065	2460	2575	2112	2173	607	2557	2364	293	324	2576	1425	428	161	339	284	284	135	283	452	285	312	448	210	216	612	195	1623	2079	928	986	365	354	571	626	577	1093	406					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	95343	2200	2400	2300	2400	2200	2300	1030	2150	2220	1140	1200	1188	905	2030	2200	2400	2400	2500	2500	2500	1220	1280	2400	2600	2700	1420	243	180	1000	1050	1860	372	164	214	839	863	339	383	367	404	1075	1045	2400	2500	2100	2100	570	2500	2300	282	296	2600	1430	422	146	316	281	264	119	274	456	272	324	442	209	217	599	196	1605	2030	961	986	354	341	582	627	572	1085	404					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	48661	1064	1185	1043	1180	919	1063	503	1036	1104	516	497	481	520	851	1184	1295	1387	1357	1419	1290	576	732	1461	1446	1522	727	84	69	537	591	956	215	99	125	466	480	130	197	163	199	583	635	1198	1297	1087	1068	237	1334	1327	148	195	1388	657	234	123	146	180	158	55	70	212	145	205	176	105	98	256	98	773	1066	420	459	109	146	244	271	294	613	182					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4570	99	71	55	48	48	44	21	62	30	37	51	41	87	107	86	74	31	39	56	30	46	40	45	40	21	62	83	63	34	14	152	33	23	23	35	43	67	47	99	63	41	27	84	91	18	30	163	36	27	38	21	27	44	105	10	71	25	62	44	130	114	32	22	61	18	42	113	22	82	149	48	47	82	45	72	59	106	117	95					
6	Число погашенных избирательных бюллетеней	42109	1037	1144	1202	1172	1233	1193	506	1052	1086	587	652	666	298	1072	930	1029	982	1104	1025	1180	598	508	894	1114	1157	631	76	48	429	445	752	124	42	66	338	340	142	139	105	142	451	383	1118	1112	994	1002	170	1130	946	96	80	1185	729	83	13	99	76	44	20	74	130	95	97	205	86	77	230	76	750	815	493	480	163	150	266	297	172	355	127					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4570	99	71	55	48	48	44	21	62	30	37	51	41	87	107	86	74	31	39	56	30	46	40	45	40	21	62	83	63	34	14	152	33	23	23	35	43	67	47	99	63	41	27	84	91	18	30	163	36	27	38	21	27	44	105	10	71	25	62	44	130	114	32	22	61	18	42	113	22	82	149	48	47	82	45	72	59	106	117	95					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48590	1064	1184	1043	1180	914	1063	503	974	1104	516	497	481	520	851	1184	1293	1386	1357	1419	1290	576	732	1461	1446	1522	727	84	69	537	591	956	215	99	125	466	480	130	197	163	199	583	635	1198	1297	1087	1068	237	1334	1327	148	195	1388	657	234	123	146	180	158	55	70	212	145	205	176	105	98	256	98	773	1066	420	459	109	146	244	271	294	613	182					
9	Число недействительных избирательных бюллетеней	752	24	16	13	13	16	11	3	15	5	5	4	9	41	27	20	25	24	18	12	24	10	8	19	16	32	10	0	0	8	7	14	2	0	0	8	7	0	3	2	1	9	5	22	27	12	12	6	20	19	3	2	14	5	7	0	6	2	0	0	2	2	3	0	4	3	1	8	0	17	15	11	14	0	3	3	7	3	12	1					
10	Число действительных избирательных бюллетеней	52408	1139	1239	1085	1215	946	1096	521	1021	1129	548	544	513	566	931	1250	1342	1393	1378	1463	1296	612	764	1487	1470	1511	779	167	132	563	598	1094	246	122	148	493	516	197	241	260	261	615	657	1260	1361	1093	1086	394	1350	1335	183	214	1401	696	332	133	211	203	220	99	198	324	174	227	233	120	139	361	120	838	1200	457	492	191	188	313	323	397	718	276					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2589	56	65	70	65	55	55	28	55	55	30	32	42	26	50	55	65	45	65	35	65	35	35	35	65	35	68	17	5	25	25	50	11	4	6	22	52	15	10	10	10	30	35	65	65	55	55	15	65	55	8	8	91	48	12	4	15	12	7	3	8	13	21	9	13	6	6	17	5	42	55	38	29	10	10	17	23	20	40	10					
