Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Матвеево-Курганская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №2446	УИК №2447	УИК №2448	УИК №2486	УИК №2538					
1	"Число избирателей, внесенных в список"	35088	2500	2448	2527	2596	301	803	2022	1161	538	789	703	542	822	889	662	833	533	727	1045	871	714	1133	1228	1209	282	710	692	986	1287	263	1820	327	642	356	127					
2	Число полученных избирательных бюллетеней	35977	2576	2460	2577	2577	310	819	2075	1200	544	805	710	544	860	930	689	902	541	779	1057	932	766	1147	1273	1243	309	705	704	1015	1324	275	1828	337	661	371	132					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19630	1294	1323	1371	1420	166	473	1138	621	283	488	403	346	474	492	373	595	302	381	509	339	426	568	778	616	187	413	468	590	710	140	1051	224	354	230	84					
5	"Число избирательных бюллетеней, выданных вне помещения"	3061	130	90	139	148	69	24	196	112	113	53	111	14	80	104	42	62	50	55	103	255	87	164	59	165	30	140	42	85	181	42	23	20	20	40	13					
6	Число погашенных избирательных бюллетеней	13286	1152	1047	1067	1009	75	322	741	467	148	264	196	184	306	334	274	245	189	343	445	338	253	415	436	462	92	152	194	340	433	93	754	93	287	101	35					
7	Число избирательных бюллетеней в переносных ящиках	3061	130	90	139	148	69	24	196	112	113	53	111	14	80	104	42	62	50	55	103	255	87	164	59	165	30	140	42	85	181	42	23	20	20	40	13					
8	Число бюллетеней в стационарных ящиках для голосования	19606	1294	1323	1371	1420	166	473	1138	621	283	488	403	346	474	492	373	595	302	381	509	339	426	568	778	615	187	413	468	590	710	140	1028	224	354	230	84					
9	Число недействительных избирательных бюллетеней	206	18	12	10	9	1	5	22	10	3	6	1	5	4	3	1	2	4	1	8	2	3	12	7	15	1	1	3	8	6	2	8	3	8	2	0					
10	Число действительных избирательных бюллетеней	22461	1406	1401	1500	1559	234	492	1312	723	393	535	513	355	550	593	414	655	348	435	604	592	510	720	830	765	216	552	507	667	885	180	1043	241	366	268	97					
11	Число полученных открепительных  удостоверений	494	24	18	30	24	8	9	43	7	3	7	31	4	13	12	13	8	8	17	17	20	11	6	25	10	18	13	3	7	30	5	21	11	10	8	0					
12	Число выданных открепительных удостоверений	463	24	14	30	22	8	8	43	7	2	7	31	3	13	12	13	8	8	17	17	20	11	4	23	6	17	6	1	5	30	4	20	11	10	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	185	7	7	24	30	7	6	5	3	3	6	4	0	1	5	4	4	5	1	18	1	5	1	8	1	0	0	3	4	6	2	7	3	1	3	0					
