Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Спировская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9381	1255	715	1420	1457	539	191	258	324	443	250	219	372	286	285	352	635	380									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9190	1200	730	1400	1400	500	190	250	320	440	250	220	360	280	280	350	630	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3155	442	281	460	539	188	52	90	77	161	63	71	156	86	94	127	180	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	819	39	15	35	18	43	35	61	94	66	77	23	34	78	23	27	49	102									
6	Число погашенных избирательных бюллетеней	5216	719	434	905	843	269	103	99	149	213	110	126	170	116	163	196	401	200									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	819	39	15	35	18	43	35	61	94	66	77	23	34	78	23	27	49	102									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3154	441	281	460	539	188	52	90	77	161	63	71	156	86	94	127	180	88									
9	Число недействительных избирательных бюллетеней	68	16	6	12	19	5	2	1	1	1	1	0	0	3	0	0	1	0									
10	Число действительных избирательных бюллетеней	3905	464	290	483	538	226	85	150	170	226	139	94	190	161	117	154	228	190									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	158	15	10	15	10	15	5	5	5	10	10	3	5	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	8	10	9	4	3	2	2	5	6	10	1	0	3	4	3	4	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	98	8	0	16	13	17	1	2	3	9	2	2	1	4	4	1	10	5									
14	Число погашенных неиспользованных открепительных удостоверений	74	7	0	6	6	12	3	3	0	4	0	2	5	7	6	7	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	8	5	4	2	0	0	0	0	0	0	0	0	0	1	1	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	7	2	12	5	1	1	0	0	4	0	0	1	3	1	1	0	1									
		0.98%	1.46%	0.68%	2.42%	0.90%	0.43%	1.15%	0.00%	0.00%	1.76%	0.00%	0.00%	0.53%	1.83%	0.85%	0.65%	0.00%	0.53%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	91	10	8	13	12	6	4	2	3	3	5	1	2	1	2	4	11	4									
		2.29%	2.08%	2.70%	2.63%	2.15%	2.60%	4.60%	1.32%	1.75%	1.32%	3.57%	1.06%	1.05%	0.61%	1.71%	2.60%	4.80%	2.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	79	7	8	8	6	9	2	1	5	4	3	2	3	1	2	7	9	2									
		1.99%	1.46%	2.70%	1.62%	1.08%	3.90%	2.30%	0.66%	2.92%	1.76%	2.14%	2.13%	1.58%	0.61%	1.71%	4.55%	3.93%	1.05%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2030	188	139	221	249	114	49	107	117	158	81	39	126	110	76	66	87	103									
		51.09%	39.17%	46.96%	44.65%	44.70%	49.35%	56.32%	70.86%	68.42%	69.60%	57.86%	41.49%	66.32%	67.07%	64.96%	42.86%	37.99%	54.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	18	0	2	2	1	0	2	0	5	0	0	0	3	0	0	0	0	3									
		0.45%	0.00%	0.68%	0.40%	0.18%	0.00%	2.30%	0.00%	2.92%	0.00%	0.00%	0.00%	1.58%	0.00%	0.00%	0.00%	0.00%	1.58%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0									
		0.15%	0.21%	0.00%	0.00%	0.18%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.44%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	696	82	49	100	103	40	19	23	17	28	16	25	21	28	13	41	48	43									
		17.52%	17.08%	16.55%	20.20%	18.49%	17.32%	21.84%	15.23%	9.94%	12.33%	11.43%	26.60%	11.05%	17.07%	11.11%	26.62%	20.96%	22.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	2	5	4	7	1	0	4	3	0	0	0	0	0	0	1	1	1									
		0.73%	0.42%	1.69%	0.81%	1.26%	0.43%	0.00%	2.65%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.44%	0.53%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	28	6	2	4	11	2	0	0	0	0	0	0	0	0	0	0	2	1									
		0.70%	1.25%	0.68%	0.81%	1.97%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.53%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0									
		0.15%	0.21%	0.34%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.85%	0.65%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	6	1	9	7	3	0	0	1	0	2	0	1	1	3	3	2	0									
		0.98%	1.25%	0.34%	1.82%	1.26%	1.30%	0.00%	0.00%	0.58%	0.00%	1.43%	0.00%	0.53%	0.61%	2.56%	1.95%	0.87%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	519	90	49	75	80	32	5	5	15	9	20	18	24	7	11	17	40	22									
		13.06%	18.75%	16.55%	15.15%	14.36%	13.85%	5.75%	3.31%	8.77%	3.96%	14.29%	19.15%	12.63%	4.27%	9.40%	11.04%	17.47%	11.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	1	1	3	2	1	3	1	0	0	1	0	1	1	0	0	1	0									
		0.40%	0.21%	0.34%	0.61%	0.36%	0.43%	3.45%	0.66%	0.00%	0.00%	0.71%	0.00%	0.53%	0.61%	0.00%	0.00%	0.44%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	309	63	23	32	53	15	0	7	4	20	10	9	8	8	8	13	26	10									
		7.78%	13.13%	7.77%	6.46%	9.52%	6.49%	0.00%	4.64%	2.34%	8.81%	7.14%	9.57%	4.21%	4.88%	6.84%	8.44%	11.35%	5.26%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
