Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Реутовская городская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67173	1445	1608	1727	1758	1588	1552	1789	1724	1384	1754	1772	1541	1905	1450	1405	1547	1593	1563	1689	1384	1535	1562	1523	1508	1658	1625	1628	1653	1651	1515	1545	1624	1987	1405	1688	1784	2398	2204	1967	2535									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63700	1400	1500	1700	1700	1500	1500	1700	1700	1300	1700	1700	1500	1800	1300	1300	1400	1500	1500	1600	1300	1400	1500	1500	1500	1600	1500	1500	1600	1600	1400	1400	1500	1900	1300	1600	1700	2200	2100	1900	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34361	734	877	957	811	931	934	620	1031	702	1051	940	741	1241	941	873	926	778	796	779	537	859	932	999	686	851	1103	542	770	782	555	1002	951	780	688	1018	880	782	1200	941	840									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	969	11	16	8	0	34	21	6	19	19	28	10	2	9	6	56	86	14	5	10	116	6	137	97	72	9	12	2	4	10	12	2	2	20	29	2	5	1	62	6	3									
6	Число погашенных избирательных бюллетеней	28370	655	607	735	889	535	545	1074	650	579	621	750	757	550	353	371	388	708	699	811	647	535	431	404	742	740	385	956	826	808	833	396	547	1100	583	580	815	1417	838	953	1557									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	969	11	16	8	0	34	21	6	19	19	28	10	2	9	6	56	86	14	5	10	116	6	137	97	72	9	12	2	4	10	12	2	2	20	29	2	5	1	62	6	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34292	734	877	957	811	930	934	620	1031	702	1051	938	741	1241	941	873	926	778	795	779	537	859	932	999	686	851	1100	542	770	782	553	1002	951	780	630	1018	880	780	1200	941	840									
9	Число недействительных избирательных бюллетеней	280	7	18	0	1	16	3	16	32	12	4	0	8	13	6	8	6	6	6	3	5	6	0	7	0	2	9	4	0	13	9	0	13	4	15	0	0	0	22	0	6									
10	Число действительных избирательных бюллетеней	34981	738	875	965	810	948	952	610	1018	709	1075	948	735	1237	941	921	1006	786	794	786	648	859	1069	1089	758	858	1103	540	774	779	556	1004	940	796	644	1020	885	781	1240	947	837									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	880	20	25	20	20	20	20	20	20	20	20	25	20	20	20	20	20	20	25	20	20	20	25	20	20	25	20	20	20	20	20	25	25	30	25	20	25	25	25	20	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	695	10	19	18	19	15	18	12	14	15	20	18	16	12	13	17	14	15	22	14	20	14	25	20	20	20	9	17	15	15	6	18	20	26	23	19	24	20	22	10	31									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	589	5	8	35	13	4	3	8	8	15	14	9	11	9	11	9	13	6	6	16	10	10	0	0	1	4	4	10	2	19	1	14	28	94	69	22	30	23	1	20	24									
14	Число погашенных неиспользованных открепительных удостоверений	185	10	6	2	1	5	2	8	6	5	0	7	4	8	7	3	6	5	3	6	0	6	0	0	0	5	11	3	5	5	14	7	5	4	2	1	1	5	3	10	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	503	11	5	12	8	12	10	14	14	10	15	18	18	16	7	8	3	11	11	7	15	15	14	10	13	10	12	11	13	16	9	14	9	10	12	14	11	30	20	16	19									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	565	6	33	17	4	13	12	10	9	15	18	10	10	5	17	15	13	22	7	20	13	30	27	14	2	4	13	5	12	10	12	28	17	9	11	15	11	26	19	5	26									
		1.60%	0.81%	3.70%	1.76%	0.49%	1.35%	1.26%	1.60%	0.86%	2.08%	1.67%	1.05%	1.35%	0.40%	1.80%	1.61%	1.28%	2.78%	0.88%	2.53%	1.99%	3.47%	2.53%	1.28%	0.26%	0.47%	1.17%	0.92%	1.55%	1.26%	2.12%	2.79%	1.78%	1.13%	1.67%	1.47%	1.24%	3.33%	1.51%	0.53%	3.08%									
