Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Асекеевская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №1805					
1	"Число избирателей, внесенных в списки избирателей"	18399	2370	2056	432	313	254	588	495	224	1563	296	583	683	374	162	322	201	332	177	553	331	136	696	751	166	174	501	115	535	1681	549	639	147					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18565	2338	2060	415	315	260	590	500	220	1600	295	610	715	390	160	330	210	320	175	560	340	135	705	750	160	170	510	120	545	1740	560	617	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10782	1136	972	249	198	225	362	364	172	943	192	398	389	215	117	236	118	181	136	391	223	119	440	347	115	117	362	96	354	756	355	398	106					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1787	152	207	34	34	18	44	63	10	120	47	96	67	45	13	33	31	108	24	82	60	6	32	81	5	21	21	0	83	93	27	114	16					
6	Число погашенных избирательных бюллетеней	5996	1050	881	132	83	17	184	73	38	537	56	116	259	130	30	61	61	31	15	87	57	10	233	322	40	32	127	24	108	891	178	105	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1787	152	207	34	34	18	44	63	10	120	47	96	67	45	13	33	31	108	24	82	60	6	32	81	5	21	21	0	83	93	27	114	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10780	1136	972	249	198	225	362	364	172	943	192	398	389	215	117	236	118	181	136	391	223	119	440	347	115	117	362	96	354	754	355	398	106					
9	Число недействительных избирательных бюллетеней	80	11	0	0	1	0	5	2	2	7	3	6	0	0	0	2	1	0	0	3	0	0	3	9	1	0	4	3	5	7	3	2	0					
10	Число действительных избирательных бюллетеней	12487	1277	1179	283	231	243	401	425	180	1056	236	488	456	260	130	267	148	289	160	470	283	125	469	419	119	138	379	93	432	840	379	510	122					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	144	21	13	3	4	2	3	0	0	7	4	5	15	4	0	2	3	0	0	5	3	1	9	4	0	0	5	0	2	20	5	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	130	17	10	2	4	2	1	0	0	7	4	5	15	4	0	2	3	0	0	4	3	0	9	3	0	0	4	0	2	20	5	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	62	10	5	4	2	1	2	2	1	4	1	3	0	1	1	2	2	1	1	1	3	0	5	1	2	1	1	0	1	1	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	14	4	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	1.Политическая партия «Аграрная партия России»	615	78	55	7	18	9	25	39	5	22	8	18	31	19	3	16	13	7	6	20	0	0	25	29	6	6	26	3	34	26	19	30	12					
		4.89%	6.06%	4.66%	2.47%	7.76%	3.70%	6.16%	9.13%	2.75%	2.07%	3.35%	3.64%	6.80%	7.31%	2.31%	5.95%	8.72%	2.42%	3.75%	4.23%	0.00%	0.00%	5.30%	6.78%	5.00%	4.35%	6.79%	3.13%	7.78%	3.07%	4.97%	5.86%	9.84%					
19	2.Всероссийская политическая партия «Гражданская Сила»	37	8	4	1	2	0	1	0	1	2	0	0	1	0	0	2	1	0	1	0	3	0	0	0	0	0	1	0	1	1	0	7	0					
		0.29%	0.62%	0.34%	0.35%	0.86%	0.00%	0.25%	0.00%	0.55%	0.19%	0.00%	0.00%	0.22%	0.00%	0.00%	0.74%	0.67%	0.00%	0.63%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.23%	0.12%	0.00%	1.37%	0.00%					
20	3.Политическая партия «Демократическая партия России»	14	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0					
		0.11%	0.39%	0.25%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	1.45%	0.00%	0.00%	0.00%	0.12%	0.26%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1975	281	233	32	45	36	43	39	14	174	15	100	79	51	21	20	20	48	15	56	44	4	77	71	19	8	63	27	51	147	36	98	8					
		15.72%	21.82%	19.76%	11.31%	19.40%	14.81%	10.59%	9.13%	7.69%	16.37%	6.28%	20.24%	17.32%	19.62%	16.15%	7.43%	13.42%	16.61%	9.38%	11.84%	15.55%	3.20%	16.31%	16.59%	15.83%	5.80%	16.45%	28.13%	11.67%	17.36%	9.42%	19.14%	6.56%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	40	4	6	1	0	0	3	3	0	3	0	4	1	0	0	1	0	0	1	3	0	1	3	2	0	0	0	0	0	4	0	0	0					
		0.32%	0.31%	0.51%	0.35%	0.00%	0.00%	0.74%	0.70%	0.00%	0.28%	0.00%	0.81%	0.22%	0.00%	0.00%	0.37%	0.00%	0.00%	0.63%	0.63%	0.00%	0.80%	0.64%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	10	2	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0					
		0.08%	0.16%	0.08%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.23%	0.12%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	845	61	65	18	11	9	52	30	9	116	10	45	15	32	5	18	17	12	11	12	8	2	43	20	14	5	12	4	30	51	35	59	14					
		6.72%	4.74%	5.51%	6.36%	4.74%	3.70%	12.81%	7.03%	4.95%	10.91%	4.18%	9.11%	3.29%	12.31%	3.85%	6.69%	11.41%	4.15%	6.88%	2.54%	2.83%	1.60%	9.11%	4.67%	11.67%	3.62%	3.13%	4.17%	6.86%	6.02%	9.16%	11.52%	11.48%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	715	102	94	25	9	8	11	20	1	69	4	28	45	12	2	11	8	10	3	27	19	1	26	38	6	7	15	2	18	65	10	16	3					
