Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Березовская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №915	УИК №916					
1	"Число избирателей, внесенных в список избирателей"	29135	2152	1851	2114	1161	2856	1911	2010	1458	307	1235	495	284	949	225	1368	1004	398	1625	1046	1914	189	201	666	504	370	232	194	123	293					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28630	2130	1780	2080	1140	2830	1900	2010	1470	280	1210	490	280	930	220	1350	980	380	1620	1040	1880	170	180	650	490	350	220	180	110	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11148	875	685	930	313	1156	725	765	417	101	707	221	126	295	70	584	369	136	594	372	544	77	84	245	227	188	83	74	67	118					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	425	9	67	28	16	17	4	7	9	12	3	4	5	28	20	16	11	2	15	29	26	2	5	13	6	8	27	24	0	12					
6	Число погашенных избирательных бюллетеней	17057	1246	1028	1122	811	1657	1171	1238	1044	167	500	265	149	607	130	750	600	242	1011	639	1310	91	91	392	257	154	110	82	43	150					
7	Число избирательных бюллетеней в переносных ящиках для голосования	425	9	67	28	16	17	4	7	9	12	3	4	5	28	20	16	11	2	15	29	26	2	5	13	6	8	27	24	0	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11145	875	685	929	313	1154	725	765	417	101	707	221	126	295	70	584	369	136	594	372	544	77	84	245	227	188	83	74	67	118					
9	Число недействительных избирательных бюллетеней	255	23	10	20	6	32	17	17	17	4	13	5	3	7	2	13	10	5	20	8	5	1	1	3	1	4	0	3	0	5					
10	Число действительных избирательных бюллетеней	11315	861	742	937	323	1139	712	755	409	109	697	220	128	316	88	587	370	133	589	393	565	78	88	255	232	192	110	95	67	125					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	30	20	20	15	30	20	20	20	15	30	15	15	15	10	30	20	15	25	20	30	10	10	20	5	5	5	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	161	9	16	5	7	14	14	8	2	1	4	0	1	0	0	5	7	3	11	10	25	1	1	8	4	1	1	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	134	8	11	2	3	4	2	1	3	20	7	3	1	0	1	13	4	1	2	1	8	6	1	6	4	8	3	6	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	339	21	4	15	8	16	6	12	18	14	26	15	14	15	10	25	13	12	14	10	5	9	9	12	1	4	4	10	10	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	1	1	0	1	1	3	0	1	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1870	158	97	159	40	198	144	179	57	14	126	35	13	43	17	99	64	10	93	62	78	11	17	24	36	22	17	20	8	29					
		16.16%	17.87%	12.90%	16.61%	12.16%	16.91%	19.75%	23.19%	13.38%	12.39%	17.75%	15.56%	9.92%	13.31%	18.89%	16.50%	16.84%	7.25%	15.27%	15.46%	13.68%	13.92%	19.10%	9.30%	15.45%	11.22%	15.45%	20.41%	11.94%	22.31%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2548	198	148	205	77	255	155	157	92	27	116	53	31	78	18	105	72	33	191	97	167	16	29	52	58	47	12	15	11	33					
		22.02%	22.40%	19.68%	21.42%	23.40%	21.78%	21.26%	20.34%	21.60%	23.89%	16.34%	23.56%	23.66%	24.15%	20.00%	17.50%	18.95%	23.91%	31.36%	24.19%	29.30%	20.25%	32.58%	20.16%	24.89%	23.98%	10.91%	15.31%	16.42%	25.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	116	9	3	13	5	10	7	7	3	0	9	1	0	4	0	6	7	1	11	6	4	0	0	3	4	0	0	0	2	1					
		1.00%	1.02%	0.40%	1.36%	1.52%	0.85%	0.96%	0.91%	0.70%	0.00%	1.27%	0.44%	0.00%	1.24%	0.00%	1.00%	1.84%	0.72%	1.81%	1.50%	0.70%	0.00%	0.00%	1.16%	1.72%	0.00%	0.00%	0.00%	2.99%	0.77%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2560	196	220	228	84	249	160	167	109	28	137	40	30	74	14	125	79	34	115	94	130	16	20	70	47	32	22	16	8	16					
		22.13%	22.17%	29.26%	23.82%	25.53%	21.26%	21.95%	21.63%	25.59%	24.78%	19.30%	17.78%	22.90%	22.91%	15.56%	20.83%	20.79%	24.64%	18.88%	23.44%	22.81%	20.25%	22.47%	27.13%	20.17%	16.33%	20.00%	16.33%	11.94%	12.31%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	279	23	25	21	7	29	19	20	11	1	18	3	2	8	2	10	12	5	14	10	8	3	5	3	4	5	0	6	2	3					
		2.41%	2.60%	3.32%	2.19%	2.13%	2.48%	2.61%	2.59%	2.58%	0.88%	2.54%	1.33%	1.53%	2.48%	2.22%	1.67%	3.16%	3.62%	2.30%	2.49%	1.40%	3.80%	5.62%	1.16%	1.72%	2.55%	0.00%	6.12%	2.99%	2.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3871	270	241	309	106	390	217	224	136	38	287	82	52	109	36	241	135	50	164	122	174	31	17	102	81	84	59	35	36	43					
		33.46%	30.54%	32.05%	32.29%	32.22%	33.30%	29.77%	29.02%	31.92%	33.63%	40.42%	36.44%	39.69%	33.75%	40.00%	40.17%	35.53%	36.23%	26.93%	30.42%	30.53%	39.24%	19.10%	39.53%	34.76%	42.86%	53.64%	35.71%	53.73%	33.08%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	71	7	8	2	4	8	10	1	1	1	4	6	0	0	1	1	1	0	1	2	4	1	0	1	2	2	0	3	0	0					
