Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Ивановская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494					
1	"Число избирателей, внесенных в списки"	27682	645	1445	215	129	279	1929	643	953	151	479	249	175	204	218	686	1999	108	604	331	248	863	556	755	1650	1756	1782	1923	294	1431	483	1324	237	575	323	2040					
2	"Число бюллетеней, полученных участковыми комиссиями"	27640	640	1430	215	125	280	1900	680	950	190	500	250	190	200	220	700	2000	125	615	325	240	880	540	730	1700	1700	1770	1950	300	1350	510	1320	225	580	310	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11917	149	664	85	74	95	862	301	347	61	201	95	72	100	49	265	866	28	398	161	101	369	196	326	543	838	869	901	106	611	207	653	119	224	175	806					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1438	99	16	49	12	37	0	6	89	62	72	46	25	22	80	25	148	31	28	4	18	45	104	29	119	6	2	7	45	10	110	24	7	7	7	47					
6	Число погашенных бюллетеней	14285	392	750	81	39	148	1038	373	514	67	227	109	93	78	91	410	986	66	189	160	121	466	240	375	1038	856	899	1042	149	729	193	643	99	349	128	1147					
7	Число бюллетеней в переносных ящиках для голосования	1438	99	16	49	12	37	0	6	89	62	72	46	25	22	80	25	148	31	28	4	18	45	104	29	119	6	2	7	45	10	110	24	7	7	7	47					
8	Число бюллетеней в стационарных ящиках для голосования	11912	149	663	85	74	95	862	300	347	61	201	95	72	100	49	265	866	28	397	161	101	369	196	326	543	838	868	901	106	611	207	652	119	224	175	806					
9	Число недействительных бюллетеней	192	2	15	0	1	1	10	11	4	1	1	3	0	1	0	4	11	0	35	0	2	9	7	4	0	8	8	5	0	8	4	18	2	4	1	12					
10	Число действительных бюллетеней	13158	246	664	134	85	131	852	295	432	122	272	138	97	121	129	286	1003	59	390	165	117	405	293	351	662	836	862	903	151	613	313	658	124	227	181	841					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	270	7	12	5	3	5	14	7	8	3	5	3	3	3	3	7	15	3	6	4	3	9	6	7	15	15	15	15	6	15	6	12	3	7	5	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	114	0	12	0	0	2	9	2	3	1	1	2	1	0	0	3	10	0	0	3	0	9	4	5	8	7	3	6	1	7	3	5	0	1	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	1	2	1	1	3	1	1	2	0	5	1	0	2	3	1	3	1	2	1	1	4	2	10	1	7	2	4	2	2	1	1	15	3	5	7					
14	Число погашенных открепительных удостоверений	156	7	0	5	3	3	5	5	5	2	4	1	2	3	3	4	5	3	6	1	3	0	2	2	7	8	12	9	5	8	3	7	3	6	3	11					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	134	4	15	0	0	1	5	2	0	3	3	1	1	3	1	4	10	2	8	2	2	4	4	2	4	6	5	8	3	8	3	13	2	5	0	0					
		1.00%	1.61%	2.20%	0.0%	0.0%	0.75%	0.58%	0.65%	0.0%	2.43%	1.09%	0.70%	1.03%	2.45%	0.77%	1.37%	0.98%	3.38%	1.88%	1.21%	1.68%	0.96%	1.33%	0.56%	0.60%	0.71%	0.57%	0.88%	1.98%	1.28%	0.94%	1.92%	1.58%	2.16%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	636	4	26	6	3	3	46	3	53	1	6	5	1	1	1	32	48	1	2	2	2	11	19	16	32	39	42	56	19	15	26	33	16	8	4	54					
		4.76%	1.61%	3.82%	4.47%	3.48%	2.27%	5.33%	0.98%	12.15%	0.81%	2.19%	3.54%	1.03%	0.81%	0.77%	11.03%	4.73%	1.69%	0.47%	1.21%	1.68%	2.65%	6.33%	4.50%	4.83%	4.62%	4.82%	6.16%	12.58%	2.41%	8.20%	4.88%	12.69%	3.46%	2.19%	6.33%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	457	9	21	10	0	11	13	4	17	5	11	5	4	1	6	6	42	0	27	3	8	18	6	7	23	27	22	30	15	26	12	26	5	10	3	24					
		3.42%	3.62%	3.09%	7.46%	0.0%	8.33%	1.50%	1.30%	3.89%	4.06%	4.02%	3.54%	4.12%	0.81%	4.65%	2.06%	4.14%	0.0%	6.35%	1.81%	6.72%	4.34%	2.0%	1.97%	3.47%	3.19%	2.52%	3.30%	9.93%	4.18%	3.78%	3.84%	3.96%	4.32%	1.64%	2.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	888	8	21	3	1	2	274	125	26	2	7	4	0	1	7	24	27	0	11	10	2	8	5	23	39	46	56	42	4	31	7	22	3	1	3	43					
		6.65%	3.22%	3.09%	2.23%	1.16%	1.51%	31.78%	40.84%	5.96%	1.62%	2.56%	2.83%	0.0%	0.81%	5.42%	8.27%	2.66%	0.0%	2.58%	6.06%	1.68%	1.93%	1.66%	6.47%	5.89%	5.45%	6.43%	4.62%	2.64%	4.99%	2.20%	3.25%	2.38%	0.43%	1.64%	5.04%					
22	"5. ""За Русь Святую"""	49	1	5	0	0	1	3	2	4	0	1	0	0	1	0	2	7	0	2	1	0	4	0	0	3	3	2	2	0	1	0	2	0	0	0	2					
		0.36%	0.40%	0.73%	0.0%	0.0%	0.75%	0.34%	0.65%	0.91%	0.0%	0.36%	0.0%	0.0%	0.81%	0.0%	0.68%	0.69%	0.0%	0.47%	0.60%	0.0%	0.96%	0.0%	0.0%	0.45%	0.35%	0.22%	0.22%	0.0%	0.16%	0.0%	0.29%	0.0%	0.0%	0.0%	0.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	47	0	6	2	0	0	1	1	2	0	1	0	1	0	1	0	2	0	5	0	0	1	0	0	1	2	3	4	0	10	2	0	1	0	0	1					
		0.35%	0.0%	0.88%	1.49%	0.0%	0.0%	0.11%	0.32%	0.45%	0.0%	0.36%	0.0%	1.03%	0.0%	0.77%	0.0%	0.19%	0.0%	1.17%	0.0%	0.0%	0.24%	0.0%	0.0%	0.15%	0.23%	0.34%	0.44%	0.0%	1.61%	0.63%	0.0%	0.79%	0.0%	0.0%	0.11%					
24	"7. ""Новый курс - Автомобильная Россия"""	83	1	9	0	0	0	9	0	1	0	3	1	0	0	0	4	5	0	2	3	0	5	1	3	5	6	8	4	3	0	0	1	0	1	2	6					
		0.62%	0.40%	1.32%	0.0%	0.0%	0.0%	1.04%	0.0%	0.22%	0.0%	1.09%	0.70%	0.0%	0.0%	0.0%	1.37%	0.49%	0.0%	0.47%	1.81%	0.0%	1.20%	0.33%	0.84%	0.75%	0.71%	0.91%	0.44%	1.98%	0.0%	0.0%	0.14%	0.0%	0.43%	1.09%	0.70%					
25	"8. ""Народно-республиканская партия России"""	16	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	6	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0					
		0.11%	0.0%	0.29%	0.0%	0.0%	0.0%	0.11%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.23%	0.0%	0.84%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	0	1	0	0	1	1	0	1	1	1	1	0	0	2	3	3	0	2	1	0	0	0	2	0	4	3	1	0	1	0	4	0	0	0	3					
		0.26%	0.0%	0.14%	0.0%	0.0%	0.75%	0.11%	0.0%	0.22%	0.81%	0.36%	0.70%	0.0%	0.0%	1.55%	1.03%	0.29%	0.0%	0.47%	0.60%	0.0%	0.0%	0.0%	0.56%	0.0%	0.47%	0.34%	0.11%	0.0%	0.16%	0.0%	0.59%	0.0%	0.0%	0.0%	0.35%					
