Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Темрюкская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917	УИК №4918	УИК №4919	УИК №4920	УИК №4921	УИК №4922	УИК №4923	УИК №4924	УИК №4925	УИК №4926	УИК №4927	УИК №4928	УИК №4929	УИК №4930	УИК №4931	УИК №4932	УИК №4933	УИК №4934	УИК №4935	УИК №4936	УИК №4937	УИК №4938	УИК №4939	УИК №4940	УИК №4941	УИК №4942	УИК №4943	УИК №4944	УИК №4945	УИК №4946	УИК №4947	УИК №4948	УИК №4949	УИК №4950	УИК №4951	УИК №4952	УИК №4953	УИК №4954					
1	"Число избирателей, внесенных в списки"	86328	1202	540	1976	1067	1313	2613	2637	2248	2242	2713	927	1575	1587	1378	1384	1517	1518	835	2244	1527	1706	1355	1024	2045	1015	2335	2183	1700	1289	1354	2368	1363	2124	2205	1781	1684	1138	2025	1142	884	1588	1114	2010	1799	975	207	671	2559	2418	2086	841	1533	1147	1617					
2	"Число бюллетеней, полученных участковыми комиссиями"	89217	1206	518	2259	2196	1397	2632	2825	2448	2442	2664	1539	1498	1618	1315	1331	1523	1465	869	2191	1594	1737	1429	1024	1958	1061	2429	2191	1594	1286	1402	2432	1429	2184	2240	1683	1784	1080	1854	1237	922	1687	1131	1993	1886	1012	219	618	2459	2361	2130	853	1491	1234	1657					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	45203	509	286	980	1018	580	1274	1215	1142	1128	1390	814	771	748	731	775	861	609	541	1279	930	949	693	531	1095	529	1296	1147	831	877	625	1180	750	1146	1116	881	884	633	1145	681	556	1014	533	1140	737	401	124	496	1009	876	969	452	858	651	817					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2745	104	72	41	49	53	92	63	67	126	21	73	62	69	14	42	76	108	19	18	22	30	45	41	70	22	55	36	55	39	58	56	12	22	25	33	27	69	147	29	17	34	83	24	194	77	0	19	37	62	25	9	39	5	58					
6	Число погашенных бюллетеней	41269	593	160	1238	1129	764	1266	1547	1239	1188	1253	652	665	801	570	514	586	748	309	894	642	758	691	452	793	510	1078	1008	708	370	719	1196	667	1016	1099	769	873	378	562	527	349	639	515	829	955	534	95	103	1413	1423	1136	392	594	578	782					
7	Число бюллетеней в переносных ящиках для голосования	2745	104	72	41	49	53	92	63	67	126	21	73	62	69	14	42	76	108	19	18	22	30	45	41	70	22	55	36	55	39	58	56	12	22	25	33	27	69	147	29	17	34	83	24	194	77	0	19	37	62	25	9	39	5	58					
8	Число бюллетеней в стационарных ящиках для голосования	45175	509	286	974	1018	580	1271	1215	1142	1128	1390	814	771	748	731	775	861	609	541	1279	929	949	693	531	1086	529	1296	1147	831	875	625	1179	750	1146	1116	881	884	633	1145	681	556	1014	533	1140	737	401	124	496	1003	876	969	452	858	651	817					
9	Число недействительных бюллетеней	624	3	5	7	7	9	18	16	15	15	0	0	18	5	7	3	7	10	6	9	12	14	17	8	13	5	31	23	16	9	11	17	6	19	8	11	16	11	27	6	7	28	11	22	21	7	2	2	20	15	14	9	11	15	0					
10	Число действительных бюллетеней	47296	610	353	1008	1060	624	1345	1262	1194	1239	1411	887	815	812	738	814	930	707	554	1288	939	965	721	564	1143	546	1320	1160	870	905	672	1218	756	1149	1133	903	895	691	1265	704	566	1020	605	1142	910	471	122	513	1020	923	980	452	886	641	875					
