Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Андроповская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23546	1137	2099	857	2888	2332	655	1555	268	431	763	859	287	1030	328	532	1013	435	271	1245	955	1331	1044	1231									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21840	1100	1850	800	2650	2050	600	1550	200	400	700	670	230	1000	300	500	1000	400	250	1240	950	1300	950	1150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8464	362	770	241	941	794	229	458	72	157	334	344	81	439	103	239	339	182	106	536	348	630	392	367									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1250	59	26	33	47	62	23	97	41	37	33	48	14	62	14	7	33	11	10	77	170	38	118	190									
6	Число погашенных избирательных бюллетеней	12126	679	1054	526	1662	1194	348	995	87	206	333	278	135	499	183	254	628	207	134	627	432	632	440	593									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1250	59	26	33	47	62	23	97	41	37	33	48	14	62	14	7	33	11	10	77	170	38	118	190									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8461	362	767	241	941	794	229	458	72	157	334	344	81	439	103	239	339	182	106	536	348	630	392	367									
9	Число недействительных избирательных бюллетеней	322	18	35	8	59	39	18	5	0	19	35	6	4	4	6	5	10	4	1	7	6	28	3	2									
10	Число действительных избирательных бюллетеней	9389	403	758	266	929	817	234	550	113	175	332	386	91	497	111	241	362	189	115	606	512	640	507	555									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	164	7	27	9	13	8	5	17	3	2	10	6	2	11	2	3	5	2	2	5	7	11	4	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	61	1	10	1	5	5	0	3	1	1	8	5	0	4	1	3	5	2	0	0	3	2	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	116	0	46	1	1	47	0	4	0	1	1	1	0	4	0	0	0	0	2	2	3	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	103	6	17	8	8	3	5	14	2	1	2	1	2	7	1	0	0	0	2	5	4	9	4	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	2	1	0	3	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	85	3	6	6	9	12	1	4	0	2	1	2	1	7	1	2	3	5	0	3	1	6	6	4									
		0.88%	0.71%	0.76%	2.19%	0.91%	1.40%	0.40%	0.72%	0.00%	1.03%	0.27%	0.51%	1.05%	1.40%	0.85%	0.81%	0.81%	2.59%	0.00%	0.49%	0.19%	0.90%	1.18%	0.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	409	40	39	20	33	46	13	35	7	9	24	19	1	8	7	9	25	15	2	12	7	18	14	6									
		4.21%	9.50%	4.92%	7.30%	3.34%	5.37%	5.16%	6.31%	6.19%	4.64%	6.54%	4.85%	1.05%	1.60%	5.98%	3.66%	6.72%	7.77%	1.72%	1.96%	1.35%	2.69%	2.75%	1.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	141	8	13	10	18	11	8	4	2	1	10	4	0	1	0	2	11	4	2	8	6	5	9	4									
		1.45%	1.90%	1.64%	3.65%	1.82%	1.29%	3.17%	0.72%	1.77%	0.52%	2.72%	1.02%	0.00%	0.20%	0.00%	0.81%	2.96%	2.07%	1.72%	1.31%	1.16%	0.75%	1.76%	0.72%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5376	192	370	119	419	390	87	274	60	98	184	271	59	386	82	123	184	99	84	466	349	368	322	390									
		55.36%	45.61%	46.66%	43.43%	42.41%	45.56%	34.52%	49.37%	53.10%	50.52%	50.14%	69.13%	62.11%	77.05%	70.09%	50.00%	49.46%	51.30%	72.41%	76.02%	67.37%	55.09%	63.14%	70.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	38	1	9	0	7	3	0	1	1	0	5	0	0	0	0	0	2	0	0	2	2	1	1	3									
		0.39%	0.24%	1.13%	0.00%	0.71%	0.35%	0.00%	0.18%	0.88%	0.00%	1.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.33%	0.39%	0.15%	0.20%	0.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	5	2	0	2	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	1	2	0	0									
		0.19%	1.19%	0.25%	0.00%	0.20%	0.12%	0.00%	0.00%	0.00%	0.00%	0.82%	0.26%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.30%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1449	63	144	55	180	161	51	99	23	21	36	35	10	30	5	55	44	26	9	53	64	148	73	64									
		14.92%	14.96%	18.16%	20.07%	18.22%	18.81%	20.24%	17.84%	20.35%	10.82%	9.81%	8.93%	10.53%	5.99%	4.27%	22.36%	11.83%	13.47%	7.76%	8.65%	12.36%	22.16%	14.31%	11.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	42	0	1	4	6	12	2	3	0	0	1	0	0	0	0	1	1	2	0	3	3	2	1	0									
		0.43%	0.00%	0.13%	1.46%	0.61%	1.40%	0.79%	0.54%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.41%	0.27%	1.04%	0.00%	0.49%	0.58%	0.30%	0.20%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	2	14	1	5	2	1	1	2	2	4	1	0	0	0	1	2	1	0	4	0	0	1	0									
		0.45%	0.48%	1.77%	0.36%	0.51%	0.23%	0.40%	0.18%	1.77%	1.03%	1.09%	0.26%	0.00%	0.00%	0.00%	0.41%	0.54%	0.52%	0.00%	0.65%	0.00%	0.00%	0.20%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	0	0	2	0	0	2	0	1	2	1	0	0	0	2	0	0	0	1	0	1	1	0									
		0.13%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.36%	0.00%	0.52%	0.54%	0.26%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	0.16%	0.00%	0.15%	0.20%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	49	6	7	1	9	8	0	0	0	1	2	0	2	2	1	0	1	0	0	4	0	3	1	1									
		0.50%	1.43%	0.88%	0.36%	0.91%	0.93%	0.00%	0.00%	0.00%	0.52%	0.54%	0.00%	2.11%	0.40%	0.85%	0.00%	0.27%	0.00%	0.00%	0.65%	0.00%	0.45%	0.20%	0.18%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1459	70	129	43	204	145	57	99	13	35	53	48	14	62	14	39	78	29	16	41	72	69	62	67									
