Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																														
Дата голосования: 04.12.2011																																														
																																														
Наименование Избирательной комиссии:    Судогодская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625					
1	"Число избирателей, внесенных в список избирателей"	32465	1766	1811	1696	2109	1705	1573	1124	1805	634	815	488	206	581	285	213	1259	689	581	314	1026	1124	332	451	442	158	988	758	1537	1032	415	390	280	87	1357	1163	150	98	795	228					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28860	1500	1500	1500	1700	1500	1500	1000	1500	600	700	400	200	500	250	200	1000	700	500	300	1000	1000	300	400	400	150	900	700	1500	1000	400	400	250	80	1200	1000	150	80	700	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11739	638	623	583	799	721	528	317	594	216	314	159	51	191	127	63	606	266	148	95	407	453	70	188	161	41	337	263	500	458	131	191	92	37	526	378	55	25	316	71					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1907	61	90	48	28	23	40	88	69	67	22	26	49	24	22	20	47	79	62	22	35	60	64	34	39	43	76	78	128	49	41	23	20	27	45	88	18	35	61	56					
6	Число погашенных избирательных бюллетеней	15214	801	787	869	873	756	932	595	837	317	364	215	100	285	101	117	347	355	290	183	558	487	166	178	200	66	487	359	872	493	228	186	138	16	629	534	77	20	323	73					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1907	61	90	48	28	23	40	88	69	67	22	26	49	24	22	20	47	79	62	22	35	60	64	34	39	43	76	78	128	49	41	23	20	27	45	88	18	35	61	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11739	638	623	583	799	721	528	317	594	216	314	159	51	191	127	63	606	266	148	95	407	453	70	188	161	41	337	263	500	458	131	191	92	37	526	378	55	25	316	71					
9	Число недействительных избирательных бюллетеней	249	12	13	10	7	9	8	3	17	5	10	3	5	3	3	4	47	14	3	2	5	7	0	8	0	0	13	0	6	6	1	2	0	0	9	2	0	0	11	1					
10	Число действительных избирательных бюллетеней	13397	687	700	621	820	735	560	402	646	278	326	182	95	212	146	79	606	331	207	115	437	506	134	214	200	84	400	341	622	501	171	212	112	64	562	464	73	60	366	126					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	256	21	25	16	21	22	15	10	10	2	1	2	1	4	1	1	14	8	2	2	3	8	2	4	4	1	10	3	7	8	3	1	1	3	10	4	1	1	3	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	256	21	25	16	21	22	15	10	10	2	1	2	1	4	1	1	14	8	2	2	3	8	2	4	4	1	10	3	7	8	3	1	1	3	10	4	1	1	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	206	16	13	13	21	11	5	1	4	1	2	2	2	8	3	2	5	3	2	3	8	6	3	4	3	7	7	5	5	5	2	3	2	4	5	6	3	5	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	10	4	5	7	14	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	4	5	0	0	5	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3101	155	138	155	186	200	139	80	192	59	62	39	19	60	27	12	179	66	55	36	121	143	29	59	49	17	84	82	130	85	24	29	16	6	154	107	6	14	77	10					
		22.72%	22.17%	19.35%	24.56%	22.49%	26.88%	24.47%	19.75%	28.96%	20.85%	18.45%	21.08%	19.00%	27.91%	18.12%	14.46%	27.41%	19.13%	26.19%	30.77%	27.38%	27.88%	21.64%	26.58%	24.50%	20.24%	20.34%	24.05%	20.70%	16.77%	13.95%	13.55%	14.29%	9.38%	26.97%	22.96%	8.22%	23.33%	20.42%	7.87%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2124	109	114	80	112	93	104	62	99	60	69	30	14	28	26	20	110	65	22	22	69	72	28	38	39	8	72	39	107	87	15	18	29	8	90	69	18	6	45	28					
