Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
"Наименование Избирательной комиссии:    Чебоксары, Ленинская"																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900					
1	"Число избирателей, внесенных в списки"	96521	1838	1512	1249	2264	2326	2798	1685	2091	2786	1757	2597	2175	1574	2305	2687	2038	2770	2021	2610	2060	2442	1508	2763	2784	2813	2663	2814	1633	2511	2053	2678	2640	2843	2673	2751	2626	1795	2058	1934	2004	2695	2156	193	152	109	87					
2	"Число бюллетеней, полученных участковыми комиссиями"	91400	1800	1500	1200	2100	2100	2700	1500	2000	2700	1700	2400	2100	1500	2200	2600	2000	2700	2300	2500	2000	2300	1400	2600	2600	2600	2500	2600	1500	2400	1900	2500	2500	2700	2500	2500	2400	1700	1900	1800	1900	2500	1900	220	170	120	90					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	52216	924	881	874	1319	1347	1660	969	1105	1573	875	1311	1145	903	1212	1489	1120	1474	1319	1477	1073	1374	865	1507	1411	1535	1438	1490	924	1344	1236	1484	1421	1473	1512	1389	1272	811	894	937	926	1370	1041	179	140	107	86					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	830	25	24	16	80	26	17	34	34	40	21	29	23	17	0	4	24	10	16	14	24	17	8	24	26	4	24	23	9	5	9	17	17	15	7	9	31	19	35	12	10	3	2	14	12	0	0					
6	Число погашенных бюллетеней	38354	851	595	310	701	727	1023	497	861	1087	804	1060	932	580	988	1107	856	1216	965	1009	903	909	527	1069	1163	1061	1038	1087	567	1051	655	999	1062	1212	981	1102	1097	870	971	851	964	1127	857	27	18	13	4					
7	Число бюллетеней в переносных ящиках для голосования	830	25	24	16	80	26	17	34	34	40	21	29	23	17	0	4	24	10	16	14	24	17	8	24	26	4	24	23	9	5	9	17	17	15	7	9	31	19	35	12	10	3	2	14	12	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	52207	924	881	871	1319	1347	1660	969	1105	1573	875	1309	1145	903	1212	1489	1119	1472	1319	1477	1073	1374	865	1507	1411	1535	1440	1489	924	1344	1236	1483	1420	1473	1512	1389	1272	811	894	937	926	1370	1041	179	140	107	86					
9	Число недействительных бюллетеней	1019	16	5	14	22	20	15	7	24	27	11	29	29	9	17	18	31	36	35	28	22	18	23	26	16	45	34	22	17	28	17	23	34	15	40	28	26	39	27	21	29	41	25	1	8	0	1					
10	Число действительных бюллетеней	52018	933	900	873	1377	1353	1662	996	1115	1586	885	1309	1139	911	1195	1475	1112	1446	1300	1463	1075	1373	850	1505	1421	1494	1430	1490	916	1321	1228	1477	1403	1473	1479	1370	1277	791	902	928	907	1332	1018	192	144	107	85					
