Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Район Косино-Ухтомский													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048					
1	"Число избирателей, внесенных в списки"	11501	2278	2038	2135	1790	2096	1164					
2	"Число бюллетеней, полученных участковыми комиссиями"	11000	2200	2000	2100	1700	1900	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6079	1251	1186	1119	918	1031	574					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	170	26	20	23	32	56	13					
6	Число погашенных бюллетеней	4751	923	794	958	750	813	513					
7	Число бюллетеней в переносных ящиках для голосования	170	26	20	23	32	56	13					
8	Число бюллетеней в стационарных ящиках для голосования	6036	1224	1180	1117	913	1028	574					
9	Число недействительных бюллетеней	104	23	28	18	6	11	18					
10	Число действительных бюллетеней	6102	1227	1172	1122	939	1073	569					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	330	0	70	70	70	60	60					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	77	0	22	16	14	18	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	6	8	28	20	14	10					
14	Число погашенных открепительных удостоверений	253	0	48	54	56	42	53					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	50	10	6	9	11	4	10					
		0.80%	0.8%	0.5%	0.78%	1.16%	0.36%	1.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	292	66	34	44	45	85	18					
		4.70%	5.28%	2.83%	3.85%	4.76%	7.84%	3.06%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	120	28	21	15	22	20	14					
		1.93%	2.24%	1.75%	1.31%	2.32%	1.84%	2.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	465	100	80	79	72	108	26					
		7.49%	8.0%	6.66%	6.92%	7.61%	9.96%	4.42%					
22	"5. ""За Русь Святую"""	33	7	3	9	3	6	5					
		0.53%	0.56%	0.25%	0.78%	0.31%	0.55%	0.85%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	4	1	0	1	1	0					
		0.11%	0.32%	0.08%	0.0%	0.10%	0.09%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	89	14	18	10	15	19	13					
		1.43%	1.12%	1.5%	0.87%	1.58%	1.75%	2.21%					
25	"8. ""Народно-республиканская партия России"""	3	0	0	0	0	1	2					
		0.04%	0.0%	0.0%	0.0%	0.0%	0.09%	0.34%					
26	"9. ""Российская экологическая партия ""Зеленые"""	26	9	5	3	3	3	3					
		0.41%	0.72%	0.41%	0.26%	0.31%	0.27%	0.51%					
27	"10. ""Аграрная партия России"""	154	25	26	36	35	24	8					
		2.48%	2.0%	2.16%	3.15%	3.70%	2.21%	1.36%					
28	"11. ""Истинные патриоты России"""	6	1	0	0	3	2	0					
		0.09%	0.08%	0.0%	0.0%	0.31%	0.18%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	64	9	11	13	11	8	12					
		1.03%	0.72%	0.91%	1.14%	1.16%	0.73%	2.04%					
30	"13. ""Демократическая партия России"""	9	2	1	2	2	1	1					
		0.14%	0.16%	0.08%	0.17%	0.21%	0.09%	0.17%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	2	3	5	0	4	0					
		0.22%	0.16%	0.25%	0.43%	0.0%	0.36%	0.0%					
32	"15. ""Партия СЛОН"""	5	0	0	1	1	2	1					
		0.08%	0.0%	0.0%	0.08%	0.10%	0.18%	0.17%					
33	"16. ""Родина"" (народно-патриотический союз)"""	985	215	207	156	159	162	86					
		15.87%	17.2%	17.25%	13.68%	16.82%	14.94%	14.65%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	5	0	1	0	1	2	1					
		0.08%	0.0%	0.08%	0.0%	0.10%	0.18%	0.17%					
35	"18. ""ЛДПР"""	403	71	86	77	50	71	48					
		6.49%	5.68%	7.16%	6.75%	5.29%	6.54%	8.17%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	48	7	7	8	7	13	6					
		0.77%	0.56%	0.58%	0.70%	0.74%	1.19%	1.02%					
37	"20. ""Политическая партия ""Единая Россия"""	2319	437	485	476	329	364	228					
		37.36%	34.96%	40.41%	41.75%	34.81%	33.57%	38.84%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	3	2	2	1	1	1					
		0.16%	0.24%	0.16%	0.17%	0.10%	0.09%	0.17%					
39	"22. ""Развитие предпринимательства"""	5	0	1	2	0	2	0					
		0.08%	0.0%	0.08%	0.17%	0.0%	0.18%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	589	122	105	99	117	98	48					
		9.49%	9.76%	8.75%	8.68%	12.38%	9.04%	8.17%					
													
41	Против всех	401	95	69	76	51	72	38					
		6.46%	7.6%	5.75%	6.66%	5.39%	6.64%	6.47%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
