Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																												
Дата голосования: 04.12.2011																																																																																																																												
																																																																																																																												
Наименование Избирательной комиссии:    Ногинская																																																																																																																												
																																																																																																																												
Сводная таблица результатов выборов																																																																																																																												
																																																																																																																												
		Сумма	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825					
1	"Число избирателей, внесенных в список избирателей"	175035	2368	1738	1662	2259	2145	1795	2581	2273	1352	1683	1893	1354	2349	1706	1909	1243	1338	90	1894	1526	1376	1546	2067	2465	1450	1069	1167	2161	1095	983	1628	2181	1788	2103	762	2162	2341	1679	1352	1430	1558	1956	2028	370	1249	1601	1898	1147	1847	1321	1507	1380	1335	1558	507	1120	246	748	2163	781	739	477	487	419	469	1976	2155	2243	1718	691	1824	2365	279	258	819	1495	512	762	2562	1222	2226	2314	2434	2678	2019	1292	1347	611	1324	2769	2873	2786	2668	2694	1417	1401	2288	3149	514	1062	296	231	676	327	1954	1585	712	1822	879	366	949	450	186	381	2221	2027	2352					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	168785	2300	1800	1600	2200	2100	1800	2600	2200	1300	1600	1800	1300	2300	1700	1900	1100	1300	120	1900	1500	1300	1500	1700	2200	1400	1000	1100	2100	1000	950	1600	2100	1700	2100	700	2100	2300	1600	1300	1400	1500	1900	2000	350	1200	1600	1900	1100	1800	1300	1400	1300	1300	1500	400	1100	265	700	2100	750	700	450	450	400	450	2000	2100	2200	1600	650	1800	2300	250	200	800	1400	450	750	2600	1200	2200	2300	2400	2600	2000	1200	1300	600	1300	2600	2700	2700	2500	2500	1300	1200	2900	2800	500	1000	250	200	650	300	1700	1600	700	1800	850	350	900	400	150	350	2300	2000	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	72799	874	754	606	860	872	687	1153	1020	578	594	720	528	835	526	760	329	408	82	670	542	495	480	1168	1129	705	294	477	817	398	349	616	918	661	796	323	950	817	734	633	653	621	881	964	4	516	636	701	390	783	594	693	470	520	562	223	466	246	280	806	322	236	213	271	197	208	858	835	899	652	399	790	816	111	101	319	594	193	293	1207	425	887	1309	1129	1163	882	797	532	238	639	1058	1063	1096	1248	1128	475	468	1299	1434	243	560	177	181	336	183	1161	610	263	733	279	132	340	155	57	86	1077	964	1311					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3090	7	13	3	13	13	16	15	20	9	27	18	12	11	13	13	226	10	0	15	28	15	18	27	17	13	22	31	29	25	39	15	11	18	17	39	44	20	28	23	27	16	21	31	320	13	23	41	10	17	22	5	8	21	32	6	32	0	35	31	21	32	46	35	21	15	10	23	12	12	16	12	30	14	23	4	7	12	13	15	15	22	19	10	55	19	30	33	44	6	14	21	13	29	47	39	9	22	5	61	18	12	8	64	24	28	43	19	8	20	73	16	50	46	53	11	12	55					
6	Число погашенных избирательных бюллетеней	92894	1419	1033	991	1327	1215	1097	1432	1160	713	979	1062	760	1454	1161	1127	545	882	38	1215	930	790	1002	505	1054	682	684	592	1254	577	562	969	1171	1021	1287	338	1106	1463	838	644	720	863	998	1005	26	671	941	1158	699	1000	684	702	822	759	906	171	602	19	385	1263	407	432	191	144	182	227	1132	1242	1289	936	235	998	1454	125	76	477	799	245	444	1378	760	1291	972	1261	1382	1099	373	735	318	655	1528	1616	1591	1223	1325	786	723	1579	1361	196	422	61	10	250	93	511	947	418	1059	551	145	544	195	47	211	1212	1024	534					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3090	7	13	3	13	13	16	15	20	9	27	18	12	11	13	13	226	10	0	15	28	15	18	27	17	13	22	31	29	25	39	15	11	18	17	39	44	20	28	23	27	16	21	31	320	13	23	41	10	17	22	5	8	21	32	6	32	0	35	31	21	32	46	35	21	15	10	23	12	12	16	12	30	14	23	4	7	12	13	15	15	22	19	10	55	19	30	33	44	6	14	21	13	29	47	39	9	22	5	61	18	12	8	64	24	28	43	19	8	20	73	16	50	46	53	11	12	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	72479	874	754	606	860	872	687	1153	1020	578	594	720	528	833	526	760	329	408	82	670	542	495	480	1168	1127	691	294	477	817	398	349	616	914	661	796	323	950	817	734	610	653	621	878	961	4	516	636	698	390	783	594	693	470	518	558	222	466	246	280	806	322	236	213	271	197	200	858	835	896	652	399	790	816	111	101	319	594	192	293	1206	425	887	1084	1119	1163	882	794	532	238	639	1058	1061	1096	1248	1128	475	468	1299	1434	242	560	177	181	336	183	1159	610	263	733	279	132	340	155	57	86	1075	963	1311					
9	Число недействительных избирательных бюллетеней	3250	40	42	27	25	20	30	33	35	24	17	16	14	28	24	28	25	23	12	25	29	19	16	32	23	25	6	13	26	14	8	13	44	18	38	11	34	15	24	14	36	21	23	29	5	13	16	15	13	140	24	23	21	11	26	4	15	19	16	27	9	7	10	6	9	6	31	20	4	19	20	60	20	9	6	16	15	6	11	251	16	41	24	46	11	23	27	14	12	23	88	125	88	119	137	29	9	83	92	12	24	18	6	15	2	28	20	9	16	9	3	18	5	3	1	22	16	74					
10	Число действительных избирательных бюллетеней	72319	841	725	582	848	865	673	1135	1005	563	604	722	526	816	515	745	530	395	70	660	541	491	482	1163	1121	679	310	495	820	409	380	618	881	661	775	351	960	822	738	619	644	616	876	963	319	516	643	724	387	660	592	675	457	528	564	224	483	227	299	810	334	261	249	300	209	209	837	838	904	645	395	742	826	116	118	307	586	198	295	970	424	868	1079	1083	1207	878	797	551	270	622	984	957	1021	1158	1038	485	468	1238	1347	291	554	171	183	385	205	1159	633	273	725	290	202	338	200	100	138	1064	959	1292					
