Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																
Дата голосования: 04.12.2011																																																																																
																																																																																
Наименование Избирательной комиссии:    Химкинская городская																																																																																
																																																																																
Сводная таблица результатов выборов																																																																																
																																																																																
		Сумма	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062					
1	"Число избирателей, внесенных в список избирателей"	155212	2825	2603	2050	2577	2894	2745	2351	2339	2269	2165	2505	2781	2187	1033	2443	2087	1658	3047	3113	3024	3135	2692	1750	2574	2584	2459	2365	1455	2011	2735	2274	2477	3673	2121	2416	2758	2519	2417	2798	2782	1795	2488	2114	2930	1960	2441	1781	2400	2457	2341	1461	762	1627	2956	2731	2014	426	2668	594	1452	2467	485	1746	1914	2022	2505	1868	735	1421	484	777	145	554					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112540	1920	1750	1440	1790	1890	1750	1640	1590	1610	1520	1530	1870	1760	970	1650	1840	1160	1820	1900	1850	1840	1860	1740	2270	2250	2230	2150	1310	1910	1810	2080	1920	2100	1460	1540	2330	1710	1640	1960	1950	1260	1620	1410	1910	1380	1690	1230	1670	1730	1640	1110	920	1460	1950	1770	1400	550	1700	390	880	1700	600	1490	1370	1540	1740	1610	450	900	310	550	400	900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	90369	1367	1412	1123	1299	1530	1376	1269	1090	1342	1190	1508	1249	1596	808	1097	1695	1102	1432	1297	1635	1526	1647	1621	1841	1732	1640	1565	1008	1491	1617	1514	1598	1930	1251	1478	1750	1284	1123	1649	1676	1151	1486	1286	1263	712	1287	1202	1366	1279	1444	899	359	1207	1451	1024	869	391	1251	324	796	1690	481	1481	1298	1441	1488	1480	384	806	263	453	145	554					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2376	19	27	21	17	11	15	12	12	29	10	22	30	18	4	40	22	10	234	304	18	16	14	5	11	13	25	10	11	19	16	27	187	9	14	21	40	31	31	13	11	9	7	6	3	4	14	4	34	24	30	19	374	3	17	90	16	35	8	16	8	10	4	9	14	14	4	85	34	20	16	46	0	0					
6	Число погашенных избирательных бюллетеней	19728	534	311	296	474	349	359	359	488	239	318	0	591	146	158	513	123	48	154	299	197	298	199	51	418	505	565	575	291	400	177	539	135	161	195	41	540	395	486	298	263	100	127	118	644	664	389	24	270	427	166	192	187	250	482	656	515	124	441	50	76	0	115	0	58	83	248	45	32	74	31	51	255	346					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2376	19	27	21	17	11	15	12	12	29	10	22	30	18	4	40	22	10	234	304	18	16	14	5	11	13	25	10	11	19	16	27	187	9	14	21	40	31	31	13	11	9	7	6	3	4	14	4	34	24	30	19	374	3	17	90	16	35	8	16	8	10	4	9	14	14	4	85	34	20	16	46	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	89998	1367	1412	1123	1278	1510	1362	1263	1090	1342	1188	1508	1245	1596	808	1084	1695	1102	1432	1297	1628	1526	1633	1621	1781	1651	1640	1565	963	1491	1617	1510	1598	1921	1233	1475	1750	1284	1123	1644	1676	1151	1480	1272	1263	712	1287	1202	1366	1279	1440	899	355	1207	1449	1023	869	391	1251	324	796	1690	481	1481	1298	1427	1488	1480	384	806	263	453	145	554					
9	Число недействительных избирательных бюллетеней	6265	39	40	51	48	340	15	20	33	34	8	153	31	45	15	27	47	2	144	115	387	28	15	162	269	20	259	253	13	13	0	187	44	34	17	600	99	94	25	33	34	24	16	162	21	9	16	12	150	25	35	11	193	299	186	37	69	52	111	40	235	547	97	20	26	16	3	21	8	0	8	11	2	10					
10	Число действительных избирательных бюллетеней	86109	1347	1399	1093	1247	1181	1362	1255	1069	1337	1190	1377	1244	1569	797	1097	1670	1110	1522	1486	1259	1514	1632	1464	1523	1644	1406	1322	961	1497	1633	1350	1741	1896	1230	896	1691	1221	1129	1624	1653	1136	1471	1116	1245	707	1285	1194	1250	1278	1435	907	536	911	1280	1076	816	374	1148	300	569	1153	388	1470	1286	1425	1489	1544	410	826	271	488	143	544					
