Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																			
Дата голосования: 04.12.2011																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Сочи, Адлерская"																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341	УИК №4342	УИК №4343	УИК №4344	УИК №4345	УИК №4346	УИК №4347	УИК №4348	УИК №4349	УИК №4350	УИК №4351	УИК №4352	УИК №4353	УИК №4354	УИК №4355	УИК №4356	УИК №4357	УИК №4358	УИК №4359	УИК №4360	УИК №4361	УИК №4385	УИК №4386	УИК №4387	УИК №4388	УИК №4389	УИК №4390	УИК №4391	УИК №4392	УИК №4393	УИК №4394	УИК №4395	УИК №4396	УИК №4397	УИК №4398	УИК №4399					
1	"Число избирателей, внесенных в список избирателей"	83489	132	185	106	1659	2021	516	1676	2196	1347	2119	2724	1805	726	1279	672	936	1789	693	1230	1046	1542	599	1342	1911	878	305	1498	1798	1065	626	1542	1554	2032	1317	1984	2108	2217	1109	714	1548	506	685	565	1040	609	1814	1428	1712	1989	723	390	228	1154	981	260	344	325	1017	1827	1491	1053	890	1449	354	1789	769	634	316	589	412	671	819	538	381	721	470					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84465	110	180	100	1600	2000	450	1500	2000	1200	2000	2300	1500	600	1200	630	750	1800	750	1400	900	1400	800	1200	2000	1400	300	1400	1600	1200	580	1550	1500	1900	1300	2000	2000	2000	850	670	1300	350	650	500	950	550	1600	1200	1500	2000	700	350	240	1150	930	280	340	300	950	1700	1300	1000	1000	2900	700	2350	800	900	350	1000	530	740	1000	1200	900	1150	485					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	56245	97	180	80	1230	1303	352	1066	1042	736	1233	1959	971	291	594	577	525	1408	568	877	697	892	582	775	1239	852	165	874	1061	686	439	919	1040	1337	787	1303	1552	1212	532	556	859	286	290	248	569	342	1252	813	1340	1470	443	259	127	533	714	236	279	197	903	1156	603	608	890	1449	284	1675	767	634	313	580	412	634	598	381	381	698	433					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4643	0	0	0	288	373	66	290	77	104	120	14	128	50	77	52	59	69	15	16	51	20	17	32	15	26	47	62	91	21	25	83	180	93	121	46	33	31	9	13	40	33	131	150	71	59	25	65	54	100	127	89	59	242	37	24	26	26	18	138	86	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	23577	13	0	20	82	324	32	144	881	360	647	327	401	259	529	1	166	323	167	507	152	488	201	393	746	522	88	464	448	493	116	548	280	470	392	651	415	757	309	101	401	31	229	102	310	149	323	322	106	430	130	2	54	375	179	20	35	77	29	406	611	163	110	1451	416	675	33	266	37	420	118	106	402	819	519	452	52					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4643	0	0	0	288	373	66	290	77	104	120	14	128	50	77	52	59	69	15	16	51	20	17	32	15	26	47	62	91	21	25	83	180	93	121	46	33	31	9	13	40	33	131	150	71	59	25	65	54	100	127	89	59	242	37	24	26	26	18	138	86	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56221	97	180	80	1227	1303	352	1066	1042	736	1233	1959	971	291	594	574	525	1408	568	876	697	892	582	775	1239	852	165	874	1061	686	438	919	1040	1337	781	1298	1552	1212	532	555	859	286	290	248	569	342	1252	813	1340	1468	443	259	127	533	714	236	279	197	903	1156	603	608	890	1449	284	1675	766	634	313	580	412	634	598	380	381	698	433					
9	Число недействительных избирательных бюллетеней	1997	0	1	10	88	6	8	8	15	12	24	29	12	6	15	10	11	111	8	13	4	29	9	20	27	15	2	19	12	25	7	16	32	20	11	41	29	21	16	21	7	3	3	4	19	11	16	16	27	12	1	8	1	13	14	3	7	6	11	20	6	13	16	51	5	779	45	21	10	18	6	8	23	4	10	15	2					
10	Число действительных избирательных бюллетеней	58867	97	179	70	1427	1670	410	1348	1104	828	1329	1944	1087	335	656	616	573	1366	575	879	744	883	590	787	1227	863	210	917	1140	682	456	986	1188	1410	891	1303	1556	1222	525	547	892	316	418	394	621	390	1261	862	1367	1556	569	340	185	762	737	257	298	217	910	1274	683	824	874	1398	279	896	721	613	303	562	406	626	575	376	371	683	431					
