Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																																																									
																																																																																																																									
Наименование Избирательной комиссии:    Серпуховская городская																																																																																																																									
																																																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																									
																																																																																																																									
		Сумма	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №5006	УИК №5007	УИК №5051	УИК №5052	УИК №5093	УИК №5094	УИК №5095	УИК №5096	УИК №5097	УИК №5098	УИК №5099	УИК №5100	УИК №5101	УИК №5102	УИК №5103	УИК №5128	УИК №5132	УИК №5135	УИК №5136	УИК №5150	УИК №5170	УИК №5196	УИК №5197	УИК №5198	УИК №5201	УИК №5202	УИК №5203	УИК №5209	УИК №5216	УИК №5217	УИК №5218	УИК №5221	УИК №5237	УИК №5238	УИК №5239	УИК №5240	УИК №5241	УИК №5243	УИК №5297	УИК №5298	УИК №5302	УИК №5308	УИК №5309	УИК №5319	УИК №5320	УИК №5321	УИК №5324	УИК №5331	УИК №5332	УИК №5333	УИК №5334	УИК №5335	УИК №5336	УИК №5337	УИК №5338	УИК №5339	УИК №5358					
1	"Число избирателей, внесенных в списки"	149178	2358	1240	1397	1004	1681	1078	1576	1692	1351	1770	1686	1304	2055	2031	1093	1673	1997	1378	1439	1850	1992	1436	2060	1692	2025	2317	2380	2864	2500	2126	1136	2189	2806	2035	2164	2559	2314	2143	2207	1591	2087	2812	2261	1817	1921	2262	2714	2144	2133	1902	1748	1855	2190	2096	1557	1742	545	5183	881	664	53	474	211	64	146	158	162	137	357	10	570	37	138	129	1610	371	1757	383	941	883	123	218	177	381	107	36	450	62	21	7311	3640	1544	1900	1652	60	39	30	320	352	53	326	408	94	53	1018	600	474	2493	642	531	134	170	287	178					
2	"Число бюллетеней, полученных участковыми комиссиями"	156563	2115	1103	1254	892	1515	947	1425	1474	1219	1593	1510	1188	1786	1990	953	1454	1801	1241	1181	1626	1811	1280	1850	1498	1832	2087	2190	2507	2089	1916	1042	1947	2546	1832	1981	2327	2091	1895	1989	1443	1903	2516	2012	1643	1729	2121	2452	1924	1870	1713	1551	1690	1981	1877	1352	1612	390	6500	900	2300	500	531	340	120	150	170	700	330	360	40	600	50	140	110	13100	950	1771	330	600	150	130	800	200	420	150	46	460	75	30	6846	4000	1700	2000	2097	70	30	30	400	350	91	335	865	140	55	1200	1000	500	2350	600	545	275	300	425	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	1594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	80	25	80	0	0	137	0	0	0	0	0	0	261	66	0	0	0	0	0	0	0	0	0	0	0	0	0	145	292	0	0	0	0	0	0	0	31	0	36	37	0	0	0	0	0	0	121	131	26	40	58	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	72108	1135	563	604	404	820	360	772	860	573	702	875	695	1014	1314	417	780	1052	677	548	627	773	576	953	803	823	1188	1273	1426	1234	1100	518	978	1526	1071	1203	1461	1335	1194	1080	851	1028	1391	1175	854	1048	1063	1294	1004	1161	1037	909	889	1155	1052	1214	1198	0	512	853	664	53	446	131	34	66	135	162	0	322	9	398	25	125	65	1341	305	439	97	233	98	86	218	26	257	94	30	303	35	20	1209	973	1322	1417	1432	60	20	26	130	59	49	272	142	86	50	816	511	283	935	269	220	108	120	217	170					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3999	61	28	41	21	20	25	34	27	52	86	44	52	41	40	48	33	31	47	122	383	82	45	70	34	67	20	26	16	56	44	82	40	61	56	44	66	54	52	85	41	49	70	37	27	29	65	57	50	34	26	33	33	19	22	28	3	376	7	23	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	84	64	220	0	0	0	0	0	0	0	0	0	0	178	0	7	157	0	1	0	0	0	0					
6	Число погашенных бюллетеней	78862	919	512	609	467	675	562	619	587	594	805	591	441	731	636	488	641	718	517	511	616	956	659	827	661	942	879	891	1065	799	772	442	929	959	705	734	800	702	649	824	551	826	1055	800	762	652	993	1101	870	675	650	609	768	807	803	110	411	14	5981	24	1636	447	57	129	61	4	35	538	193	28	31	202	25	15	45	11490	579	1332	233	367	52	44	582	174	163	56	16	157	40	10	5492	2730	294	519	445	10	10	4	270	260	42	27	686	54	5	206	489	210	1258	210	193	141	140	150	380					
7	Число бюллетеней в переносных ящиках для голосования	5495	61	28	41	21	20	25	34	27	52	86	44	52	41	40	48	33	31	47	122	383	82	45	70	34	67	20	26	16	56	44	82	40	61	56	44	66	54	52	85	41	49	70	37	27	29	65	57	50	34	26	33	33	19	22	28	3	374	7	23	0	0	28	80	25	80	0	0	78	10	0	0	0	0	0	269	66	0	0	0	0	0	0	0	0	0	0	0	0	0	145	297	84	64	220	0	0	0	0	31	0	36	0	0	0	178	0	7	157	121	132	26	40	58	0					
8	Число бюллетеней в стационарных ящиках для голосования	72081	1135	562	604	404	820	360	772	860	573	702	875	695	1011	1307	417	780	1052	677	548	627	773	576	951	803	823	1186	1273	1423	1234	1100	516	978	1526	1068	1203	1461	1335	1194	1076	851	1028	1386	1175	854	1048	1063	1293	954	1158	1037	909	889	1155	1052	1211	1192	0	512	850	663	53	446	131	34	66	135	162	59	322	9	396	25	125	65	1341	305	439	97	233	98	86	218	26	257	94	30	303	35	20	1190	973	1322	1417	1432	60	20	26	130	59	49	272	179	86	50	813	511	283	935	269	220	108	120	217	170					
9	Число недействительных бюллетеней	1035	25	4	32	6	27	8	9	42	21	7	10	8	12	13	7	10	13	10	13	24	9	6	10	6	8	18	13	22	23	12	16	5	20	10	12	31	17	9	8	22	15	10	15	8	11	15	14	14	21	16	24	19	15	19	9	4	18	1	8	1	0	1	0	0	5	1	0	0	0	0	1	0	0	0	12	3	8	1	0	0	0	2	0	0	1	0	1	1	0	26	56	12	21	0	0	0	0	0	0	0	2	2	0	1	22	0	2	7	8	3	0	0	1	0					
10	Число действительных бюллетеней	76541	1171	586	613	419	813	377	797	845	604	781	909	739	1040	1334	458	803	1070	714	657	986	846	615	1011	831	882	1188	1286	1417	1267	1132	582	1013	1567	1114	1235	1496	1372	1237	1153	870	1062	1446	1197	873	1066	1113	1336	990	1171	1047	918	903	1159	1055	1230	1191	356	518	865	662	53	473	211	59	141	134	162	137	332	9	395	25	125	65	1598	368	431	96	233	98	86	216	26	257	93	30	302	34	20	1309	1214	1394	1460	1652	60	20	26	130	90	49	306	177	86	49	969	511	288	1085	382	349	134	160	274	170					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3525	50	30	30	20	40	30	40	40	30	40	40	30	40	50	30	40	40	30	30	30	40	30	40	40	40	50	50	60	50	50	30	50	60	50	50	60	50	50	50	40	50	60	50	40	40	50	60	50	50	40	40	40	50	50	40	150	0	120	30	8	5	15	5	5	1	10	25	5	10	0	0	0	5	5	150	50	25	3	6	7	10	4	2	3	10	5	10	0	3	0	100	30	40	30	10	5	5	5	3	5	25	10	5	5	30	40	20	16	12	12	10	10	50	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1302	23	10	7	6	3	6	10	15	18	18	14	8	27	42	4	9	32	8	4	9	21	9	17	19	20	17	34	32	25	22	10	24	37	21	28	28	25	36	20	13	21	29	16	24	14	28	17	20	21	18	17	15	18	16	11	133	0	4	25	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	7	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	27	9	9	3	0	0	0	0	0	2	0	0	0	30	14	5	3	0	0	0	0	8	0					
