Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Улаганская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8306	270	543	118	943	241	637	168	1987	487	2404	508									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8400	271	541	151	1017	241	616	168	1955	483	2454	503									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	70	3	28	8	4	2	13	9	0	2	0	1									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3414	130	236	103	371	112	237	64	879	222	820	240									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	227	13	11	7	12	6	9	2	100	16	42	9									
6	Число погашенных избирательных бюллетеней	4689	125	266	33	630	121	357	93	976	243	1592	253									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	297	16	39	15	16	8	22	11	100	18	42	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3414	130	236	103	371	112	237	64	879	222	820	240									
9	Число недействительных избирательных бюллетеней	92	8	10	1	17	2	2	1	24	5	17	5									
10	Число действительных избирательных бюллетеней	3619	138	265	117	370	118	257	74	955	235	845	245									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	190	10	10	10	30	10	10	10	40	10	40	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	62	2	7	6	3	0	2	0	8	1	32	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	53	0	3	5	6	1	5	8	7	1	13	4									
14	Число погашенных неиспользованных открепительных удостоверений	128	8	3	4	27	10	8	10	32	9	8	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	2	0	0	0	2	1	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	173	0	5	0	29	4	6	2	82	4	35	6									
