Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Заводоуковская																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38068	927	1063	1050	791	1712	1676	1285	1352	907	2823	1761	640	1151	1437	239	1314	1099	491	204	384	232	294	405	209	867	346	119	542	780	575	442	822	118	569	488	113	573	82	448	1200	512	987	218	243	206	153	420	250	754	88	215	90	149	647	576	227	408	185	210									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34978	850	1000	980	750	1600	1380	1090	1200	830	2200	1500	580	980	1220	230	1100	1000	480	212	390	237	285	400	210	860	340	121	530	740	550	440	780	117	550	485	114	570	85	450	1140	500	940	225	240	208	160	400	252	720	91	216	91	155	630	550	224	400	190	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29483	616	902	936	713	1521	987	934	1136	630	1956	1271	445	771	1106	202	852	796	415	173	261	188	258	315	136	824	308	106	395	533	427	298	546	112	486	475	95	513	71	412	775	416	825	197	226	200	148	337	202	680	88	175	87	137	501	446	204	352	156	210									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1570	94	71	13	11	15	63	33	29	32	25	59	45	28	29	5	23	85	12	11	14	13	7	5	10	26	9	9	14	10	3	22	9	5	34	10	16	27	6	30	350	10	41	12	6	0	2	27	28	20	0	8	2	8	16	44	0	28	6	0									
6	Число погашенных избирательных бюллетеней	3925	140	27	31	26	64	330	123	35	168	219	170	90	181	85	23	225	119	53	28	115	36	20	80	64	10	23	6	121	197	120	120	225	0	30	0	3	30	8	8	15	74	74	16	8	8	10	36	22	20	3	33	2	10	113	60	20	20	28	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1570	94	71	13	11	15	63	33	29	32	25	59	45	28	29	5	23	85	12	11	14	13	7	5	10	26	9	9	14	10	3	22	9	5	34	10	16	27	6	30	350	10	41	12	6	0	2	27	28	20	0	8	2	8	16	44	0	28	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29483	616	902	936	713	1521	987	934	1136	630	1956	1271	445	771	1106	202	852	796	415	173	261	188	258	315	136	824	308	106	395	533	427	298	546	112	486	475	95	513	71	412	775	416	825	197	226	200	148	337	202	680	88	175	87	137	501	446	204	352	156	210									
9	Число недействительных избирательных бюллетеней	187	1	0	13	8	4	26	4	20	17	25	15	9	8	2	1	10	6	0	0	6	0	0	0	0	2	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	30866	709	973	936	716	1532	1024	963	1145	645	1956	1315	481	791	1133	206	865	875	427	184	269	201	265	320	146	848	317	115	408	541	429	320	554	117	520	485	111	540	77	442	1125	426	864	209	232	200	150	364	230	698	88	183	89	145	516	490	204	380	162	210									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	519	17	10	22	10	25	18	20	20	15	35	30	17	16	10	3	10	10	10	5	8	5	5	5	5	10	7	2	5	5	5	6	7	2	5	5	2	10	5	5	5	3	15	3	3	3	3	5	5	10	2	3	2	2	25	8	2	5	3	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	393	17	10	22	7	25	18	15	13	15	34	23	15	14	6	2	10	5	8	5	8	2	0	2	2	4	7	1	1	3	3	4	7	1	0	0	0	3	3	0	3	3	15	3	0	0	1	5	4	6	2	2	0	2	20	4	0	5	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	267	12	11	10	3	12	13	16	16	5	10	8	8	7	0	3	28	5	7	1	5	2	2	0	2	3	3	0	5	3	1	2	3	0	0	0	1	2	1	2	2	0	3	1	0	1	1	7	5	2	0	2	0	0	16	1	0	3	2	9									
14	Число погашенных неиспользованных открепительных удостоверений	126	0	0	0	3	0	0	5	7	0	1	7	2	2	4	1	0	5	2	0	0	3	5	3	3	6	0	1	4	2	2	2	0	1	5	5	2	7	2	5	2	0	0	0	3	3	2	0	1	4	0	1	2	0	5	4	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	1	0	2	0	1	5	2	3	1	6	5	1	0	0	1	1	2	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
