Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Калининская N17																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №1818					
1	"Число избирателей, внесенных в списки избирателей"	149706	2858	2668	2473	2632	2484	2397	2618	2542	2555	2538	2606	2474	2214	2171	2189	2101	2446	2596	2521	1991	2818	2581	2714	2480	2353	2684	1989	2805	2482	2526	2595	2793	2544	2591	2500	2479	2886	2663	2253	2179	2558	2696	2662	2564	2321	2467	2311	2545	1173	2039	2328	2197	2486	2493	2599	2604	2357	2253	2570	1922	845	1365	362					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	123500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1000	1500	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	76317	1480	1351	1287	1365	1361	1306	1356	1404	1367	1418	1419	1214	1094	1057	993	1064	1181	1267	1345	955	1376	1068	1233	1362	839	1126	735	1315	1256	1203	1323	1428	1269	1270	1298	1218	1484	1365	1152	1134	1227	1431	1442	1298	1162	1278	1122	1242	610	1116	1448	1054	1247	1256	1208	1332	968	1048	1249	1883	845	751	362					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2378	14	43	44	44	23	35	30	37	14	27	40	40	36	19	16	26	36	10	34	44	39	43	9	8	25	10	13	17	40	17	26	31	47	52	44	21	24	39	30	28	29	35	32	35	31	30	34	44	16	36	28	41	26	24	23	33	21	35	36	0	0	614	0					
6	Число погашенных избирательных бюллетеней	44805	506	606	669	591	616	659	614	559	619	555	541	746	870	924	991	910	783	723	621	1001	585	889	758	630	1136	864	1252	668	704	780	651	541	684	678	658	761	492	596	818	838	744	534	526	667	807	692	844	714	374	848	524	905	727	720	769	635	1011	917	715	117	155	135	1638					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2378	14	43	44	44	23	35	30	37	14	27	40	40	36	19	16	26	36	10	34	44	39	43	9	8	25	10	13	17	40	17	26	31	47	52	44	21	24	39	30	28	29	35	32	35	31	30	34	44	16	36	28	41	26	24	23	33	21	35	36	0	0	614	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	76151	1474	1349	1282	1365	1361	1306	1355	1399	1331	1418	1417	1213	1092	1057	991	1064	1176	1267	1343	955	1375	1065	1231	1357	838	1126	735	1311	1253	1203	1319	1423	1268	1270	1298	1217	1483	1339	1150	1134	1224	1430	1439	1297	1159	1272	1122	1239	609	1116	1444	1053	1243	1256	1206	1329	967	1046	1249	1883	845	751	362					
9	Число недействительных избирательных бюллетеней	897	12	19	9	10	14	13	10	11	17	11	7	15	18	7	11	13	7	9	12	9	11	11	5	16	7	11	14	17	8	6	11	9	12	8	6	10	7	9	10	13	8	16	11	14	8	4	18	13	8	16	7	12	3	9	8	17	11	8	12	40	49	164	6					
10	Число действительных избирательных бюллетеней	77632	1476	1373	1317	1399	1370	1328	1375	1425	1328	1434	1450	1238	1110	1069	996	1077	1205	1268	1365	990	1403	1097	1235	1349	856	1125	734	1311	1285	1214	1334	1445	1303	1314	1336	1228	1500	1369	1170	1149	1245	1449	1460	1318	1182	1298	1138	1270	617	1136	1465	1082	1266	1271	1221	1345	977	1073	1273	1843	796	1201	356					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3197	60	50	50	50	50	50	50	50	90	50	50	50	50	50	50	50	50	50	50	50	70	50	70	100	50	50	50	50	50	50	70	50	50	55	65	50	80	50	50	50	50	60	50	50	50	50	50	50	50	50	70	50	50	50	50	50	50	50	57	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2345	54	32	30	44	32	28	32	32	68	46	39	33	20	31	46	20	30	33	45	25	64	46	44	96	28	48	36	23	32	33	49	35	47	55	59	48	68	40	26	43	44	48	35	28	21	28	46	40	12	25	59	35	27	50	46	49	31	29	52	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2067	23	25	21	19	33	19	23	26	11	20	40	23	18	25	22	27	17	13	36	28	23	82	14	58	22	23	14	34	23	12	31	27	54	34	23	12	30	14	27	13	21	22	35	22	21	20	26	29	15	23	23	14	19	23	22	22	17	18	31	87	24	132	362					
14	Число погашенных неиспользованных открепительных удостоверений	852	6	18	20	6	18	22	18	18	22	4	11	17	30	19	4	30	20	17	5	25	6	4	26	4	22	2	14	27	18	17	21	15	3	0	6	2	12	10	24	7	6	12	15	22	29	22	4	10	38	25	11	15	23	0	4	1	19	21	5	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	351	2	6	6	4	2	4	5	3	4	3	5	2	4	1	3	0	5	5	5	3	8	7	12	8	4	12	7	4	14	7	13	8	7	6	7	14	8	7	4	7	4	19	3	9	8	12	12	7	0	1	7	2	4	7	6	4	6	2	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
