Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    Кореновская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857					
1	"Число избирателей, внесенных в список избирателей"	64349	1502	1710	1311	1610	1857	1502	1558	1916	1894	1547	1938	2009	1756	1387	1307	1933	362	421	520	1464	1926	535	812	2410	1591	2123	1390	1021	105	673	1339	822	1339	1293	843	93	1117	901	405	578	2150	412	228	1370	1927	397	1849	227	116	218	199	1460	225	1465	135	372	779					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67880	1525	1740	1315	1615	1870	1500	1720	2030	1965	1560	2050	2035	1760	1390	1295	1975	365	470	630	1520	1980	580	880	2720	1710	2345	1550	1090	130	650	1480	835	1370	1305	965	80	1225	910	415	595	2180	505	300	1640	2105	500	1945	275	130	280	230	1415	250	1430	250	410	890					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38509	768	883	945	874	1280	936	1289	1169	996	787	1541	1097	894	871	790	970	337	290	353	692	862	195	359	1267	880	999	806	368	69	337	849	684	897	1157	485	59	662	591	213	363	1381	234	177	850	1405	232	998	154	52	175	144	1067	38	978	83	178	499					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6952	159	163	90	108	117	120	231	344	115	162	53	205	167	47	117	88	9	109	23	324	247	132	146	233	115	300	156	234	23	54	92	14	144	66	110	2	200	60	74	62	144	88	31	127	201	80	189	26	45	7	11	164	187	226	33	87	91					
6	Число погашенных избирательных бюллетеней	22419	598	694	280	633	473	444	200	517	854	611	456	733	699	472	388	917	19	71	254	504	871	253	375	1220	715	1046	588	488	38	259	539	137	329	82	370	19	363	259	128	170	655	183	92	663	499	188	758	95	33	98	75	184	25	226	134	145	300					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6952	159	163	90	108	117	120	231	344	115	162	53	205	167	47	117	88	9	109	23	324	247	132	146	233	115	300	156	234	23	54	92	14	144	66	110	2	200	60	74	62	144	88	31	127	201	80	189	26	45	7	11	164	187	226	33	87	91					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38505	768	883	945	874	1280	936	1289	1169	994	787	1541	1097	894	871	790	970	337	290	353	692	862	195	359	1267	880	999	806	368	69	337	849	684	897	1157	485	59	662	591	213	363	1381	234	177	850	1405	232	998	153	52	175	144	1067	38	978	82	178	499					
9	Число недействительных избирательных бюллетеней	1252	21	18	20	16	25	21	16	19	21	19	61	22	16	10	8	19	2	14	13	18	146	4	8	22	19	13	9	9	0	4	15	25	0	4	2	1	0	0	20	34	229	9	24	16	101	4	20	1	2	40	2	3	57	11	2	5	12					
10	Число действительных избирательных бюллетеней	44205	906	1028	1015	966	1372	1035	1504	1494	1088	930	1533	1280	1045	908	899	1039	344	385	363	998	963	323	497	1478	976	1286	953	593	92	387	926	673	1041	1219	593	60	862	651	267	391	1296	313	184	961	1505	308	1167	178	95	142	153	1228	168	1193	113	260	578					
